"geneNames","geneIDs","feature","id","pval","qval"
".","MSTRG.1806","transcript","5964",2.1079777603461e-06,0.000605142001153814
".","MSTRG.12337","transcript","42103",2.15354055210781e-06,0.000610862032560391
".","MSTRG.12011","transcript","40894",2.19669190837379e-06,0.000615771507068499
".","MSTRG.2195","transcript","7354",2.32846902470385e-06,0.000641657784611632
".","MSTRG.437","transcript","1272",2.34289785794317e-06,0.000641657784611632
".","MSTRG.10812","transcript","36274",2.38459641077604e-06,0.000642441536425924
".","MSTRG.3847","transcript","12842",2.39968509430089e-06,0.000642441536425924
".","MSTRG.286","transcript","751",2.53409309491914e-06,0.000670887068584871
".","MSTRG.10907","transcript","36613",2.80225617454999e-06,0.000733729207373655
".","MSTRG.9412","transcript","31409",3.05718293713841e-06,0.000791777150469533
".","MSTRG.10009","transcript","33476",3.18731036141884e-06,0.000808842171009998
".","MSTRG.8631","transcript","28910",3.22269767483174e-06,0.000808842171009998
".","MSTRG.11103","transcript","37148",3.22491317605866e-06,0.000808842171009998
".","MSTRG.4873","transcript","16717",4.06505096406384e-06,0.00100893718042447
".","MSTRG.11998","transcript","40834",4.11211930240185e-06,0.00101009759400339
".","MSTRG.1611","transcript","5394",4.17749932180023e-06,0.00101568649327075
".","MSTRG.1793","transcript","5940",4.34727897791198e-06,0.0010454702112956
".","MSTRG.4730","transcript","15958",4.38775427580307e-06,0.0010454702112956
".","MSTRG.6032","transcript","20519",4.63389517690871e-06,0.00108922212638172
".","MSTRG.8831","transcript","29600",4.66280509048289e-06,0.00108922212638172
".","MSTRG.9046","transcript","30256",4.80151557957775e-06,0.00109594995742583
".","MSTRG.7483","transcript","25353",4.80488908127796e-06,0.00109594995742583
".","MSTRG.4844","transcript","16653",4.89346684040548e-06,0.00109594995742583
".","MSTRG.8693","transcript","29107",4.93846854765501e-06,0.00109594995742583
".","MSTRG.10074","transcript","33701",4.95206963346817e-06,0.00109594995742583
".","MSTRG.13940","transcript","48087",4.96758280110754e-06,0.00109594995742583
".","MSTRG.13268","transcript","45430",5.32051928114896e-06,0.00116304599001776
".","MSTRG.8062","transcript","27099",5.41594458036698e-06,0.00117314283196731
".","MSTRG.4797","transcript","16252",5.50115342168311e-06,0.00117500540255051
".","MSTRG.4724","transcript","15941",5.52317140578573e-06,0.00117500540255051
".","MSTRG.7285","transcript","24703",5.66564737336517e-06,0.00119464938022276
".","MSTRG.10099","transcript","33767",5.73657113411841e-06,0.00119899368783017
".","MSTRG.6788","transcript","22971",5.8386865177118e-06,0.00120972507528277
".","MSTRG.9221","transcript","30882",6.26397208269847e-06,0.00128665226564187
".","MSTRG.2615","transcript","8808",6.3975263995264e-06,0.0012973141194897
".","MSTRG.4092","transcript","13765",6.44841037966692e-06,0.0012973141194897
".","MSTRG.9910","transcript","33075",6.47922022156688e-06,0.0012973141194897
".","MSTRG.3528","transcript","11877",6.56420901523624e-06,0.00129990130187818
".","MSTRG.4127","transcript","13853",6.60125309637216e-06,0.00129990130187818
".","MSTRG.12539","transcript","42766",6.66604282695271e-06,0.00130190001998199
".","MSTRG.4828","transcript","16485",6.80433007915759e-06,0.00131810384387063
".","MSTRG.11191","transcript","37524",6.97392022774856e-06,0.00134006126827875
".","MSTRG.9193","transcript","30809",7.07691034906865e-06,0.00134113284459109
".","MSTRG.5059","transcript","17294",7.09206943461105e-06,0.00134113284459109
".","MSTRG.3386","transcript","11285",7.48526480509604e-06,0.00140059752924835
".","MSTRG.11364","transcript","38068",7.52408963544671e-06,0.00140059752924835
".","MSTRG.4223","transcript","14246",7.64133728403671e-06,0.0014113964609825
".","MSTRG.5475","transcript","18543",8.08798129581234e-06,0.00148240254104093
".","MSTRG.6896","transcript","23401",8.26610460269439e-06,0.00150348453716335
".","MSTRG.1336","transcript","4450",9.02766789512288e-06,0.00161037020685152
".","MSTRG.11312","transcript","37910",9.11538172321258e-06,0.00161037020685152
".","MSTRG.3049","transcript","10129",9.15017668234874e-06,0.00161037020685152
".","MSTRG.313","transcript","868",9.19909695662469e-06,0.00161037020685152
".","MSTRG.6280","transcript","21260",9.25020660313969e-06,0.00161037020685152
".","MSTRG.840","transcript","2752",9.29437117713761e-06,0.00161037020685152
".","MSTRG.11507","transcript","38598",9.32685980381542e-06,0.00161037020685152
".","MSTRG.12606","transcript","43008",9.46220295805489e-06,0.00162198496317679
".","MSTRG.6188","transcript","21023",9.73046483898621e-06,0.00165605561227517
".","MSTRG.6990","transcript","23719",9.95728094332904e-06,0.00167845529453519
".","MSTRG.3505","transcript","11759",1.0002965200151e-05,0.00167845529453519
".","MSTRG.6072","transcript","20636",1.00777966164367e-05,0.00167918643342544
".","MSTRG.2523","transcript","8393",1.03674276407117e-05,0.00171544929441138
".","MSTRG.4709","transcript","15885",1.0576816474428e-05,0.00173802624921514
".","MSTRG.7448","transcript","25206",1.09365087601621e-05,0.00176850569382459
".","MSTRG.12878","transcript","43975",1.10114395865946e-05,0.00176850569382459
".","MSTRG.767","transcript","2483",1.11903574713246e-05,0.00176850569382459
".","MSTRG.1585","transcript","5295",1.12311592659342e-05,0.00176850569382459
".","MSTRG.895","transcript","2915",1.12349011307522e-05,0.00176850569382459
".","MSTRG.9218","transcript","30871",1.12666875800027e-05,0.00176850569382459
".","MSTRG.2291","transcript","7686",1.12818594645292e-05,0.00176850569382459
".","MSTRG.3131","transcript","10418",1.14113097360313e-05,0.00177081938230724
".","MSTRG.5321","transcript","18096",1.14452589446978e-05,0.00177081938230724
".","MSTRG.9424","transcript","31471",1.16104790206517e-05,0.00178479279758109
".","MSTRG.7988","transcript","26873",1.17434619391066e-05,0.00179366325399418
".","MSTRG.2785","transcript","9275",1.19980663554342e-05,0.00181948744034281
".","MSTRG.12674","transcript","43230",1.20896968736073e-05,0.00181948744034281
".","MSTRG.2300","transcript","7708",1.21707983520292e-05,0.00181948744034281
".","MSTRG.550","transcript","1651",1.22179875962081e-05,0.00181948744034281
".","MSTRG.5884","transcript","19946",1.26008875160899e-05,0.0018516536241958
".","MSTRG.12731","transcript","43414",1.26506266202586e-05,0.0018516536241958
".","MSTRG.10957","transcript","36816",1.26671230429309e-05,0.0018516536241958
".","MSTRG.3060","transcript","10150",1.27778503082876e-05,0.00185645023960713
".","MSTRG.3914","transcript","13047",1.29527780119432e-05,0.00187045964660951
".","MSTRG.2179","transcript","7311",1.39319769888457e-05,0.00198316236322731
".","MSTRG.4610","transcript","15582",1.39755030239552e-05,0.00198316236322731
".","MSTRG.2043","transcript","6743",1.39829301641914e-05,0.00198316236322731
".","MSTRG.13418","transcript","46079",1.43378405983441e-05,0.00202146584577955
".","MSTRG.4759","transcript","16042",1.48235285072351e-05,0.00207764831612877
".","MSTRG.3815","transcript","12729",1.52774168600267e-05,0.00212874275744945
".","MSTRG.706","transcript","2284",1.56062230567411e-05,0.00216191556263355
".","MSTRG.5215","transcript","17756",1.59552172084299e-05,0.00219160248534611
".","MSTRG.7620","transcript","25807",1.60044836718942e-05,0.00219160248534611
".","MSTRG.7465","transcript","25252",1.6147505865427e-05,0.00219855212717445
".","MSTRG.3431","transcript","11402",1.63989905790363e-05,0.0022122204103401
".","MSTRG.1420","transcript","4682",1.64335842796071e-05,0.0022122204103401
".","MSTRG.3478","transcript","11577",1.71407102416143e-05,0.0022944477692525
".","MSTRG.10434","transcript","34927",1.760041221055e-05,0.0023328501340054
".","MSTRG.9148","transcript","30673",1.76386205620327e-05,0.0023328501340054
".","MSTRG.11158","transcript","37423",1.77641961733865e-05,0.0023328501340054
".","MSTRG.216","transcript","547",1.78192271116373e-05,0.0023328501340054
".","MSTRG.10650","transcript","35763",1.82420740560962e-05,0.00236799326966666
".","MSTRG.872","transcript","2819",1.82864297485485e-05,0.00236799326966666
".","MSTRG.13212","transcript","45221",1.87686437393975e-05,0.00241729986150607
".","MSTRG.12916","transcript","44122",1.89788237341393e-05,0.00243122813501794
".","MSTRG.5289","transcript","17998",1.91527856920892e-05,0.00244039264537652
".","MSTRG.3146","transcript","10452",2.03682169969133e-05,0.00258145482119921
".","MSTRG.1749","transcript","5819",2.06410784961975e-05,0.00259990908914557
".","MSTRG.6350","transcript","21494",2.07521583992509e-05,0.00259990908914557
".","MSTRG.8677","transcript","29058",2.08503720899866e-05,0.00259990908914557
".","MSTRG.3250","transcript","10810",2.10228674211166e-05,0.00259990908914557
".","MSTRG.8848","transcript","29667",2.11620263323997e-05,0.00259990908914557
".","MSTRG.5140","transcript","17544",2.11685215635304e-05,0.00259990908914557
".","MSTRG.3698","transcript","12373",2.14987772211295e-05,0.00262484244085304
".","MSTRG.13478","transcript","46294",2.15918545518612e-05,0.00262484244085304
".","MSTRG.11410","transcript","38265",2.27972477213623e-05,0.00274885224177845
".","MSTRG.13762","transcript","47468",2.28549129316358e-05,0.00274885224177845
".","MSTRG.7638","transcript","25888",2.3057932322379e-05,0.00274885224177845
".","MSTRG.6330","transcript","21440",2.30734229385021e-05,0.00274885224177845
".","MSTRG.542","transcript","1629",2.3471739833747e-05,0.00277853429785375
".","MSTRG.7506","transcript","25420",2.35557950294396e-05,0.00277853429785375
".","MSTRG.10663","transcript","35799",2.43711362075683e-05,0.00285723931838053
".","MSTRG.6275","transcript","21251",2.44628707327665e-05,0.00285723931838053
".","MSTRG.857","transcript","2786",2.47770594041796e-05,0.00287981948499214
".","MSTRG.12459","transcript","42515",2.49154608511493e-05,0.00288184798883657
".","MSTRG.3411","transcript","11344",2.5395766429126e-05,0.00291166144886656
".","MSTRG.5675","transcript","19292",2.54176178857701e-05,0.00291166144886656
".","MSTRG.11332","transcript","37996",2.58482955159955e-05,0.00294682936487859
".","MSTRG.9611","transcript","32047",2.65905087630802e-05,0.00299883601747886
".","MSTRG.12471","transcript","42576",2.67321682669852e-05,0.00299883601747886
".","MSTRG.3359","transcript","11182",2.68051166927297e-05,0.00299883601747886
".","MSTRG.1544","transcript","5094",2.68079100064211e-05,0.00299883601747886
".","MSTRG.11318","transcript","37939",2.734248401004e-05,0.0030443428341459
".","MSTRG.13038","transcript","44617",2.74959635736538e-05,0.00304719220497418
".","MSTRG.9896","transcript","33013",2.78687332093686e-05,0.00305754655495627
".","MSTRG.8003","transcript","26916",2.80448570144642e-05,0.00305754655495627
".","MSTRG.854","transcript","2773",2.80987381300335e-05,0.00305754655495627
".","MSTRG.11613","transcript","38856",2.81026858410804e-05,0.00305754655495627
".","MSTRG.1131","transcript","3771",2.85127834068755e-05,0.00308806404652555
".","MSTRG.11030","transcript","36999",2.87194554746684e-05,0.00309637314748834
".","MSTRG.1331","transcript","4436",2.89794655116138e-05,0.00311033209344695
".","MSTRG.7602","transcript","25717",3.05701934422142e-05,0.0032663497719625
".","MSTRG.13239","transcript","45341",3.10257684441595e-05,0.00330022761035263
".","MSTRG.8110","transcript","27264",3.18968662555985e-05,0.00336619315690208
".","MSTRG.1585","transcript","5292",3.19284699483724e-05,0.00336619315690208
".","MSTRG.3003","transcript","9956",3.23026575383967e-05,0.00338197890484137
".","MSTRG.548","transcript","1641",3.2362076228809e-05,0.00338197890484137
".","MSTRG.6352","transcript","21497",3.26146890621271e-05,0.00339349430691398
".","MSTRG.268","transcript","707",3.48587036695935e-05,0.0036014584188566
".","MSTRG.10726","transcript","36009",3.49157214402096e-05,0.0036014584188566
".","MSTRG.1595","transcript","5336",3.56104711146665e-05,0.00365728747952224
".","MSTRG.6615","transcript","22347",3.62499623831614e-05,0.00370698649658191
".","MSTRG.801","transcript","2624",3.70170845005457e-05,0.00376051601936892
".","MSTRG.278","transcript","725",3.70890697339865e-05,0.00376051601936892
".","MSTRG.5675","transcript","19291",3.74295859917328e-05,0.00377896078569923
".","MSTRG.10005","transcript","33384",3.76478443258055e-05,0.00378495859388594
".","MSTRG.1596","transcript","5344",3.80386034097846e-05,0.00380817564472663
".","MSTRG.7556","transcript","25556",3.84594456790399e-05,0.00382990534007333
".","MSTRG.2527","transcript","8410",3.87000302394247e-05,0.00382990534007333
".","MSTRG.4578","transcript","15392",3.87378682569217e-05,0.00382990534007333
".","MSTRG.4064","transcript","13692",3.89844898585068e-05,0.00383836132172992
".","MSTRG.318","transcript","873",3.96018141989307e-05,0.00387570606686295
".","MSTRG.2053","transcript","6810",3.96891039708969e-05,0.00387570606686295
".","MSTRG.4967","transcript","17002",4.02620679942345e-05,0.00391560936366786
".","MSTRG.2818","transcript","9361",4.0594473291522e-05,0.00392047821066881
".","MSTRG.8222","transcript","27601",4.06412103091114e-05,0.00392047821066881
".","MSTRG.12378","transcript","42255",4.17965185368629e-05,0.00401566793216868
".","MSTRG.8179","transcript","27468",4.22594337687876e-05,0.00404383746348957
".","MSTRG.4512","transcript","15275",4.25400669343823e-05,0.00405440869938211
".","MSTRG.10715","transcript","35979",4.28756722974377e-05,0.00406566730495519
".","MSTRG.6338","transcript","21462",4.29994611511608e-05,0.00406566730495519
".","MSTRG.13532","transcript","46571",4.40685214782022e-05,0.00415027929352223
".","MSTRG.10343","transcript","34573",4.44578588869593e-05,0.00417046221928968
".","MSTRG.5200","transcript","17726",4.53997364648906e-05,0.00424211576764293
".","MSTRG.3116","transcript","10350",4.59577656259924e-05,0.00427748313113485
".","MSTRG.9033","transcript","30218",4.69246373120402e-05,0.00435047989585207
".","MSTRG.5049","transcript","17275",4.7315255073288e-05,0.00436969218074122
".","MSTRG.4919","transcript","16847",4.87948676066718e-05,0.00448893942264158
".","MSTRG.4251","transcript","14341",4.92304450181447e-05,0.00451159159018205
".","MSTRG.9518","transcript","31794",4.97944117838767e-05,0.00454579099453804
".","MSTRG.11769","transcript","39425",5.1066106126374e-05,0.0046440920254699
".","MSTRG.2854","transcript","9481",5.14837614093988e-05,0.00466427217909409
".","MSTRG.8766","transcript","29369",5.18351920477667e-05,0.00466825817935961
".","MSTRG.10133","transcript","33881",5.19196045465353e-05,0.00466825817935961
".","MSTRG.3055","transcript","10139",5.24893047330055e-05,0.00470173933786963
".","MSTRG.10205","transcript","34175",5.39967021712107e-05,0.00479522528879069
".","MSTRG.4180","transcript","14068",5.41273424505828e-05,0.00479522528879069
".","MSTRG.239","transcript","613",5.41367189610398e-05,0.00479522528879069
".","MSTRG.302","transcript","803",5.45743509491325e-05,0.00481608540764808
".","MSTRG.6139","transcript","20871",5.56138173601894e-05,0.00487935649030727
".","MSTRG.10854","transcript","36439",5.57008840963436e-05,0.00487935649030727
".","MSTRG.13603","transcript","46964",5.62562443175985e-05,0.00490995433463523
".","MSTRG.6551","transcript","22173",5.70184512619365e-05,0.0049573519529914
".","MSTRG.2478","transcript","8236",5.72154189395491e-05,0.0049573519529914
".","MSTRG.10056","transcript","33609",5.8930406940938e-05,0.0050874449499338
".","MSTRG.10569","transcript","35447",5.97505422477163e-05,0.00513962516294706
".","MSTRG.3113","transcript","10335",6.01396408739241e-05,0.00515448641403953
".","MSTRG.8347","transcript","27989",6.12660673781074e-05,0.00523220999074611
".","MSTRG.7094","transcript","24067",6.17561230702446e-05,0.00523991357174613
".","MSTRG.10291","transcript","34421",6.17961016351476e-05,0.00523991357174613
".","MSTRG.1050","transcript","3496",6.26063527034981e-05,0.00528979278675975
".","MSTRG.5413","transcript","18365",6.35446885692836e-05,0.00535010351427675
".","MSTRG.9111","transcript","30507",6.54146437077952e-05,0.00546955062628038
".","MSTRG.518","transcript","1586",6.54225008809295e-05,0.00546955062628038
".","MSTRG.9552","transcript","31877",6.62392035246651e-05,0.00551846679154613
".","MSTRG.6651","transcript","22468",6.65536938413425e-05,0.00552534795525319
".","MSTRG.1939","transcript","6434",6.69754345845597e-05,0.00552922647949697
".","MSTRG.1935","transcript","6430",6.70645256463098e-05,0.00552922647949697
".","MSTRG.9800","transcript","32676",6.78487567983277e-05,0.00557459423528881
".","MSTRG.10605","transcript","35597",6.97679380516902e-05,0.00571257958748324
".","MSTRG.9006","transcript","30162",7.123053898761e-05,0.00581236319334857
".","MSTRG.3580","transcript","12073",7.20740103430373e-05,0.00586111755782781
".","MSTRG.7540","transcript","25503",7.31129176118062e-05,0.00592537921066839
".","MSTRG.4724","transcript","15940",7.4403604381601e-05,0.0060095412935607
".","MSTRG.4045","transcript","13609",7.67959944298902e-05,0.00616518557857522
".","MSTRG.2073","transcript","6897",7.69416331314332e-05,0.00616518557857522
".","MSTRG.1465","transcript","4837",7.71068662616115e-05,0.00616518557857522
".","MSTRG.10987","transcript","36890",7.73993196931944e-05,0.00616787153956435
".","MSTRG.6839","transcript","23175",7.88902811341696e-05,0.00626572909527953
".","MSTRG.6262","transcript","21225",7.96340106477e-05,0.00630378595250083
".","MSTRG.13361","transcript","45911",8.05993799426474e-05,0.00635907756918364
".","MSTRG.9804","transcript","32687",8.24517988090578e-05,0.00648375910964825
".","MSTRG.9696","transcript","32375",8.35555804596932e-05,0.00654894347241155
".","MSTRG.3964","transcript","13226",8.47831502361895e-05,0.00662337088746783
".","MSTRG.12238","transcript","41792",8.5337379641004e-05,0.00664488151864772
".","MSTRG.1329","transcript","4432",8.65352882424286e-05,0.00668160198507077
".","MSTRG.9540","transcript","31848",8.70251242190978e-05,0.00668160198507077
".","MSTRG.1208","transcript","4026",8.71534335674662e-05,0.00668160198507077
".","MSTRG.11670","transcript","39128",8.71580657757498e-05,0.00668160198507077
".","MSTRG.10444","transcript","34962",8.72110722019981e-05,0.00668160198507077
".","MSTRG.7802","transcript","26319",8.98618861651101e-05,0.00686262551812846
".","MSTRG.3227","transcript","10748",9.13599802461196e-05,0.00693510419576556
".","MSTRG.9622","transcript","32086",9.14264571515444e-05,0.00693510419576556
".","MSTRG.275","transcript","720",9.16841323568285e-05,0.00693510419576556
".","MSTRG.13038","transcript","44614",9.5566353674803e-05,0.00718771938983359
".","MSTRG.14006","transcript","48281",9.56271056606894e-05,0.00718771938983359
".","MSTRG.10693","transcript","35903",9.80279817162089e-05,0.00734500855456638
".","MSTRG.13539","transcript","46604",9.84528314418309e-05,0.00735371666070378
".","MSTRG.9070","transcript","30337",9.88564663686464e-05,0.00736079070051793
".","MSTRG.8377","transcript","28092",0.000100833624794738,0.00748461924605679
".","MSTRG.8498","transcript","28382",0.000102496590060452,0.00756992889300158
".","MSTRG.11128","transcript","37240",0.000102618333505666,0.00756992889300158
".","MSTRG.6926","transcript","23492",0.000103152654712835,0.00758585896247751
".","MSTRG.3190","transcript","10649",0.000103792068392394,0.00760939573410947
".","MSTRG.1536","transcript","5081",0.00010429843918125,0.00762306414224428
".","MSTRG.7373","transcript","24927",0.000105720948442301,0.00767913464458236
".","MSTRG.9549","transcript","31870",0.000106017265998903,0.00767913464458236
".","MSTRG.4859","transcript","16681",0.000106032454697091,0.00767913464458236
".","MSTRG.6493","transcript","21923",0.000107578025008381,0.00776745939962031
".","MSTRG.9097","transcript","30468",0.000108751001624441,0.00782842935258475
".","MSTRG.14163","transcript","48934",0.000109795854113415,0.00787983679506124
".","MSTRG.9247","transcript","30955",0.000110199692922475,0.00788506931911052
".","MSTRG.6186","transcript","21018",0.000110611569388075,0.00789044725241202
".","MSTRG.13129","transcript","44935",0.000110937164962355,0.00789044725241202
".","MSTRG.13179","transcript","45109",0.000111872530311086,0.00793329398726857
".","MSTRG.11046","transcript","37040",0.000112477150031598,0.007952501643332
".","MSTRG.1506","transcript","4973",0.000113119947413809,0.00797428694387226
".","MSTRG.1398","transcript","4615",0.000113782640903004,0.00799734213804094
".","MSTRG.2955","transcript","9772",0.000115583376982809,0.00805210405865198
