"feature","id","pval","qval"
"gene","MSTRG.11309",5.34945342689497e-07,5.57399681670749e-05
"gene","MSTRG.7285",5.37740356798544e-07,5.57399681670749e-05
"gene","MSTRG.4444",5.45489366787777e-07,5.59416754875976e-05
"gene","MSTRG.10434",5.56903377635365e-07,5.59525984839919e-05
"gene","MSTRG.11752",5.5720430025552e-07,5.59525984839919e-05
"gene","MSTRG.6558",5.75969836935641e-07,5.72407136913359e-05
"gene","MSTRG.8726",5.86251280743078e-07,5.75478076153602e-05
"gene","MSTRG.9727",5.90999269078907e-07,5.75478076153602e-05
"gene","MSTRG.3080",5.99647475896248e-07,5.78060166763983e-05
"gene","MSTRG.12843",6.19679923263838e-07,5.91456877253802e-05
"gene","MSTRG.11514",6.62928744343816e-07,6.23155009078416e-05
"gene","MSTRG.12878",6.65819148704117e-07,6.23155009078416e-05
"gene","MSTRG.6027",7.54555839144189e-07,6.99415220129806e-05
"gene","MSTRG.4363",7.65503135102819e-07,6.99871506881777e-05
"gene","MSTRG.10804",7.69568254455066e-07,6.99871506881777e-05
"gene","MSTRG.7670",8.103273858584e-07,7.29863992580908e-05
"gene","MSTRG.10889",8.17689950194378e-07,7.29863992580908e-05
"gene","MSTRG.9023",8.34586623144062e-07,7.38111472211813e-05
"gene","MSTRG.12539",8.65416394990604e-07,7.58419458882674e-05
"gene","MSTRG.2043",8.79751962390429e-07,7.64036839409346e-05
"gene","MSTRG.6779",9.00746186638379e-07,7.75285110642319e-05
"gene","MSTRG.9193",9.22162844307906e-07,7.86694674259134e-05
"gene","MSTRG.3131",9.39526598520146e-07,7.9447687804686e-05
"gene","MSTRG.11009",9.61237427876682e-07,8.0576772215054e-05
"gene","MSTRG.2483",9.78086269975975e-07,8.12823417462793e-05
"gene","MSTRG.4312",1.00094154320551e-06,8.24707391153945e-05
"gene","MSTRG.8110",1.02020835190952e-06,8.33458348509137e-05
"gene","MSTRG.1806",1.04121427368931e-06,8.43166018867663e-05
"gene","MSTRG.9700",1.06235824426371e-06,8.43166018867663e-05
"gene","MSTRG.5302",1.08025184974991e-06,8.43166018867663e-05
"gene","MSTRG.6642",1.08300046430809e-06,8.43166018867663e-05
"gene","MSTRG.9286",1.08334918880182e-06,8.43166018867663e-05
"gene","MSTRG.8693",1.08457039771359e-06,8.43166018867663e-05
"gene","MSTRG.6353",1.20460462871286e-06,9.25764533390316e-05
"gene","MSTRG.13730",1.21058226754123e-06,9.25764533390316e-05
"gene","MSTRG.1554",1.21962754917604e-06,9.25764533390316e-05
"gene","MSTRG.2065",1.25218674718042e-06,9.43053143970252e-05
"gene","MSTRG.4252",1.26832364333307e-06,9.47801544320216e-05
"gene","MSTRG.6812",1.3216435328367e-06,9.80049512041986e-05
"gene","MSTRG.12713",1.34325965017723e-06,9.88475040283092e-05
"gene","MSTRG.6875",1.44778445865246e-06,0.000105114638614643
"gene","MSTRG.3573",1.45023308462111e-06,0.000105114638614643
"gene","MSTRG.5084",1.48408904454556e-06,0.000106765808876262
"gene","MSTRG.4007",1.55269888224563e-06,0.00011087420166554
"gene","MSTRG.734",1.5652619081985e-06,0.000110949447022305
"gene","MSTRG.13880",1.58540058659007e-06,0.000111556654414075
"gene","MSTRG.2246",1.60575451968459e-06,0.00011217009833159
"gene","MSTRG.5846",1.65591242473617e-06,0.000114841696219113
"gene","MSTRG.8631",1.85088647763898e-06,0.000127446754603141
"gene","MSTRG.6032",1.90238008279664e-06,0.000130063432611061
"gene","MSTRG.8026",1.92871839144182e-06,0.000130145811243052
"gene","MSTRG.5515",1.93058620412412e-06,0.000130145811243052
"gene","MSTRG.3160",2.03933224041108e-06,0.000135744137192351
"gene","MSTRG.9275",2.07182597788957e-06,0.000135744137192351
"gene","MSTRG.9412",2.0769819002453e-06,0.000135744137192351
"gene","MSTRG.12337",2.1007724986255e-06,0.000135744137192351
"gene","MSTRG.5245",2.10432750191725e-06,0.000135744137192351
"gene","MSTRG.6707",2.10453498172836e-06,0.000135744137192351
"gene","MSTRG.3847",2.11220130486023e-06,0.000135744137192351
"gene","MSTRG.1336",2.14250072949618e-06,0.000136779516770484
"gene","MSTRG.437",2.23917226249704e-06,0.000142010661910996
"gene","MSTRG.13296",2.27285522436116e-06,0.000143204734397657
"gene","MSTRG.3359",2.50581083660606e-06,0.000156857249771964
"gene","MSTRG.13532",2.59167581795339e-06,0.000160353752760436
"gene","MSTRG.4919",2.59493624799045e-06,0.000160353752760436
"gene","MSTRG.13539",2.67503568052163e-06,0.000164250598472793
"gene","MSTRG.8677",2.83705328762984e-06,0.000173096162612352
"gene","MSTRG.8837",2.96698366697434e-06,0.000179885047481966
"gene","MSTRG.9221",3.06118709558767e-06,0.000184436522509157
"gene","MSTRG.11982",3.11522239648809e-06,0.000186526359640654
"gene","MSTRG.1668",3.15382752225091e-06,0.000187672205645054
"gene","MSTRG.9616",3.19305717888518e-06,0.000188840927634682
"gene","MSTRG.3146",3.22382354478457e-06,0.000189497920559288
"gene","MSTRG.4127",3.29217931915871e-06,0.000192343082646606
"gene","MSTRG.286",3.36222545116449e-06,0.000195252128609793
"gene","MSTRG.12011",3.43051300166763e-06,0.000198024822371713
"gene","MSTRG.4338",3.46822386987355e-06,0.000199009988723697
"gene","MSTRG.13029",3.64902683569479e-06,0.000208145672757975
"gene","MSTRG.9844",3.72591595543259e-06,0.000211281351825707
"gene","MSTRG.1297",3.85307250372335e-06,0.000216413192860975
"gene","MSTRG.9046",3.86131422946967e-06,0.000216413192860975
"gene","MSTRG.5215",3.91687805023633e-06,0.000218258406961146
"gene","MSTRG.4873",4.14022392836166e-06,0.000226984649916783
"gene","MSTRG.7483",4.14135226012302e-06,0.000226984649916783
"gene","MSTRG.6188",4.16175897621773e-06,0.000226984649916783
"gene","MSTRG.10010",4.16994789964598e-06,0.000226984649916783
"gene","MSTRG.3431",4.19121034078707e-06,0.000226984649916783
"gene","MSTRG.12113",4.25494661326908e-06,0.00022914908017829
"gene","MSTRG.1611",4.3504152675844e-06,0.000232988906552853
"gene","MSTRG.2237",4.379835739865e-06,0.000233268599625959
"gene","MSTRG.9591",4.4742496398964e-06,0.000236591753036745
"gene","MSTRG.10009",4.49279107339606e-06,0.000236591753036745
"gene","MSTRG.8719",4.51585918659347e-06,0.000236591753036745
"gene","MSTRG.6139",4.63181614696051e-06,0.000240533780049815
"gene","MSTRG.7456",4.64100446984084e-06,0.000240533780049815
"gene","MSTRG.10074",4.67914395174684e-06,0.000241213624036575
"gene","MSTRG.11323",4.83031307252357e-06,0.000247682010740039
"gene","MSTRG.4844",4.97221245976398e-06,0.000253609143450396
"gene","MSTRG.3528",5.04381658794628e-06,0.000254067138131242
"gene","MSTRG.12588",5.04532725809081e-06,0.000254067138131242
"gene","MSTRG.4828",5.06620597562346e-06,0.000254067138131242
"gene","MSTRG.3912",5.10494163075137e-06,0.000254067138131242
"gene","MSTRG.11851",5.11296937732997e-06,0.000254067138131242
"gene","MSTRG.10099",5.22755634735361e-06,0.000258428939428148
"gene","MSTRG.13035",5.27702940888997e-06,0.0002595436913352
"gene","MSTRG.10812",5.32869901093136e-06,0.000259841847994621
"gene","MSTRG.6493",5.33700061233766e-06,0.000259841847994621
"gene","MSTRG.3128",5.62355183886254e-06,0.000272417285058467
"gene","MSTRG.8831",5.77939557167007e-06,0.000277745896952797
"gene","MSTRG.3024",5.79117482235603e-06,0.000277745896952797
"gene","MSTRG.6926",5.84359909405752e-06,0.000278872748845121
"gene","MSTRG.6615",6.00173362497181e-06,0.000285008434210484
"gene","MSTRG.12119",6.08739964458316e-06,0.000286005806432765
"gene","MSTRG.9424",6.15038146389857e-06,0.000286005806432765
"gene","MSTRG.9910",6.15806154702359e-06,0.000286005806432765
"gene","MSTRG.2854",6.16044829215845e-06,0.000286005806432765
"gene","MSTRG.2923",6.17121262691533e-06,0.000286005806432765
"gene","MSTRG.13930",6.23822037115751e-06,0.000286005806432765
"gene","MSTRG.4092",6.23824031098508e-06,0.000286005806432765
"gene","MSTRG.10005",6.26008559723168e-06,0.000286005806432765
"gene","MSTRG.550",6.47536059017462e-06,0.000294445641930582
"gene","MSTRG.2466",6.66352902134459e-06,0.000301579435520009
"gene","MSTRG.1876",6.72419962721715e-06,0.000302903198160623
"gene","MSTRG.7778",6.78743430615469e-06,0.000304329612610843
"gene","MSTRG.11030",6.91790454565577e-06,0.000308743517685748
"gene","MSTRG.11364",7.04482556956876e-06,0.000312627699962434
"gene","MSTRG.1015",7.06979653442019e-06,0.000312627699962434
"gene","MSTRG.4223",7.1142004858249e-06,0.000313154761111196
"gene","MSTRG.9372",7.24453356104604e-06,0.000317442288765836
"gene","MSTRG.3982",7.29342470284777e-06,0.000318138525499785
"gene","MSTRG.9363",7.55691098752731e-06,0.000328146945584519
"gene","MSTRG.4289",7.62163744383315e-06,0.000329473475150455
"gene","MSTRG.10222",7.74226589517202e-06,0.000332797648284114
"gene","MSTRG.6381",7.77376588056988e-06,0.000332797648284114
"gene","MSTRG.3596",7.82413565214579e-06,0.000332797648284114
"gene","MSTRG.13940",7.83662512038319e-06,0.000332797648284114
"gene","MSTRG.5140",7.87227092535758e-06,0.000332845139124768
"gene","MSTRG.3505",7.99646036386825e-06,0.000336619554182052
"gene","MSTRG.7125",8.05149551708073e-06,0.000337462681672427
"gene","MSTRG.5475",8.0909660973294e-06,0.000337648974797643
"gene","MSTRG.7269",8.2032854027414e-06,0.000340860652079427
"gene","MSTRG.11507",8.30012971275718e-06,0.000343404508287464
"gene","MSTRG.313",8.42596425443265e-06,0.000346533014966051
"gene","MSTRG.9006",8.44764092500228e-06,0.000346533014966051
"gene","MSTRG.3386",8.50784654726766e-06,0.000347523901337543
"gene","MSTRG.5343",8.64454474247545e-06,0.000351617769271997
"gene","MSTRG.6280",8.77580141611656e-06,0.000355456830467914
"gene","MSTRG.2067",8.82733388196666e-06,0.000355807796926029
"gene","MSTRG.10047",8.85828540064804e-06,0.000355807796926029
"gene","MSTRG.840",8.98536569327035e-06,0.000358746285870667
"gene","MSTRG.11998",9.00587149177401e-06,0.000358746285870667
"gene","MSTRG.6896",9.12887972115417e-06,0.000362112388675797
"gene","MSTRG.10569",9.16550029428365e-06,0.000362112388675797
"gene","MSTRG.3914",9.33605519537473e-06,0.000367345192177193
"gene","MSTRG.2785",9.44288942283933e-06,0.000370038431041346
"gene","MSTRG.12459",9.53028294659042e-06,0.000371951123907416
"gene","MSTRG.6072",9.86713310946463e-06,0.000383545012803383
"gene","MSTRG.4759",9.92026465396201e-06,0.000384061651663429
"gene","MSTRG.4709",1.07508562710024e-05,0.000414553017809851
"gene","MSTRG.13110",1.11392141888267e-05,0.000426234976122424
"gene","MSTRG.7465",1.11422421144036e-05,0.000426234976122424
"gene","MSTRG.2387",1.12263641054433e-05,0.000426548806710875
"gene","MSTRG.3060",1.12389415876102e-05,0.000426548806710875
"gene","MSTRG.706",1.13617740650218e-05,0.00042951961563455
"gene","MSTRG.12731",1.18072401573688e-05,0.000444616387175918
"gene","MSTRG.9622",1.1917764565994e-05,0.000447032102786702
"gene","MSTRG.4317",1.20125791732706e-05,0.000447556396690176
"gene","MSTRG.4724",1.20245961351406e-05,0.000447556396690176
"gene","MSTRG.10957",1.21447440193378e-05,0.000448730922805689
"gene","MSTRG.348",1.21492500884113e-05,0.000448730922805689
"gene","MSTRG.2057",1.22358868390737e-05,0.00045020591270485
"gene","MSTRG.13564",1.2405142798988e-05,0.00045339491232978
"gene","MSTRG.9218",1.24427885311862e-05,0.00045339491232978
"gene","MSTRG.11946",1.25002103801286e-05,0.00045339491232978
"gene","MSTRG.979",1.25106894895977e-05,0.00045339491232978
"gene","MSTRG.7365",1.2842777829869e-05,0.000463086972399497
"gene","MSTRG.6338",1.28742021372474e-05,0.000463086972399497
"gene","MSTRG.3650",1.31436350845338e-05,0.0004710209747766
"gene","MSTRG.3167",1.34445971757824e-05,0.000480021913979786
"gene","MSTRG.9673",1.36408451882897e-05,0.000485231541015175
"gene","MSTRG.3969",1.38456939602349e-05,0.000490707683002444
"gene","MSTRG.216",1.41047701862629e-05,0.00049805855163214
"gene","MSTRG.3815",1.42210343115901e-05,0.000498232506275559
"gene","MSTRG.7448",1.42576255606208e-05,0.000498232506275559
"gene","MSTRG.6788",1.43138853961888e-05,0.000498232506275559
"gene","MSTRG.10846",1.43248610631197e-05,0.000498232506275559
"gene","MSTRG.11158",1.43681158448761e-05,0.000498232506275559
"gene","MSTRG.3049",1.45408859756335e-05,0.000502416275287122
"gene","MSTRG.3580",1.46682624435623e-05,0.000505007321271218
"gene","MSTRG.1351",1.48285205109344e-05,0.000508707963435615
"gene","MSTRG.278",1.49493025022318e-05,0.000511021622066266
"gene","MSTRG.7620",1.50019833033976e-05,0.000511021622066266
"gene","MSTRG.8394",1.5138952803917e-05,0.000513871496583661
"gene","MSTRG.13239",1.52507455325468e-05,0.000514506486919652
"gene","MSTRG.2439",1.52644040725125e-05,0.000514506486919652
"gene","MSTRG.518",1.55432851099979e-05,0.000522081074774843
"gene","MSTRG.5654",1.5696331158721e-05,0.000524013802519037
"gene","MSTRG.2300",1.57095424199172e-05,0.000524013802519037
"gene","MSTRG.8368",1.6125933886002e-05,0.000536048285038136
"gene","MSTRG.1420",1.63395951882084e-05,0.00053996022840152
"gene","MSTRG.3478",1.63556417731581e-05,0.00053996022840152
"gene","MSTRG.7092",1.64907114938995e-05,0.000542561292836829
"gene","MSTRG.7485",1.78389932472545e-05,0.000583960225800236
"gene","MSTRG.13212",1.78890774136242e-05,0.000583960225800236
"gene","MSTRG.275",1.79513521187946e-05,0.000583960225800236
"gene","MSTRG.7988",1.79913057118952e-05,0.000583960225800236
"gene","MSTRG.4922",1.80694454392505e-05,0.000584528369242868
"gene","MSTRG.5277",1.83529580610742e-05,0.000591714099360385
"gene","MSTRG.11055",1.85588855026175e-05,0.000596358854150777
"gene","MSTRG.8015",1.87243956502048e-05,0.000599678319162705
"gene","MSTRG.5059",1.89327771471515e-05,0.000604344277147484
"gene","MSTRG.10650",1.90367173967809e-05,0.000605656619488344
"gene","MSTRG.3833",1.91431135194708e-05,0.000607038205025325
"gene","MSTRG.6990",1.95580276005636e-05,0.000618161921539124
"gene","MSTRG.2818",1.99000779692593e-05,0.000626601698244785
"gene","MSTRG.12435",1.99667400440084e-05,0.000626601698244785
"gene","MSTRG.859",2.00200542592732e-05,0.000626601698244785
"gene","MSTRG.7094",2.02853789156299e-05,0.000632851303387288
"gene","MSTRG.9148",2.06309590533582e-05,0.000641556275078623
"gene","MSTRG.12877",2.07724153459266e-05,0.000643878083391421
"gene","MSTRG.10663",2.08798668044352e-05,0.000643898117134061
"gene","MSTRG.302",2.09066504837097e-05,0.000643898117134061
"gene","MSTRG.1505",2.12412094457992e-05,0.000647988619564626
"gene","MSTRG.13762",2.12686023567388e-05,0.000647988619564626
"gene","MSTRG.8830",2.12886123489575e-05,0.000647988619564626
"gene","MSTRG.11191",2.13696761495186e-05,0.000647988619564626
"gene","MSTRG.3698",2.13755581972563e-05,0.000647988619564626
"gene","MSTRG.7506",2.18349825988895e-05,0.000659840853458604
"gene","MSTRG.2874",2.19208475525923e-05,0.000660365532521842
"gene","MSTRG.6350",2.20878838899097e-05,0.000662907892113162
"gene","MSTRG.7638",2.21812801395327e-05,0.000662907892113162
"gene","MSTRG.4452",2.22115403685219e-05,0.000662907892113162
"gene","MSTRG.13752",2.23399341333641e-05,0.000663249505064337
"gene","MSTRG.5450",2.23605901603641e-05,0.000663249505064337
"gene","MSTRG.11724",2.25432183313945e-05,0.000666615413235101
"gene","MSTRG.3854",2.33517437433495e-05,0.000688412262036358
"gene","MSTRG.854",2.34561137621991e-05,0.000689380904474389
"gene","MSTRG.11332",2.42175127047606e-05,0.000709595205087818
"gene","MSTRG.1331",2.44701390695878e-05,0.000714824668578263
"gene","MSTRG.11613",2.52208244394536e-05,0.000734527938357501
"gene","MSTRG.7446",2.55764344608833e-05,0.000742641048803961
"gene","MSTRG.542",2.59318903637062e-05,0.000750700970288673
"gene","MSTRG.11318",2.61215813950333e-05,0.000753928277389584
"gene","MSTRG.3321",2.64920314451134e-05,0.000762337860092217
"gene","MSTRG.9896",2.67107139315659e-05,0.000766343102084211
"gene","MSTRG.3780",2.69049307455305e-05,0.00076962472518372
"gene","MSTRG.10987",2.70735694183344e-05,0.00077215742364717
"gene","MSTRG.5122",2.75602604615788e-05,0.000781287501116444
"gene","MSTRG.6275",2.75940566462074e-05,0.000781287501116444
"gene","MSTRG.5884",2.7636829655675e-05,0.000781287501116444
"gene","MSTRG.3377",2.78228775580924e-05,0.000784247191988336
"gene","MSTRG.1131",2.80188512589152e-05,0.000787468589317618
"gene","MSTRG.8606",2.81592175848111e-05,0.000788871934770596
"gene","MSTRG.5293",2.83897135242572e-05,0.000788871934770596
"gene","MSTRG.269",2.84903555499705e-05,0.000788871934770596
"gene","MSTRG.872",2.85177361759592e-05,0.000788871934770596
"gene","MSTRG.6724",2.8566237389005e-05,0.000788871934770596
"gene","MSTRG.8230",2.86554524657756e-05,0.000788871934770596
"gene","MSTRG.10516",2.87228857573929e-05,0.000788871934770596
"gene","MSTRG.9611",2.87234490772281e-05,0.000788871934770596
"gene","MSTRG.1759",2.88410391623417e-05,0.000789851186150494
"gene","MSTRG.655",2.89342944725934e-05,0.000790160336305385
"gene","MSTRG.9247",2.97512705352831e-05,0.000810175841695281
"gene","MSTRG.10442",3.01651441070305e-05,0.000819132363920491
"gene","MSTRG.4004",3.03638405187989e-05,0.000822211861239387
"gene","MSTRG.1110",3.10472885158841e-05,0.000838363757123594
"gene","MSTRG.3003",3.12100552608552e-05,0.000840404839985039
"gene","MSTRG.13078",3.13775240905478e-05,0.000842560814019168
"gene","MSTRG.3141",3.15961035386447e-05,0.000846073439201487
"gene","MSTRG.11698",3.25669791726435e-05,0.000869655621119899
"gene","MSTRG.12868",3.2838193503304e-05,0.000874290358551345
"gene","MSTRG.3733",3.29219294765704e-05,0.000874290358551345
"gene","MSTRG.10726",3.31116018668087e-05,0.000876911653835264
"gene","MSTRG.9204",3.32718906898011e-05,0.000878742537670363
"gene","MSTRG.11410",3.34845992462363e-05,0.000881944089436387
"gene","MSTRG.268",3.38884741373224e-05,0.000890149565895881
"gene","MSTRG.8654",3.42445959319315e-05,0.000896314406122166
"gene","MSTRG.857",3.43383520886587e-05,0.000896314406122166
"gene","MSTRG.7735",3.44021089486723e-05,0.000896314406122166
"gene","MSTRG.13418",3.48333916602162e-05,0.000903127610817261
"gene","MSTRG.6352",3.48509824921184e-05,0.000903127610817261
"gene","MSTRG.5162",3.53904305465669e-05,0.000914648124581514
"gene","MSTRG.1978",3.55276494805601e-05,0.000915739414418715
"gene","MSTRG.1416",3.60291770731269e-05,0.000923709717407891
"gene","MSTRG.4578",3.61103027173293e-05,0.000923709717407891
"gene","MSTRG.2464",3.62846038486353e-05,0.000923709717407891
"gene","MSTRG.5289",3.63412009205533e-05,0.000923709717407891
"gene","MSTRG.5964",3.6344562502677e-05,0.000923709717407891
