"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FBgn0014388",1047.80570967613,-3.20551534500994,0.141169011343653,-22.7069334445266,3.82628956237404e-114,4.7059995380049e-113
"2","FBgn0261283",5782.78638635196,-1.88333879676426,0.089022976179009,-21.1556485482715,2.44799954621976e-99,2.58395388343431e-98
"3","FBgn0014018",3315.9129923792,-2.27303435077173,0.110111651597864,-20.64299570288,1.12846968109568e-94,1.13951890269228e-93
"4","FBgn0032264",1266.72293842942,-3.35858213670193,0.212423667550526,-15.8107718194964,2.62234393379196e-56,1.4148512596471e-55
"5","FBgn0037203",2519.89458779857,3.22862299471574,0.216766922343019,14.8944449633633,3.5814639176148e-50,1.68016327410252e-49
"6","FBgn0044048",237.261699828329,-12.9801184572818,0.87561488057016,-14.8240039603139,1.02488845393217e-49,4.75309492347016e-49
"7","FBgn0003205",2248.8868180886,0.550537974289458,0.0382718830057487,14.3849199739339,6.43524973412545e-47,2.79008656632551e-46
"8","FBgn0000499",1008.59482014153,0.873032509240557,0.0728882686489644,11.9776820800224,4.65147677604974e-33,1.4422099752651e-32
"9","FBgn0267824",2011.76820225053,0.599965060891264,0.0558033405298019,10.7514183773792,5.83572459479348e-27,1.56556688383138e-26
"10","FBgn0041191",2442.56537581148,-0.719637060017818,0.068310227431408,-10.5348362474773,5.96870662304608e-26,1.56487323882404e-25
"11","FBgn0263395",1800.29531072146,-0.961971362143893,0.122744595783312,-7.83717894873447,4.60781163302108e-15,9.1199443081125e-15
"12","FBgn0035438",4429.49076906024,-0.821599915991503,0.114995997778891,-7.1445957412469,9.02611286910378e-13,1.66960529431143e-12
"13","FBgn0086779",1794.67658544958,0.709880968284369,0.0998610430169317,7.10868770080848,1.1715149476542e-12,2.15970711668646e-12
"14","FBgn0020622",1846.41374850191,1.1701299895067,0.167258808427019,6.99592446287974,2.63515492804888e-12,4.80514772532044e-12
"15","FBgn0039209",1715.33287782286,-1.01783425918462,0.169865998586185,-5.99198349084676,2.07296974563824e-09,3.40586384690785e-09
"16","FBgn0015277",629.22574640189,-0.552023142761717,0.106131552125967,-5.20131037098677,1.97888313597915e-07,3.02053956288848e-07
"17","FBgn0001247",1851.77030251696,-0.580197223559577,0.114563954686159,-5.06439591011844,4.0969741651393e-07,6.17564741173867e-07
"18","FBgn0020660",3826.00925125306,-0.502793156648431,0.115048417016586,-4.37027444346276,1.24090475892823e-05,1.7663834909871e-05
"19","FBgn0003165",3069.97491389261,0.775528749407114,0.17853510160198,4.34384466947039,1.40010529806689e-05,1.98693039254202e-05
"20","FBgn0035437",1321.74999386371,0.250550487274956,0.0611103137076212,4.09997056264022,4.13202693972751e-05,5.75419623194814e-05
