"","x"
"1","Ahcy"
"2","CG40486"
"3","Non1"
"4","prel"
"5","ced-6"
"6","CG33774"
"7","Wnt2"
"8","CG1882"
"9","Dgat2"
"10","mus205"
"11","CG12822"
"12","CG10357"
