"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FBgn0014388",1047.80570967613,-2.74776826042514,0.141370202330547,-19.4366861978481,3.77794134266049e-84,4.46329182848397e-83
"2","FBgn0014018",3315.9129923792,-2.09534275300635,0.110023530131568,-19.0444966681283,7.29842035513941e-81,8.28031784565952e-80
"3","FBgn0261283",5782.78638635196,-1.63299422873763,0.0889653162876414,-18.3554029466703,2.98861968222914e-75,3.18128704245406e-74
"4","FBgn0003205",2248.8868180886,0.647990357585537,0.0382796337712791,16.9278097449229,2.80629625142574e-64,2.56604792408711e-63
"5","FBgn0032264",1266.72293842942,-3.18404422461363,0.212243721546132,-15.0018299783797,7.14226388785911e-51,5.11462517000815e-50
"6","FBgn0000499",1008.59482014153,1.0724501721615,0.0731485556377335,14.6612624516168,1.14130995065256e-48,7.77054209908576e-48
"7","FBgn0035438",4429.49076906024,-1.43338533850081,0.114651693490873,-12.5020860561028,7.27177183274721e-36,3.48679242376621e-35
"8","FBgn0041191",2442.56537581148,-0.620878392513766,0.0682589242425448,-9.09592993741881,9.37804419001267e-20,2.47627601256536e-19
"9","FBgn0003165",3069.97491389261,1.38099408720246,0.178563176377586,7.73392429065126,1.04281064160252e-14,2.26452252203019e-14
"10","FBgn0086779",1794.67658544958,0.666473597025205,0.099628919427563,6.68955962640724,2.23843167151905e-11,4.24731523013915e-11
"11","FBgn0028978",998.103591719251,-0.645782321455085,0.108078838068793,-5.97510422016234,2.29943133418357e-09,3.99826493182666e-09
"12","FBgn0020622",1846.41374850191,0.98255343933238,0.166884139229915,5.88763823732059,3.91753462211455e-09,6.74749084400346e-09
"13","FBgn0015277",629.22574640189,-0.586617310679671,0.10574158636811,-5.54764999115416,2.89534749186728e-08,4.82634633580738e-08
"14","FBgn0039209",1715.33287782286,-0.849398537798064,0.169733326402786,-5.00431209238426,5.60618672380809e-07,8.84255250833062e-07
"15","FBgn0044048",237.261699828329,-4.53361497314467,0.97113012917755,-4.66839081286067,3.0356803612525e-06,4.60568314304581e-06
"16","FBgn0267824",2011.76820225053,0.247394433094386,0.0550013632279443,4.49796911522174,6.86056604507529e-06,1.02141334728597e-05
"17","FBgn0035437",1321.74999386371,0.269686852772191,0.0609226980244712,4.42670566992723,9.56831495652881e-06,1.41185104706281e-05
"18","FBgn0037647",720.107298934703,-0.166253622618466,0.0586378090112627,-2.83526321023579,0.00457879441382545,0.0057685382311757
"19","FBgn0001247",1851.77030251696,-0.304132375473339,0.114583529812713,-2.65424163464369,0.00794868843823213,0.00987561942627004
"20","FBgn0037203",2519.89458779857,0.566615610892999,0.214215872178245,2.64506829083854,0.00816744317774493,0.0101423973610725
"21","FBgn0026060",1368.46148178429,0.177471638195818,0.0733571381946072,2.41928246607724,0.015551159077067,0.0188938473838989
