"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FBgn0044048",237.261699828329,8.44650348413717,0.500882069712513,16.8632578303015,8.38378054016865e-64,2.10128937761757e-62
"2","FBgn0037203",2519.89458779857,-2.66200738382274,0.21733125221772,-12.2486175212204,1.70884094306615e-34,2.1099741654228e-33
"3","FBgn0263395",1800.29531072146,1.0238665478864,0.123792972080886,8.27079704668057,1.33066399874475e-16,8.11163489932485e-16
"4","FBgn0028978",998.103591719251,-0.736097091505631,0.110111497849007,-6.68501569668065,2.30899893623457e-11,1.02947642153449e-10
"5","FBgn0267824",2011.76820225053,-0.352570627796878,0.0571525475294608,-6.16893984673449,6.87493739723686e-10,2.74779105247885e-09
"6","FBgn0035438",4429.49076906024,-0.611785422509306,0.115080903722193,-5.3161332829482,1.05995522348895e-07,3.4948523642395e-07
"7","FBgn0020660",3826.00925125306,0.411714723828628,0.115510127244566,3.56431711790011,0.000364804697315054,0.000781804241461081
"8","FBgn0003165",3069.97491389261,0.605465337795347,0.179391010516592,3.37511526386851,0.000737847803579067,0.00151470077739139
"9","FBgn0014388",1047.80570967613,0.457747084584804,0.138479877902168,3.30551334619308,0.00094802588969794,0.00191338815273973
"10","FBgn0261283",5782.78638635196,0.250344568026625,0.0889945183984675,2.81303357253671,0.00490765269814269,0.00888973311949775
"11","FBgn0037647",720.107298934703,-0.168016092407236,0.062309632183445,-2.69647061809933,0.0070078579693051,0.0123266977449737
"12","FBgn0000499",1008.59482014153,0.199417662920944,0.0766377538883868,2.60208125633968,0.00926598950543566,0.0159683166631135
"13","FBgn0003205",2248.8868180886,0.0974523832960784,0.0406627103951401,2.39660323547261,0.0165478312675714,0.0273055492470273
"14","FBgn0001247",1851.77030251696,0.276064848086238,0.115222549863732,2.39592725914092,0.0165783800012218,0.0273487842107477
