"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison"
"1","FBgn0044048",237.261699828329,8.44650348413717,0.500882069712513,16.8632578303015,8.38378054016865e-64,2.10128937761757e-62,"HBvQTL"
"2","FBgn0037203",2519.89458779857,-2.66200738382274,0.21733125221772,-12.2486175212204,1.70884094306615e-34,2.1099741654228e-33,"HBvQTL"
"3","FBgn0263395",1800.29531072146,1.0238665478864,0.123792972080886,8.27079704668057,1.33066399874475e-16,8.11163489932485e-16,"HBvQTL"
"4","FBgn0028978",998.103591719251,-0.736097091505631,0.110111497849007,-6.68501569668065,2.30899893623457e-11,1.02947642153449e-10,"HBvQTL"
"5","FBgn0267824",2011.76820225053,-0.352570627796878,0.0571525475294608,-6.16893984673449,6.87493739723686e-10,2.74779105247885e-09,"HBvQTL"
"6","FBgn0035438",4429.49076906024,-0.611785422509306,0.115080903722193,-5.3161332829482,1.05995522348895e-07,3.4948523642395e-07,"HBvQTL"
"7","FBgn0020660",3826.00925125306,0.411714723828628,0.115510127244566,3.56431711790011,0.000364804697315054,0.000781804241461081,"HBvQTL"
"8","FBgn0003165",3069.97491389261,0.605465337795347,0.179391010516592,3.37511526386851,0.000737847803579067,0.00151470077739139,"HBvQTL"
"9","FBgn0014388",1047.80570967613,0.457747084584804,0.138479877902168,3.30551334619308,0.00094802588969794,0.00191338815273973,"HBvQTL"
"10","FBgn0261283",5782.78638635196,0.250344568026625,0.0889945183984675,2.81303357253671,0.00490765269814269,0.00888973311949775,"HBvQTL"
"11","FBgn0037647",720.107298934703,-0.168016092407236,0.062309632183445,-2.69647061809933,0.0070078579693051,0.0123266977449737,"HBvQTL"
"12","FBgn0000499",1008.59482014153,0.199417662920944,0.0766377538883868,2.60208125633968,0.00926598950543566,0.0159683166631135,"HBvQTL"
"13","FBgn0003205",2248.8868180886,0.0974523832960784,0.0406627103951401,2.39660323547261,0.0165478312675714,0.0273055492470273,"HBvQTL"
"14","FBgn0001247",1851.77030251696,0.276064848086238,0.115222549863732,2.39592725914092,0.0165783800012218,0.0273487842107477,"HBvQTL"
"15","FBgn0014388",1047.80570967613,-2.74776826042514,0.141370202330547,-19.4366861978481,3.77794134266049e-84,4.46329182848397e-83,"OBvQTL"
"16","FBgn0014018",3315.9129923792,-2.09534275300635,0.110023530131568,-19.0444966681283,7.29842035513941e-81,8.28031784565952e-80,"OBvQTL"
"17","FBgn0261283",5782.78638635196,-1.63299422873763,0.0889653162876414,-18.3554029466703,2.98861968222914e-75,3.18128704245406e-74,"OBvQTL"
"18","FBgn0003205",2248.8868180886,0.647990357585537,0.0382796337712791,16.9278097449229,2.80629625142574e-64,2.56604792408711e-63,"OBvQTL"
"19","FBgn0032264",1266.72293842942,-3.18404422461363,0.212243721546132,-15.0018299783797,7.14226388785911e-51,5.11462517000815e-50,"OBvQTL"
"20","FBgn0000499",1008.59482014153,1.0724501721615,0.0731485556377335,14.6612624516168,1.14130995065256e-48,7.77054209908576e-48,"OBvQTL"
"21","FBgn0035438",4429.49076906024,-1.43338533850081,0.114651693490873,-12.5020860561028,7.27177183274721e-36,3.48679242376621e-35,"OBvQTL"
"22","FBgn0041191",2442.56537581148,-0.620878392513766,0.0682589242425448,-9.09592993741881,9.37804419001267e-20,2.47627601256536e-19,"OBvQTL"
"23","FBgn0003165",3069.97491389261,1.38099408720246,0.178563176377586,7.73392429065126,1.04281064160252e-14,2.26452252203019e-14,"OBvQTL"
"24","FBgn0086779",1794.67658544958,0.666473597025205,0.099628919427563,6.68955962640724,2.23843167151905e-11,4.24731523013915e-11,"OBvQTL"
