"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","FBgn0035022",71.7418670487766,-1.73179534873352,0.170532201737494,123.905492161956,1.24240799736585e-27,1.43932966494834e-23,"CG11413"
"2","FBgn0039677",54.5710093461248,-1.29925274034353,0.133563130900061,106.931264001173,6.02796956173059e-24,3.49170136863245e-20,"ppk30"
"3","FBgn0000639",251.507139147576,-1.98949219725334,0.239716724964647,97.5994043963231,6.40558232012746e-22,2.47362237262255e-18,"Fbp1"
"4","FBgn0026563",356.022731989555,-1.97315043720269,0.201117636416655,92.2561882322876,9.26452728390757e-21,2.68323871460173e-17,"CG1979"
"5","FBgn0053459",61.715645581714,-1.59720188501362,0.167527556086262,91.4785546932218,1.36673476694136e-20,3.16672445500313e-17,"CG33459"
"6","FBgn0025595",2234.97210717838,1.49604632507466,0.158845093621247,85.1548866987022,3.22738889134275e-19,6.23155005103429e-16,"AkhR"
"7","FBgn0034387",696.023427739098,0.653117861672236,0.0711404765710332,83.6701493284702,6.78044071906577e-19,1.12216293900539e-15,"Cyp12b2"
"8","FBgn0053494",1069.49096159606,0.860424213729432,0.0970447893380415,81.7196762779786,1.79803344105066e-18,2.60377717682149e-15,"CG33494"
"9","FBgn0015035",3101.44718950936,2.28348325027496,0.281265777033325,80.8909407780463,2.7211682312119e-18,3.5027482176211e-15,"Cyp4e3"
"10","FBgn0034479",2801.4794408543,1.04204991896662,0.136183350457454,75.3690921457926,4.30337891367253e-17,4.98546447148963e-14,"CG8654"
"11","FBgn0033782",1680.78508779029,1.17316775871593,0.143961024136152,68.565072845839,1.29206274961069e-15,1.36077699583999e-12,"sug"
"12","FBgn0004554",84.4354035080524,-1.79004456321533,0.253619099867505,65.542127376963,5.85744034183841e-15,5.6548705300165e-12,"Edg91"
"13","FBgn0039679",38.2244956203602,-1.08791269931608,0.147337491150578,64.139201708228,1.18127037434835e-14,1.05269363744812e-11,"ppk19"
"14","FBgn0040609",1561.78360768139,1.50567822625982,0.183307048026205,63.0190189947446,2.06820649576235e-14,1.71144087524334e-11,"CG3348"
"15","FBgn0051664",670.002432035623,-1.00566433492481,0.139956718337598,61.9289958010501,3.5668876234882e-14,2.75482620787405e-11,"CG31664"
"16","FBgn0000346",2287.32835002024,0.39212358629031,0.0528017563471456,61.5534001361908,4.30376935895933e-14,3.11619800147149e-11,"comt"
"17","FBgn0265266",18.4927455433436,-1.80965452318646,0.257688451850299,59.6420258440702,1.11917665655e-13,7.62685974478336e-11,"CG13639"
"18","FBgn0035282",203.459891936737,1.72174568025863,0.21530454551565,59.1228593650036,1.45088907894457e-13,9.33808332198494e-11,"CNMa"
"19","FBgn0039748",133.005205153799,0.454280779296048,0.0814278598931938,58.7727624524792,1.72844987820824e-13,1.05389957047592e-10,"CG15529"
"20","FBgn0024289",5330.67004886893,-1.72723641170874,0.21681657027812,57.8638672878559,2.72283213577249e-13,1.57720051464622e-10,"Sodh-1"
"21","FBgn0039152",1455.67473233859,1.36690962918098,0.18288909720367,56.2668781157124,6.05065875395459e-13,3.33794674593162e-10,"Root"
"22","FBgn0003261",15284.6710628388,0.260711958199526,0.0357497403552115,55.7819692961485,7.7107970491316e-13,4.06043562791771e-10,"Rm62"
"23","FBgn0026593",1663.6463935915,0.550211820338182,0.073636992782955,55.3391659735123,9.6217217250957e-13,4.84641939935799e-10,"CG5707"
"24","FBgn0036995",980.139335552262,-1.28954796186768,0.17558029389237,55.1387820169215,1.06356886577913e-12,5.13393554585469e-10,"atk"
"25","FBgn0033446",7492.75758246827,1.28855136932969,0.168236231695172,54.7131343035447,1.31581199815913e-12,6.09747279946943e-10,"CG1648"
"26","FBgn0036381",2952.54303277508,1.46855824562107,0.193461911339431,53.3934859420197,2.5453754022461e-12,1.1341605398085e-09,"CG8745"
"27","FBgn0039226",391.176998331761,0.426262374042,0.0657446517987032,53.2911869337903,2.67895729298402e-12,1.14947111997111e-09,"Ude"
"28","FBgn0038484",817.833135224146,2.28501029354862,0.30290433485788,52.2726208958533,4.45804651072709e-12,1.84451674381333e-09,"CG5246"
"29","FBgn0050287",17.2950452621132,-1.32295429501026,0.204246407265397,52.0027668830517,5.10202578905819e-12,2.03817133676687e-09,"CG30287"
"30","FBgn0038981",902.487854271923,0.232722831547618,0.0526844969245545,51.7147108277209,5.89241365335166e-12,2.27545373913597e-09,"CG5346"
"31","FBgn0027657",4696.69018982305,-0.499821810824175,0.0818505152767694,51.4873192488044,6.60192644155528e-12,2.46720380081993e-09,"glob1"
"32","FBgn0027578",2177.19108806852,-0.740722541311218,0.110131029684875,51.0661355789326,8.14947352056279e-12,2.95036408549125e-09,"CG14526"
"33","FBgn0036024",3840.56781854208,-3.38106328793272,0.432251181506631,50.7343072398616,9.62022348789587e-12,3.3772814880992e-09,"CG18180"
"34","FBgn0028864",51.876213521853,-1.02860472269534,0.151107380565299,50.259176077036,1.21999649332408e-11,4.04949790903648e-09,"CG18477"
"35","FBgn0051780",51.8978060404148,-1.02895160408928,0.150996971684771,50.2535826239355,1.22341326556993e-11,4.04949790903648e-09,"CG31780"
"36","FBgn0005616",303.648309752982,0.341306895449221,0.0489451125478192,49.9411986526655,1.43023203965579e-11,4.60256616094788e-09,"msl-2"
"37","FBgn0024179",1025.09616396943,0.65455722172614,0.0929130235545148,49.3417878189362,1.93004267383256e-11,6.04312010171626e-09,"wit"
"38","FBgn0039767",1808.94281667757,-0.199956866538681,0.0406533851381802,47.8776637512407,4.01326107833819e-11,1.22351656822495e-08,"CG2218"
"39","FBgn0039877",1715.82649779911,-0.269242980051379,0.0426364018369221,47.3788991110422,5.14994722686987e-11,1.52979842623814e-08,"CG2118"
"40","FBgn0039676",74.3289227155067,-1.06477308548873,0.160280850943789,46.4371531042827,8.24708224726231e-11,2.38856119586335e-08,"ppk20"
"41","FBgn0058160",1913.88768641777,-0.281272161093538,0.053428699939937,45.5281345127275,1.29924545090531e-10,3.67116062164342e-08,"CG40160"
"42","FBgn0034996",16.5081385301557,-1.21714157086044,0.184526534154203,45.3291492485978,1.4351599488905e-10,3.95864952568963e-08,"CG13575"
"43","FBgn0024740",292.851930721321,-1.32509987373259,0.194717501538397,45.2732490560148,1.47583864623417e-10,3.9761838875867e-08,"Lip2"
"44","FBgn0002562",34.0785914161358,-4.03872475970636,0.598211506927405,45.1083972656785,1.60264004424877e-10,4.21967838923227e-08,"Lsp1alpha"
"45","FBgn0086357",10656.4561835461,-0.311061408891257,0.0634111588302675,44.5837117511165,2.08338724924346e-10,5.36356472944121e-08,"Sec61alpha"
"46","FBgn0034276",721.293266684961,-1.81652921435006,0.264351063788113,44.4508860457092,2.22644892758406e-10,5.60726322305682e-08,"Sardh"
"47","FBgn0033654",187.256720799403,0.500109151334746,0.0777581423737859,44.2177830249407,2.50167227304005e-10,6.03789026732687e-08,"Sobp"
"48","FBgn0031805",697.28331823603,1.07421515717045,0.166502811039554,44.2346188194512,2.48070184018589e-10,6.03789026732687e-08,"CG9505"
"49","FBgn0037612",252.908592726091,-2.00926095573717,0.286792477290335,44.0828628994255,2.67625781280389e-10,6.32743811455777e-08,"CG8112"
"50","FBgn0002868",4691.04567202806,0.262726889656719,0.134528467257176,43.9656278991381,2.83782235139635e-10,6.57523438818534e-08,"MtnA"
"51","FBgn0031322",619.93817739426,0.356536959054705,0.0643260700855157,43.8667025544059,2.98171802466221e-10,6.77317712072779e-08,"CG5001"
"52","FBgn0033128",702.777474607449,0.407532959583217,0.0687216379440453,43.496463696221,3.58808660687393e-10,7.99384295012202e-08,"Tsp42Eg"
"53","FBgn0025700",3960.85203912987,-0.392748696665695,0.0777286742069623,43.393185802364,3.77823900262737e-10,8.25866015951662e-08,"CG5885"
"54","FBgn0033926",4708.5369738563,-0.526394942625451,0.0801131506765105,43.0122324709808,4.57101231932065e-10,9.80651439246846e-08,"Arc1"
"55","FBgn0036208",681.909080125986,-1.03832201360466,0.158159159799244,42.8343613184102,4.9961632643139e-10,1.05237366212866e-07,"CG10361"
"56","FBgn0016123",3088.34974065973,0.795309005523601,0.121217401397936,42.1072680669515,7.18659076934202e-10,1.48672596540763e-07,"Alp4"
"57","FBgn0050418",150.556542160898,0.449633359049549,0.0768418722468138,42.0643269486476,7.34255926541901e-10,1.49234296648911e-07,"nord"
"58","FBgn0036997",1340.08270325225,-1.10771314839256,0.167929678402812,41.958291265955,7.74235029322393e-10,1.5464677266724e-07,"CG5955"
"59","FBgn0038914",25978.9340096753,-1.19256838483628,0.180399421266471,41.7884677928438,8.42848494064677e-10,1.65498301758293e-07,"fit"
"60","FBgn0004117",4053.82186836528,0.405876747444988,0.0782451550110654,41.4947445765351,9.76181788385659e-10,1.88484433640798e-07,"Tm2"
"61","FBgn0261805",102.570236832721,-0.93832852312778,0.155198244793741,41.2401656293005,1.10869430628575e-09,2.1056104161181e-07,"CG42751"
"62","FBgn0027095",2049.60143540969,-0.260446463359409,0.0507090675702133,41.1276046807263,1.17288144725901e-09,2.18527688033256e-07,"Manf"
"63","FBgn0011016",4431.54670058894,-0.337876478479497,0.0704801329462165,41.1013696444523,1.18836809202375e-09,2.18527688033256e-07,"SsRbeta"
"64","FBgn0039613",148.716946326308,-0.757363321015811,0.126085663352482,40.8118262557155,1.37348692782466e-09,2.48622594669511e-07,"CG14527"
