"","x"
"348","CG5023"
"349","Lip1"
"350","eEF1alpha2"
"351","Eaat2"
"352","Rh50"
"353","Gli"
"354","Unc-89"
"355","Ost48"
"356","CG33303"
"357","CG3552"
"358","CG17271"
"359","Act5C"
"360","Shmt"
"361","Hsc70-4"
"362","lic"
"363","CG3156"
"364","CG12811"
"365","EDTP"
"366","Srpk79D"
"367","IM18"
"368","Dro"
"369","Tsp42El"
"370","CG12896"
"371","CG4364"
"372","Act57B"
"373","CR45053"
"374","fid"
"375","Mpcp1"
"376","CG10362"
"377","CG7379"
"378","Sugb"
"379","CG13404"
"380","CG8539"
"381","Rgk2"
"382","Nplp4"
"383","Pi4KIIalpha"
"384","CG15093"
"385","mino"
"386","Irk3"
"387","CG8042"
"388","Tsp42Ej"
"389","CG8199"
"390","Prx2540-1"
"391","CalpA"
"392","CG3077"
"393","Got1"
"394","ntc"
"395","PH4alphaEFB"
"396","CG11378"
"397","thw"
"398","Rab26"
"399","CG32373"
"400","betaggt-II"
"401","CG7322"
"402","Mco1"
"403","Cyp309a1"
"404","CG6282"
"405","pre-rRNA:CR45846"
"406","CG13059"
"407","CG6403"
"408","CG7120"
"409","Tsp42Ei"
"410","CG30285"
"411","CG13283"
"412","nrv2"
"413","sowah"
"414","CG17681"
"415","Grasp65"
"416","CG43187"
"417","CG43064"
"418","Fur2"
"419","Yp2"
"420","CG12065"
"421","CG3746"
"422","Calr"
"423","CR44741"
"424","Sec23"
"425","CG6843"
"426","Gr59f"
"427","CG13607"
"428","Usp15-31"
"429","CG6723"
"430","CG10479"
"431","Ance"
"432","CG5160"
"433","Gprk2"
"434","hig"
"435","Cyp309a2"
"436","CenG1A"
"437","CG14022"
"438","Timp"
"439","TkR99D"
"440","CG42764"
"441","PGRP-SD"
"442","arx"
"443","CG18563"
"444","CG2493"
"445","Adh"
"446","Fdx2"
"447","gammaCOP"
"448","CG5937"
"449","Arpc3B"
"450","CG2765"
"451","Esyt2"
"452","CG8036"
"453","ZIPIC"
"454","wgn"
"455","CG30431"
"456","meigo"
"457","CG16884"
"458","tank"
"459","Mlp60A"
"460","CG10178"
"461","CG13654"
"462","Ttc19"
"463","Epac"
"464","CG10339"
"465","CG4408"
"466","CG6428"
"467","CG11807"
"468","Fbxl7"
"469","eas"
"470","scro"
"471","dpr4"
"472","CG5921"
"473","CG17019"
"474","CG8311"
"475","PCNA2"
"476","CG6765"
"477","mle"
"478","CG10337"
"479","CG6388"
"480","CG8460"
"481","CG15347"
"482","Fkbp14"
"483","Cyp313a4"
"484","CG5059"
"485","Cpr47Ee"
"486","CG9626"
"487","Det"
"488","CG10638"
"489","CG2003"
"490","GMF"
"491","Hsp23"
"492","CaMKI"
"493","CG8550"
"494","nemy"
"495","CG7483"
"496","CG3609"
"497","CG42336"
"498","CLS"
"499","CG5895"
"500","CG14965"
"501","CG15414"
"502","verm"
"503","CG16885"
"504","Mlc-c"
"505","CR44288"
"506","Ank2"
"507","rho-5"
"508","Fie"
"509","Hug"
"510","Gycbeta100B"
"511","CG6729"
"512","Actn"
"513","Ube3a"
"514","CG8353"
"515","CG14642"
"516","CG11125"
"517","CG10621"
"518","Fim"
"519","CG15611"
"520","lectin-46Ca"
"521","hebe"
"522","Phb2"
"523","CG6041"
"524","FoxP"
"525","CAP"
"526","Cpr97Eb"
"527","Syx6"
"528","CG12007"
"529","GstO2"
"530","pck"
"531","S6KL"
"532","CG5321"
"533","CG18858"
"534","Sodh-2"
"535","CG42390"
"536","CG4730"
"537","papi"
"538","corn"
"539","CG6145"
"540","Dgkepsilon"
"541","Nufip"
"542","sll"
"543","CG13315"
"544","Taldo"
"545","Phf5a"
"546","Wbp2"
"547","CG13067"
"548","CG13255"
"549","Gale"
"550","Sptr"
"551","CG7065"
"552","5-HT1A"
"553","PPO3"
"554","Spase22-23"
"555","CG3999"
"556","CG18659"
"557","yellow-d"
"558","26-29-p"
"559","tld"
"560","Mlf"
"561","CG1092"
"562","CG4000"
"563","Mpc1"
