"","x"
"1466","CR44289"
"1467","CG12056"
"1468","CG30440"
"1469","cype"
"1470","CG10565"
"1471","CG8414"
"1472","CG16989"
"1473","Sec13"
"1474","cl"
"1475","pre-rRNA:CR45847"
"1476","Pis"
"1477","CG7222"
"1478","CG31103"
"1479","CG43085"
"1480","CG5687"
"1481","eIF2beta"
"1482","IM4"
"1483","CG14669"
"1484","CG10366"
"1485","CG2604"
"1486","CG10217"
"1487","kn"
"1488","Hs6st"
"1489","CG1662"
"1490","Fs"
"1491","CG10209"
"1492","CG6398"
"1493","Scgbeta"
"1494","Tspo"
"1495","Ric"
"1496","CG7630"
"1497","spag"
"1498","Tim9a"
"1499","sgll"
"1500","CG13133"
"1501","CG34172"
"1502","Cubn"
"1503","dac"
"1504","Atac2"
"1505","CG8814"
"1506","CG33510"
"1507","CG11892"
"1508","Dop1R2"
"1509","jtb"
"1510","Synd"
"1511","ND-51"
"1512","CR45425"
"1513","CG11409"
"1514","CG16704"
"1515","Trx-2"
"1516","CG11753"
"1517","Slu7"
"1518","SmydA-4"
"1519","CG15646"
"1520","CG14636"
"1521","Arl1"
"1522","Dbp45A"
"1523","Amyrel"
"1524","Gmap"
"1525","snoRNA:Psi28S-3091a"
"1526","CR44707"
"1527","Bub3"
"1528","CG1486"
"1529","CG10516"
"1530","CR43452"
"1531","dpr21"
"1532","nbs"
"1533","cN-IIIB"
"1534","MESK2"
"1535","CG6154"
"1536","CG42700"
"1537","Cog1"
"1538","CG1663"
"1539","GCS2beta"
"1540","Gmer"
"1541","CG10407"
"1542","Egm"
"1543","CG4230"
"1544","Lsp2"
"1545","RhoL"
"1546","alphaCOP"
"1547","CG18549"
"1548","TM4SF"
"1549","slmo"
"1550","CG5382"
"1551","Amy-d"
"1552","PMP34"
"1553","al"
"1554","CG5872"
"1555","CG9302"
"1556","Aldh"
"1557","Neb-cGP"
"1558","Rab6"
"1559","lark"
"1560","CG6656"
"1561","CG14523"
"1562","CG46314"
"1563","GstE13"
"1564","CG31729"
"1565","CG8950"
"1566","CG34232"
"1567","TpnC41C"
"1568","SdhD"
"1569","RluA-2"
"1570","Aldh-III"
"1571","CG1275"
"1572","Ho"
"1573","CG6688"
"1574","Con"
"1575","Ac3"
"1576","CG32069"
"1577","Ugt35b"
"1578","CG5188"
"1579","CG11839"
"1580","CG10214"
"1581","CG11168"
"1582","ap"
"1583","Usp14"
"1584","CG11388"
"1585","CG12772"
"1586","Pbp95"
"1587","unk"
"1588","dmt"
"1589","ATPsynF"
"1590","CG13488"
"1591","CG32165"
"1592","CG43078"
"1593","LpR2"
"1594","CG9784"
"1595","CG44286"
"1596","CR44179"
"1597","del"
"1598","CG13907"
"1599","CG17163"
"1600","CR44892"
"1601","stwl"
"1602","CG7414"
"1603","GXIVsPLA2"
"1604","CG10561"
"1605","SPoCk"
"1606","CG3356"
"1607","CR44347"
"1608","CG15628"
"1609","rig"
"1610","Hmr"
"1611","P58IPK"
"1612","LysX"
"1613","GstE6"
"1614","Rab14"
"1615","CG32006"
"1616","Rab8"
"1617","CG10073"
"1618","Met"
"1619","CG10353"
"1620","CG9674"
"1621","CG5445"
"1622","CG42404"
"1623","mus304"
"1624","Reg-5"
"1625","kri"
"1626","Cpr49Ae"
"1627","CG4239"
"1628","jdp"
"1629","DppIII"
"1630","CG32444"
"1631","CG43120"
"1632","CG10657"
"1633","P32"
"1634","Hsromega"
"1635","ham"
"1636","CG34113"
"1637","CG2875"
"1638","CG15916"
"1639","ab"
"1640","CG6254"
"1641","edl"
"1642","Mtch"
"1643","CG1402"
"1644","CG10527"
"1645","Eip75B"
"1646","Nurf-38"
"1647","Dok"
"1648","CG15877"
"1649","SerRS"
"1650","Wdr24"
"1651","AMPKalpha"
"1652","Awh"
"1653","NTPase"
"1654","mIF2"
"1655","CG10559"
"1656","CG31759"
"1657","CG4066"
"1658","ND-ACP"
"1659","CG10550"
"1660","Zip71B"
"1661","CG31324"
"1662","Jon25Bii"
"1663","l(2)k14710"
"1664","Mdh2"
"1665","Smg6"
"1666","CG33096"
"1667","stumps"
"1668","CG8417"
"1669","CG14641"
"1670","snRNA:U1:21D"
"1671","CG43149"
"1672","CG8399"
"1673","CG8300"
"1674","ND-MLRQ"
"1675","kni"
"1676","pnr"
"1677","CG3500"
"1678","CG6962"
"1679","Npl4"
"1680","Pgm"
"1681","CG1789"
"1682","CAH2"
"1683","hdly"
"1684","MAN1"
"1685","Irbp"
"1686","Ahcy"
"1687","Tsp2A"
"1688","alphaTub84D"
"1689","CG14367"
"1690","Rph"
"1691","ArfGAP3"
"1692","CR40005"
"1693","Jheh3"
"1694","Fs(2)Ket"
"1695","tgo"
"1696","LanB1"
"1697","hook"
"1698","ths"
"1699","Sap30"
"1700","CG43208"
"1701","CkIIalpha"
"1702","CG30083"
"1703","PIG-C"
"1704","AhcyL2"
"1705","CG13086"
"1706","CG11671"
"1707","tsr"
"1708","beta-Spec"
"1709","CG17272"
"1710","CG11695"
"1711","HisCl1"
"1712","Vps4"
"1713","CG31955"
"1714","smg"
"1715","CG10154"
"1716","CG8818"
"1717","CG4459"
"1718","CG6769"
"1719","Pvf2"
"1720","CG1317"
"1721","Ice1"
"1722","Usp20-33"
"1723","CG31785"
"1724","CG30159"
"1725","Fnta"
"1726","CG44325"
"1727","CG3987"
"1728","CG1902"
"1729","srp"
"1730","mRpS18C"
"1731","CR45045"
"1732","CG9514"
"1733","barc"
"1734","CR43670"
"1735","nAChRbeta2"
"1736","Smyd5"
"1737","GstD7"
"1738","ara"
"1739","CG6675"
"1740","CG12104"
"1741","CG13594"
"1742","CG30419"
"1743","ATPsynO"
"1744","CG18011"
"1745","ptc"
"1746","CG10725"
"1747","CG40498"
"1748","P5cr"
"1749","olf186-M"
"1750","alphaTub85E"
"1751","Spn88Ea"
"1752","CG13220"
"1753","CR44833"
"1754","chinmo"
"1755","CR44992"
"1756","CG42394"
"1757","pall"
"1758","REPTOR-BP"
"1759","htl"
"1760","Sidpn"
"1761","CG17005"
"1762","CG42807"
"1763","Marf"
"1764","CG5728"
"1765","CG14259"
"1766","CG7910"
"1767","senju"
"1768","drl"
"1769","CR42532"
"1770","Pex2"
"1771","CG1969"
"1772","Nse4"
"1773","CG13855"
"1774","Fmo-2"
"1775","COX5B"
"1776","CG32683"
"1777","gcl"
"1778","Fbxl4"
"1779","CG30157"
"1780","CG10307"
"1781","Ir76a"
"1782","CG9184"
"1783","Irp-1A"
"1784","Sxl"
"1785","CG8519"
"1786","CG30493"
"1787","CG13319"
"1788","yellow-e"
"1789","Rheb"
"1790","Proc-R"
"1791","mus308"
"1792","CG43778"
"1793","SLIRP2"
"1794","CG42514"
"1795","JhI-26"
"1796","CG17821"
"1797","hiw"
"1798","vih"
"1799","CG10710"
"1800","GstE7"
"1801","nmd"
"1802","ATPsynG"
"1803","CG30338"
"1804","levy"
"1805","okr"
"1806","CG3760"
"1807","Cdk2"
"1808","CG44014"
"1809","Idgf4"
"1810","CG42837"
"1811","List"
"1812","CG9686"
"1813","RtGEF"
"1814","B-H1"
"1815","ND-30"
"1816","ATPsyngamma"
"1817","CG2247"
"1818","Fit1"
"1819","CG4115"
"1820","CG11771"
"1821","CG42339"
"1822","CR18228"
"1823","Dhap-at"
"1824","CG13606"
"1825","CG15120"
"1826","CG31221"
"1827","vg"
"1828","trem"
"1829","CG34132"
"1830","Eaf6"
"1831","CG12003"
"1832","Npc2h"
"1833","Akap200"
"1834","msl-1"
"1835","Cpr100A"
"1836","betaTub60D"
"1837","CG3690"
"1838","Sfxn1-3"
"1839","pasi2"
"1840","CR45033"
"1841","CG15126"
"1842","sau"
"1843","Slmap"
"1844","nwk"
"1845","toe"
"1846","CG14921"
"1847","LManI"
"1848","boss"
"1849","mRpL16"
"1850","CG3078"
"1851","bonsai"
"1852","CG4269"
"1853","Vdup1"
"1854","ZnT41F"
"1855","CG1544"
"1856","Blm"
"1857","CG5773"
"1858","CG7879"
"1859","CG30203"
"1860","vvl"
"1861","lbm"
"1862","COX8"
"1863","CG34236"
"1864","glu"
"1865","Corp"
"1866","CG11825"
"1867","Cyp6a16"
"1868","CG5037"
"1869","Miro"
"1870","Naa20A"
"1871","arm"
"1872","mtg"
"1873","CR40450"
"1874","CG3842"
"1875","Prx6005"
"1876","Col4a1"
"1877","CG9628"
"1878","grsm"
"1879","dnt"
"1880","nAChRalpha2"
"1881","CG6321"
"1882","CG14132"
"1883","Sk1"
"1884","CG6479"
"1885","Membrin"
"1886","UbcE2M"
"1887","form3"
"1888","Art4"
"1889","CG4662"
"1890","SF1"
"1891","CG9416"
"1892","me31B"
"1893","FER"
"1894","tun"
"1895","CR40190"
"1896","CG2889"
"1897","RhoGAP102A"
"1898","barr"
"1899","DCTN4-p62"
"1900","CG17209"
"1901","jbug"
"1902","CG11679"
"1903","CG10347"
"1904","Tig"
"1905","CG17982"
"1906","Vinc"
"1907","CG13409"
"1908","rdx"
"1909","Cpr62Bb"
"1910","CG18869"
"1911","CG31897"
"1912","CG2137"
"1913","cta"
"1914","Ir25a"
"1915","CG6005"
"1916","CG11437"
"1917","CG12333"
"1918","CG9395"
"1919","CG3645"
"1920","CG7504"
"1921","CG14528"
"1922","MED11"
"1923","fusl"
"1924","Ack"
"1925","mRpS16"
"1926","DCX-EMAP"
"1927","ND-B15"
"1928","CG5892"
"1929","mtTFB2"
"1930","Gp93"
"1931","CG2091"
"1932","CG10340"
"1933","eIF3j"
"1934","HnRNP-K"
"1935","GLS"
"1936","loh"
"1937","CG10514"
"1938","CR46268"
"1939","Cpr72Ec"
"1940","Scp1"
"1941","CG42235"
"1942","TfIIEbeta"
"1943","CG16978"
"1944","mRpL24"
"1945","CG34424"
"1946","Cyp4d8"
"1947","fw"
"1948","CG17896"
"1949","mRpL34"
"1950","CG15387"
"1951","Nrt"
"1952","Krn"
"1953","Eo"
"1954","vers"
"1955","Lcp65Ag2"
"1956","CG14257"
"1957","lectin-37Da"
"1958","Mdh1"
"1959","CG42268"
"1960","car"
"1961","Exo84"
"1962","CG8525"
"1963","Cda4"
"1964","etaTry"
"1965","CG15394"
"1966","CG1523"
"1967","dgt5"
"1968","Myo61F"
"1969","RhoBTB"
"1970","Cdk5"
"1971","CG5639"
"1972","Vps15"
"1973","mRpL23"
"1974","DCTN3-p24"
"1975","CG33474"
"1976","CG45071"
"1977","CG3408"
"1978","CG6290"
"1979","CG31029"
"1980","CG11741"
"1981","slv"
"1982","achi"
"1983","CG1907"
"1984","sNPF"
"1985","sdt"
"1986","Rpt5"
"1987","kel"
"1988","CG11267"
"1989","sens-2"
"1990","CDase"
"1991","CG42337"
"1992","Treh"
"1993","Uch"
"1994","CR43727"
"1995","mi"
"1996","CG11306"
"1997","Ptr"
"1998","CG7110"
"1999","CG18213"
"2000","vkg"
"2001","CG9953"
"2002","Vha36-1"
"2003","Lcch3"
"2004","CG8679"
"2005","CG31674"
"2006","ATPCL"
"2007","mRpL22"
"2008","Patj"
"2009","CG10916"
"2010","SamDC"
"2011","Poxm"
"2012","CG6023"
"2013","ND-ASHI"
"2014","CG18789"
"2015","AsnRS"
"2016","CG3149"
"2017","Takl1"
"2018","Stim"
"2019","Usp47"
"2020","Fili"
"2021","Mtor"
"2022","Rint1"
"2023","CG15533"
"2024","pre-mod(mdg4)-K"
"2025","CG8520"
"2026","lolal"
"2027","Tsf2"
"2028","ND-75"
"2029","CG30022"
"2030","CG9272"
"2031","CG3662"
"2032","l(2)37Cc"
"2033","CG6028"
"2034","Hs3st-A"
"2035","RFeSP"
"2036","UQCR-C1"
"2037","boca"
"2038","CG4953"
"2039","CG11275"
"2040","CG5174"
"2041","CG31743"
"2042","miple1"
"2043","Arp3"
"2044","CG30291"
"2045","spirit"
"2046","Wnt2"
"2047","ort"
"2048","THG"
"2049","CG4022"
"2050","CG17189"
"2051","Capa"
"2052","CG7298"
"2053","Arf102F"
"2054","Drep4"
"2055","CG14830"
"2056","SMC5"
"2057","DNApol-gamma35"
"2058","CG1640"
"2059","Syn2"
"2060","CG13551"
"2061","CG33346"
"2062","Rad17"
"2063","mu2"
"2064","Takl2"
"2065","muskelin"
"2066","Srp68"
"2067","mRpL11"
"2068","slmb"
"2069","Fife"
"2070","Bet1"
"2071","CG2650"
"2072","CG17065"
"2073","Jwa"
"2074","Vta1"
"2075","CG10097"
"2076","CG31688"
"2077","Lcp65Ag1"
"2078","CG10395"
"2079","TBC1D5"
"2080","CG15390"
"2081","CG7084"
"2082","sens"
"2083","tral"
"2084","mspo"
"2085","CG7183"
"2086","tutl"
"2087","mRpS35"
"2088","Grip75"
"2089","CR44318"
"2090","CG42232"
"2091","CG12184"
"2092","Pvf1"
"2093","CR44138"
"2094","su(f)"
"2095","CR43836"
"2096","CG5727"
"2097","CG4829"
"2098","CG33993"
"2099","Culd"
"2100","Mapmodulin"
"2101","fand"
"2102","Cpsf160"
"2103","Ice2"
"2104","CG34430"
"2105","flr"
"2106","PICK1"
"2107","ana1"
"2108","CG4716"
"2109","opa"
"2110","wbl"
"2111","CR44691"
"2112","Myc"
"2113","Crys"
"2114","Osi24"
"2115","CG15236"
"2116","CG32686"
"2117","GSS"
"2118","asl"
"2119","CG7810"
"2120","CG18643"
"2121","DNApol-alpha180"
"2122","CG12344"
"2123","loqs"
"2124","Wnt4"
"2125","Trpgamma"
"2126","dpr16"
"2127","Brca2"
"2128","Ac78C"
"2129","prtp"
"2130","gbb"
"2131","CG10979"
"2132","Kebab"
"2133","CG7497"
"2134","Wsck"
"2135","Cyp6a20"
"2136","CG17350"
"2137","lin-28"
"2138","nolo"
"2139","nst"
"2140","CG8207"
"2141","Dmtn"
"2142","CG13138"
"2143","CG7430"
"2144","CG7059"
"2145","CG14722"
"2146","CG2004"
"2147","fln"
"2148","CG43207"
"2149","CG32495"
"2150","CG13078"
"2151","exd"
"2152","Pvr"
"2153","ine"
"2154","CR44321"
"2155","Traf6"
"2156","Ras64B"
"2157","CG6184"
"2158","COX5A"
"2159","shd"
"2160","Dcr-1"
"2161","CG4858"
"2162","shams"
"2163","Mocs1"
"2164","CG34198"
"2165","Oct-TyrR"
"2166","grk"
"2167","CG13367"
"2168","CG10669"
"2169","FMRFa"
"2170","Nha2"
"2171","CG4293"
"2172","bigmax"
"2173","CG5626"
"2174","CG12985"
"2175","CG43693"
"2176","CG14499"
"2177","BTBD9"
"2178","CG7903"
"2179","CR44969"
"2180","YME1L"
"2181","Pfdn6"
"2182","CG46301"
"2183","tio"
"2184","mRpL20"
"2185","CG34423"
"2186","Dad1"
"2187","CG31038"
"2188","pio"
"2189","CG11180"
"2190","Snm1"
"2191","Klp64D"
"2192","smo"
"2193","CG1665"
"2194","CG11686"
"2195","Tina-1"
"2196","Dhpr"
"2197","Trim9"
"2198","CG13003"
"2199","Atg101"
"2200","mge"
"2201","CG4282"
"2202","PIG-S"
"2203","Golgin104"
"2204","CG15561"
"2205","CR33222"
"2206","CG14971"
"2207","CG15653"
"2208","CG11178"
"2209","CG9389"
"2210","RpL24-like"
"2211","Atox1"
"2212","CG33977"
"2213","eIF2gamma"
"2214","CG31789"
"2215","Osbp"
"2216","Ag5r2"
"2217","CG33258"
"2218","CG1427"
"2219","Art7"
"2220","COX7C"
"2221","SPR"
"2222","CG14321"
"2223","CG2930"
"2224","CG12605"
"2225","CG8888"
"2226","cv-2"
"2227","Uba5"
"2228","h"
"2229","Rsf1"
"2230","CG9702"
"2231","ssp6"
"2232","CG2217"
"2233","Ufc1"
"2234","Cyp4s3"
"2235","CG12264"
"2236","in"
"2237","Grx1"
"2238","CG10031"
"2239","CG12499"
"2240","Kr-h2"
"2241","Catsup"
"2242","kermit"
"2243","dpr8"
"2244","Cyt-c-p"
"2245","CG9034"
"2246","CG8249"
"2247","CG10182"
"2248","DIP-gamma"
"2249","CG2277"
"2250","CG15118"
"2251","CG13676"
"2252","CG4557"
"2253","Mal-A4"
"2254","CG10864"
"2255","CG9436"
"2256","CR45251"
"2257","CG4951"
"2258","CG4950"
"2259","Gs1l"
"2260","Lmpt"
"2261","UQCR-C2"
"2262","CG5781"
"2263","Glut1"
"2264","Vmat"
"2265","CG5335"
"2266","CG16817"
"2267","CG16863"
"2268","GlcAT-I"
"2269","CG12391"
"2270","Rab7"
"2271","mRpL44"
"2272","CG7631"
"2273","Hrs"
"2274","Ctr9"
"2275","CG1890"
"2276","CG6891"
"2277","Tsp42Eh"
"2278","ldbr"
"2279","ND-24"
"2280","CG8786"
"2281","EndoGI"
"2282","Dot"
"2283","mxc"
"2284","IKKepsilon"
"2285","CG17027"
"2286","BubR1"
"2287","sced"
"2288","Usp8"
"2289","fkh"
"2290","CG17829"
"2291","CG18607"
"2292","Scr"
"2293","RpL7-like"
"2294","CG3224"
"2295","DNApol-iota"
"2296","Tsp42Er"
"2297","CG2911"
"2298","Tango10"
"2299","Idgf6"
"2300","CG34454"
"2301","Tace"
"2302","CR45126"
"2303","CG10803"
"2304","Kif19A"
"2305","Dscam2"
"2306","CCHa2"
"2307","CG30008"
"2308","CG4502"
"2309","Atg8a"
"2310","CG17802"
"2311","Madm"
"2312","CG8924"
"2313","Fdx1"
"2314","CG17036"
"2315","Cenp-C"
"2316","CG42380"
"2317","CG3587"
"2318","spidey"
"2319","Ser8"
"2320","CG14982"
"2321","CG8891"
"2322","Pi3K59F"
"2323","CG15356"
"2324","Snx16"
"2325","yata"
"2326","bgcn"
"2327","CG13458"
"2328","Arp10"
"2329","Mad1"
"2330","CG10126"
"2331","stv"
"2332","CG6951"
"2333","CysRS"
"2334","CG13737"
"2335","CG31156"
"2336","CG43861"
"2337","Snoo"
"2338","b6"
"2339","CG2656"
"2340","CG15515"
"2341","Nhe3"
"2342","SIDL"
"2343","Cog3"
"2344","CG6739"
"2345","CG8740"
"2346","LManVI"
"2347","Eh"
"2348","SCAP"
"2349","CG31706"
"2350","CG10268"
"2351","CG32225"
"2352","CG10139"
"2353","Dh31"
"2354","Rich"
"2355","CG5823"
"2356","CR44754"
"2357","CG9684"
"2358","CG17111"
"2359","Adck"
"2360","CG1582"
"2361","plum"
"2362","CG6418"
"2363","CG1233"
"2364","CG9837"
"2365","sea"
"2366","MESR3"
"2367","CG15279"
"2368","EloC"
"2369","coil"
"2370","Pif1B"
"2371","Oatp30B"
"2372","SCOT"
"2373","CG7997"
"2374","Nup44A"
"2375","CG7685"
"2376","ImpL3"
"2377","Rpn5"
"2378","CG1136"
"2379","CR45686"
"2380","CG3704"
"2381","CG46244"
"2382","CR44111"
"2383","Rbp1"
"2384","D"
"2385","aru"
"2386","CG12822"
"2387","clumsy"
"2388","Proc"
"2389","CG12316"
"2390","CG9410"
"2391","Ptip"
"2392","CG17544"
"2393","Herc4"
"2394","Dak1"
"2395","CG2310"
"2396","frtz"
"2397","RhoGAP68F"
"2398","Liprin-beta"
"2399","Sox21a"
"2400","Schip1"
"2401","cora"
"2402","Est-6"
"2403","Jon66Cii"
"2404","rux"
"2405","CarT"
"2406","Ucp4A"
"2407","ari-2"
"2408","TfIIFbeta"
"2409","NPF"
"2410","hfw"
"2411","GstO3"
"2412","CG17996"
"2413","alrm"
"2414","CG12880"
"2415","CG7616"
"2416","aos"
"2417","CG34117"
"2418","CG11000"
"2419","Atg1"
"2420","CR45955"
"2421","Orc6"
"2422","128up"
"2423","CG1234"
"2424","Oatp58Dc"
"2425","CG12236"
"2426","Gfat2"
"2427","Pax"
"2428","7B2"
"2429","CG13685"
"2430","Rab23"
"2431","ND-13B"
"2432","CG32576"
"2433","Diap2"
"2434","CG43163"
"2435","mei-S332"
"2436","Fas3"
"2437","sle"
"2438","CG34310"
"2439","Sec3"
"2440","FMRFaR"
"2441","COX7A"
"2442","CG5862"
"2443","pre-mod(mdg4)-G"
"2444","bab1"
"2445","IntS3"
"2446","Mdr65"
"2447","wtrw"
"2448","mtTFB1"
"2449","ArfGAP1"
"2450","Obp83cd"
"2451","spab"
"2452","SdhB"
"2453","CR44054"
"2454","mri"
"2455","CG16926"
"2456","CG4194"
"2457","Arpc4"
"2458","CG13026"
"2459","CG34180"
"2460","CG7881"
"2461","Ets98B"
"2462","CG10375"
"2463","CG17593"
"2464","CG3394"
"2465","Taf6"
"2466","ND-20"
"2467","Arc42"
"2468","snRNA:U1:82Eb"
"2469","Dhx15"
"2470","CG11474"
"2471","CG12546"
"2472","CG4587"
"2473","ana3"
"2474","hbs"
"2475","twe"
