"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0036214",4.46390491522102,-0.380564266715436,0.659788121589136,-0.576797693475939,0.564076127878108,0.999999592678844
"FBgn0014931",260.696401415925,-0.0876058905167243,0.48661788269997,-0.180030150208719,0.857128898450141,0.999999592678844
"FBgn0014930",694.775222340833,0.211048260039611,0.179994495383972,1.17252619081153,0.240985863200932,0.999999592678844
"FBgn0027562",1221.53854745406,0.411589782966146,1.67370538535512,0.245915312555929,0.805747790053643,0.999999592678844
"FBgn0027563",815.606161564324,0.475795169867578,1.10720601638449,0.429725961408026,0.667394996059695,0.999999592678844
"FBgn0027560",29763.1080047004,0.142719467392097,0.979698919233245,0.145676865198336,0.884176485410049,0.999999592678844
"FBgn0027561",1800.20804546407,-0.00599753259313261,0.10736563878109,-0.0558608197298682,0.955452683393614,0.999999592678844
"FBgn0027567",4136.43821595086,0.0433339719239556,0.260113979645734,0.166596089848669,0.867687870551247,0.999999592678844
"FBgn0027564",650.417732782818,0.358751665545661,0.237588747603882,1.50996909223911,0.131051310968531,0.999999592678844
"FBgn0027565",1144.75289161085,-0.202795618844177,0.196186222491393,-1.03368940116615,0.301281389556049,0.999999592678844
"FBgn0027568",1629.37130144968,0.185188297195135,0.204039061820977,0.907611981462741,0.364083261823233,0.999999592678844
"FBgn0027569",1404.811826423,0.244819080210642,0.108299901868455,2.26056603918264,0.0237861427206674,0.999999592678844
"FBgn0266044",11.0432630297568,-0.219445507790993,0.791562430526205,-0.277230827699987,0.781602869873066,0.999999592678844
"FBgn0266046",39.0752885068597,0.143733502202936,1.12713176190976,0.127521472697566,0.898527679164183,0.999999592678844
"FBgn0010438",766.226829346892,-0.078443141576027,0.567071772956495,-0.138330182028025,0.889979472993145,0.999999592678844
"FBgn0266042",222.164902789349,-0.0531651508630192,0.674799957438646,-0.0787865355902207,0.937202413796909,0.999999592678844
"FBgn0266048",5.51981658969054,0.455741717910074,1.26316217146424,0.360794305122187,0.718253220327044,0.999999592678844
"FBgn0037356",601.2975968289,0.40407242411569,0.136738583296609,2.95507247752589,0.00312595606007223,0.550134209221671
"FBgn0262057",1496.9055706051,0.400270002657716,0.952897531140395,0.420055661366534,0.674444792132806,0.999999592678844
"FBgn0030645",160.807626628859,0.213025173298466,0.118018190976038,1.80501981547673,0.0710715812907392,0.999999592678844
"FBgn0085218",15.5423773183718,0.595531081875682,0.919835665501064,0.64743204053876,0.517352364789509,0.999999592678844
"FBgn0085219",8.02395442421937,-0.0517538448484988,0.982403020759836,-0.0526808690067647,0.957986182177139,0.999999592678844
"FBgn0010435",4798.8527223857,0.35256443600205,0.670937159813507,0.52548056229297,0.599249162267964,0.999999592678844
"FBgn0259482",586.701418464429,-0.0784982386219441,0.167611887065563,-0.468333362246787,0.639546213923513,0.999999592678844
"FBgn0033579",68.7302096012296,-0.150613831215275,0.999958394825799,-0.150620097790682,0.880275406519884,0.999999592678844
"FBgn0085212",151.961288142122,-0.211574403897711,0.287750908115854,-0.73526928301657,0.462175511556833,0.999999592678844
"FBgn0033434",1245.47702607979,0.186001014181858,0.328112261368348,0.566882241480905,0.570794190174034,0.999999592678844
"FBgn0036117",535.390479503287,0.10111920550094,0.207941696637868,0.486286334755845,0.626764166616306,0.999999592678844
"FBgn0266102",41.8041169275317,0.162335993981462,0.25791724316716,0.629411170761659,0.529079906598116,0.999999592678844
"FBgn0036111",4828.85601289212,0.0894231673060801,0.267544726476957,0.334236329318127,0.73820123194015,0.999999592678844
"FBgn0036110",2.78852088454316,-1.08924046345948,0.942495329637128,-1.15569852625037,0.247804491197823,0.999999592678844
"FBgn0036112",3.52525487366549,-0.132378187493697,2.17228013724261,-0.0609397403328156,0.951407200033245,0.999999592678844
"FBgn0010431",2509.14295120321,-0.11424841247621,0.996890084950798,-0.114604823742277,0.908758356112178,0.999999592678844
"FBgn0033439",152.821453949016,0.243904796772649,1.43559946420316,0.169897525636115,0.865090727088532,0.999999592678844
"FBgn0033438",654.891914789417,-0.0868601892184071,0.647581663968868,-0.134130093625663,0.893299703379459,0.999999592678844
"FBgn0032082",136.570284849225,-0.0586434653786455,0.721590246144309,-0.081269758969161,0.935227423262385,0.999999592678844
"FBgn0040752",1911.7128645812,-0.0756192216601904,0.260168325657491,-0.290654988339135,0.771315200058105,0.999999592678844
"FBgn0015553",919.928468907215,-0.258266966370341,0.712048488022759,-0.362709802372455,0.716821676458954,0.999999592678844
"FBgn0015550",10.1397756423025,-0.36487856883808,1.1257878262518,-0.324109534967087,0.745855108389345,0.999999592678844
"FBgn0029174",3819.67061608191,0.215716704694342,0.357291227098286,0.603755951262136,0.54600590903608,0.999999592678844
"FBgn0040754",626.045105187507,0.0761705515704457,0.248223230469397,0.30686310635151,0.758947571945856,0.999999592678844
"FBgn0039294",10.5740346257655,0.160714565146071,1.20045206607466,0.133878369397612,0.89349875500838,0.999999592678844
"FBgn0015558",943.452302143728,-0.237030074831993,0.841822182661654,-0.281567865178554,0.778274883481756,0.999999592678844
"FBgn0040759",142.565915499308,-0.431836914704973,1.91495515878027,-0.225507585765106,0.821584424757075,0.999999592678844
"FBgn0010043",42.7702356249614,1.53707427242256,1.14657691821746,1.34057667479665,0.180057934551929,0.999999592678844
"FBgn0038247",60.7022808131936,0.539007427628459,0.896859790096873,0.600994083557074,0.547843926948799,0.999999592678844
"FBgn0036090",336.01666805828,-0.160413741550856,0.122172883210149,-1.31300610524948,0.189180890925445,0.999999592678844
"FBgn0038244",2225.30890793919,-0.0320915366019166,0.236882462136878,-0.135474514712588,0.892236712792067,0.999999592678844
"FBgn0038243",435.562235743874,0.163842899937776,0.43631944350061,0.375511342385426,0.707280212588329,0.999999592678844
"FBgn0051233",5962.26910458867,0.49037533550811,1.60352927002129,0.305810030833799,0.759749290635379,0.999999592678844
"FBgn0029170",100.910637205275,0.15059623406387,1.45443193462982,0.10354299192571,0.917532030215338,0.999999592678844
"FBgn0038248",2.09895656048258,0.566891572984934,1.58682941373674,0.357247961297863,0.720906183696798,0.999999592678844
"FBgn0039293",797.446176171577,0.0332604282609376,0.42666577883703,0.0779542909478142,0.937864412830953,0.999999592678844
"FBgn0036094",99.6804604224651,0.263570306415445,1.31583368396624,0.200306702607719,0.841240720854263,0.999999592678844
"FBgn0036373",479.955445529327,-0.0241683773631058,0.111172594070425,-0.21739510142037,0.827900448421453,0.999999592678844
"FBgn0036372",1338.17278541742,0.0890764158914075,0.242012706463077,0.368065037547925,0.712824739735713,0.999999592678844
"FBgn0036374",843.94559656182,-0.136305112332011,0.260234485274719,-0.523778054196464,0.60043291907864,0.999999592678844
"FBgn0036377",38.2557858853115,-0.31820382056136,0.969669920871513,-0.328156843594124,0.742793076436311,0.999999592678844
"FBgn0036376",1475.41776017561,-0.217825192405257,0.160943736555448,-1.35342447657298,0.175920062320914,0.999999592678844
"FBgn0051909",11.7948058608485,-0.086509612931893,1.14646102435907,-0.0754579624547257,0.939850343239409,0.999999592678844
"FBgn0051908",1375.50007068484,0.0146490850037722,0.0876727813632188,0.167088174642055,0.867300670481736,0.999999592678844
"FBgn0051729",4245.10229860038,0.0515108892633602,0.206493481982871,0.249455279501912,0.803008629396061,0.999999592678844
"FBgn0005614",8883.06571543189,-0.962843014272798,2.06992420878153,-0.465158584158779,0.641817895076665,0.999999592678844
"FBgn0005617",1795.53340567474,-0.274554214760785,0.396096959177815,-0.693149009097877,0.488216044171513,0.999999592678844
"FBgn0005612",879.500822325706,0.241036331135731,0.392538062248604,0.614045755856095,0.539185091715551,0.999999592678844
"FBgn0025809",707.870317348049,-0.20633516458706,0.398385334212479,-0.517928615507243,0.604508075845403,0.999999592678844
"FBgn0027338",8592.85203122635,-0.0268505975530836,0.119714335878429,-0.224288907055798,0.822532507237993,0.999999592678844
"FBgn0005619",524.24755645031,0.167534380226961,1.65650183853885,0.101137455044866,0.919441345641181,0.999999592678844
"FBgn0039419",979.479958598359,-0.140690516431397,0.562299282201291,-0.250205754986245,0.802428234941507,0.999999592678844
"FBgn0266041",8.13128030579686,0.447283495387835,0.615854905401791,0.726280640885733,0.467666744724879,0.999999592678844
"FBgn0267270",6.95983193191667,-0.818123288408037,1.8299627503764,-0.447071006357784,0.654823792359573,0.999999592678844
"FBgn0262351",2.93026032566301,-0.547394213754145,2.41170173058281,-0.226974259218142,0.820443758002211,0.999999592678844
"FBgn0262352",4.58830999317201,-0.127017172700373,1.49881387483875,-0.0847451273521456,0.932464018545244,0.999999592678844
"FBgn0262353",797.042705381035,0.411027098380509,0.740486362123463,0.555077202504882,0.57884185540557,0.999999592678844
"FBgn0267277",5.83087282465896,-1.92316862667099,1.08912286965391,-1.7657958346629,0.0774301075853803,0.999999592678844
"FBgn0267278",18.7764657297911,0.0510414181793223,0.348702527942265,0.146375245629918,0.883625167943129,0.999999592678844
"FBgn0265813",2.17339973885692,-1.64142158235516,1.81145276148026,-0.906135460586806,0.364864158229145,0.999999592678844
"FBgn0265810",149.527321517107,0.00589781939620419,0.444627296949411,0.0132646363295037,0.989416661826344,0.999999592678844
"FBgn0265811",10.6868434787276,-0.381694444581181,0.63296317974891,-0.603027880283013,0.546490142073706,0.999999592678844
"FBgn0265814",1.78197900710742,-0.57319774022467,2.60550708447519,-0.21999469647964,0.825875285127507,0.999999592678844
"FBgn0260933",82.8204135044371,0.293604715513017,0.365997208154467,0.802204795477845,0.422434502868341,0.999999592678844
"FBgn0035876",419.491557444267,0.0194733222539684,0.135714637464765,0.143487265763976,0.885905367632247,0.999999592678844
"FBgn0035875",2.46790240977466,-0.0115849617672515,2.5292697025644,-0.0045803584155164,0.996345415515991,0.999999592678844
"FBgn0265819",7.10600861300284,-0.372699743630502,0.453052929090286,-0.822640622540218,0.410712390648197,0.999999592678844
"FBgn0035873",80.4006442683195,-0.276156472197994,2.64789443464433,-0.104292855706345,0.916936947316899,0.999999592678844
"FBgn0035872",2179.15727709905,0.184843049420422,0.421985370174425,0.438031890404206,0.661363166046508,0.999999592678844
"FBgn0035871",3549.06479007469,0.343414974965065,0.300368950329148,1.1433105005985,0.2529096967813,0.999999592678844
