gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
CG43740,Dmel,FBgn0263997,"FBgn0030192,FBgn0030193",CG43740,"CG15307,CG12641"
CG12347,Dmel,FBgn0038558,,CG12347,
CG12498,Dmel,FBgn0040356,FBgn0029635,CG12498,
Cpr78Cc,Dmel,FBgn0037069,"FBgn0026291,FBgn0063036",CG7658,
CG40813,Dmel,FBgn0085521,,CG40813,
CG4928,Dmel,FBgn0027556,,CG4928,
CG42613,Dmel,FBgn0261262,"FBgn0051149,FBgn0051222,FBgn0038663,FBgn0038664",CG42613,"CG31149,CG31222,CG5449,CG14289"
CG33269,Dmel,FBgn0053269,"FBgn0036175,FBgn0040819,FBgn0052084",CG33269,"CG6100,CG14139,CG32084"
CG7963,Dmel,FBgn0037584,,CG7963,
BTBD9,Dmel,FBgn0030228,,CG1826,
CG10232,Dmel,FBgn0039108,,CG10232,
gd,Dmel,FBgn0000808,,CG1505,
CG1416,Dmel,FBgn0032961,,CG1416,
CG31954,Dmel,FBgn0051954,FBgn0031543,CG31954,CG3229
CG3788,Dmel,FBgn0034800,,CG3788,
drl,Dmel,FBgn0015380,"FBgn0032764,FBgn0032765",CG17348,CG10758
wb,Dmel,FBgn0261563,"FBgn0004002,FBgn0025691,FBgn0032544,FBgn0052970,FBgn0028885",CG42677,"CG32970,CG15288"
CG4866,Dmel,FBgn0034232,,CG4866,
CG10026,Dmel,FBgn0032785,,CG10026,
frj,Dmel,FBgn0031815,,CG9526,
CG13096,Dmel,FBgn0032050,,CG13096,
Elba2,Dmel,FBgn0031435,,CG9883,
CG42502,Dmel,FBgn0260228,,CG42502,
snoRNA:Me28S-C3420a,Dmel,FBgn0083988,,CR34152,
MED18,Dmel,FBgn0026873,,CG14802,
CG13996,Dmel,FBgn0031763,,CG13996,
NetB,Dmel,FBgn0015774,,CG10521,
CG30082,Dmel,FBgn0050082,,CG30082,CR30082
Sb,Dmel,FBgn0003319,FBgn0010169,CG4316,
CG12520,Dmel,FBgn0036324,,CG12520,
CG15270,Dmel,FBgn0028879,,CG15270,
snoRNA:Me28S-C3420b,Dmel,FBgn0083989,,CR34153,
CG3611,Dmel,FBgn0035069,FBgn0063339,CG3611,
CG42714,Dmel,FBgn0261631,,CG42714,
klar,Dmel,FBgn0001316,FBgn0002650,CG17046,
Obp83b,Dmel,FBgn0010403,,CG11422,
Drat,Dmel,FBgn0033188,,CG1600,
CG11581,Dmel,FBgn0030540,,CG11581,
sax,Dmel,FBgn0003317,,CG1891,
CG34222,Dmel,FBgn0250822,"FBgn0085251,FBgn0046076,FBgn0045330,FBgn0046065",CG34222,
CG8343,Dmel,FBgn0040502,FBgn0033066,CG8343,
Rpi,Dmel,FBgn0050410,FBgn0034848,CG30410,CG9872
CG13625,Dmel,FBgn0039210,FBgn0062057,CG13625,
pre-lola-G,Dmel,FBgn0264817,,CG44025,
RhoGEF2,Dmel,FBgn0023172,"FBgn0010569,FBgn0020519",CG9635,
Patronin,Dmel,FBgn0263197,"FBgn0262637,FBgn0022085,FBgn0034233,FBgn0034234,FBgn0034235,FBgn0034236,FBgn0050102,FBgn0053130,FBgn0063154",CG33130,"CG18462,CG18460,CG18459,CG30102,CG6516"
Updo,Dmel,FBgn0033428,,CG1818,
CG12128,Dmel,FBgn0033473,,CG12128,
Sirup,Dmel,FBgn0031971,"FBgn0027762,FBgn0063239",CG7224,
CG16825,Dmel,FBgn0032503,FBgn0063748,CG16825,
velo,Dmel,FBgn0035713,,CG10107,
Cp1,Dmel,FBgn0013770,FBgn0019814,CG6692,
Ilp1,Dmel,FBgn0044051,FBgn0036045,CG14173,
CG31904,Dmel,FBgn0260479,"FBgn0045953,FBgn0051904",CG31904,
Ppt1,Dmel,FBgn0030057,,CG12108,
Gale,Dmel,FBgn0035147,,CG12030,
CG45122,Dmel,FBgn0266615,,CG45122,
mir-5,Dmel,FBgn0262408,"FBgn0046820,FBgn0262245",CR42952,CR33036
mir-2489,Dmel,FBgn0262194,,CR42901,
Ser7,Dmel,FBgn0019929,FBgn0030154,CG2045,
Taf1,Dmel,FBgn0010355,"FBgn0004775,FBgn0010420,FBgn0016735",CG17603,
mir-995,Dmel,FBgn0262185,,CR42892,
mir-277,Dmel,FBgn0262419,"FBgn0067715,FBgn0262261",CR42968,CR33588
Hr83,Dmel,FBgn0037436,,CG10296,
CG6073,Dmel,FBgn0039417,,CG6073,
CG45100,Dmel,FBgn0266539,,CG45100,
mir-7,Dmel,FBgn0262370,"FBgn0046816,FBgn0262176",CR42883,CR33042
Dlish,Dmel,FBgn0034264,,CG10933,
sls,Dmel,FBgn0086906,"FBgn0003432,FBgn0002186,FBgn0010396,FBgn0010850,FBgn0011512,FBgn0015898,FBgn0020409,FBgn0024279,FBgn0035301,FBgn0035302,FBgn0042183,FBgn0028238",CG1915,"CG18242,CG18857,CG18245"
Shawn,Dmel,FBgn0031039,FBgn0053075,CG14209,CG33075
Tep5,Dmel,FBgn0264845,"FBgn0032808,FBgn0032807,FBgn0041179",CG13079,CG13080
CG11670,Dmel,FBgn0038114,,CG11670,
AttC,Dmel,FBgn0041579,FBgn0033833,CG4740,
Phlpp,Dmel,FBgn0032749,,CG10493,
phyl,Dmel,FBgn0013725,,CG10108,
CG44013,Dmel,FBgn0264775,FBgn0038346,CG44013,CG14872
CG12184,Dmel,FBgn0025387,,CG12184,
cu,Dmel,FBgn0261808,"FBgn0000387,FBgn0037872,FBgn0037871,FBgn0051299",CG31299,"CG4796,CG4782"
CG12688,Dmel,FBgn0029707,,CG12688,
CG12702,Dmel,FBgn0031070,,CG12702,
porin,Dmel,FBgn0004363,"FBgn0016759,FBgn0022189,FBgn0024919,FBgn0066003",CG6647,
CG12309,Dmel,FBgn0033542,,CG12309,
mir-137,Dmel,FBgn0262446,"FBgn0082181,FBgn0262305",CR43012,CR33575
mir-288,Dmel,FBgn0262425,"FBgn0067704,FBgn0262271",CR42978,CR33604
mir-1011,Dmel,FBgn0262422,"FBgn0250807,FBgn0262267",CR42974,
mir-967,Dmel,FBgn0262203,,CR42910,
mir-2282,Dmel,FBgn0262260,,CR42967,
mir-1008,Dmel,FBgn0262412,"FBgn0250804,FBgn0262250",CR42957,
mir-1009,Dmel,FBgn0262435,"FBgn0250805,FBgn0262287",CR42994,
CG12256,Dmel,FBgn0038002,,CG12256,
CG4293,Dmel,FBgn0024983,,CG4293,
mir-287,Dmel,FBgn0262400,"FBgn0067705,FBgn0262232",CR42939,CR33603
mir-3,Dmel,FBgn0262372,"FBgn0046822,FBgn0262183",CR42890,CR33037
mir-92b,Dmel,FBgn0262388,"FBgn0067681,FBgn0262209",CR42916,CR33572
mir-313,Dmel,FBgn0262441,"FBgn0067691,FBgn0262296",CR43003,CR33617
cd,Dmel,FBgn0263986,"FBgn0000272,FBgn0039005",CG6969,
CG12725,Dmel,FBgn0030483,,CG12725,
Ccp84Ag,Dmel,FBgn0004777,FBgn0063076,CG2342,
snRNA:U11,Dmel,FBgn0083987,"FBgn0053708,FBgn0065106,FBgn0083061",CR34151,
zen,Dmel,FBgn0004053,"FBgn0013967,FBgn0019915",CG1046,
CG44954,Dmel,FBgn0266259,,CG44954,
CG43111,Dmel,FBgn0262571,,CG43111,
CG6262,Dmel,FBgn0034121,,CG6262,
CG42704,Dmel,FBgn0261615,,CG42704,
CG34015,Dmel,FBgn0054015,FBgn0082900,CG34015,
Ocho,Dmel,FBgn0040296,"FBgn0036457,FBgn0036458",CG3396,CG5138
CG34007,Dmel,FBgn0054007,FBgn0082886,CG34007,
mir-1007,Dmel,FBgn0262454,"FBgn0250803,FBgn0262318",CR43025,
mir-9b,Dmel,FBgn0262413,"FBgn0067679,FBgn0262253",CR42960,CR33563
mir-2494,Dmel,FBgn0262233,,CR42940,
CR10991,Dmel,FBgn0037389,,CR10991,CG10991
CG8366,Dmel,FBgn0034054,,CG8366,
SP1173,Dmel,FBgn0035710,,CG10121,
Cyp316a1,Dmel,FBgn0035790,,CG8540,
Osi4,Dmel,FBgn0037412,,CG10303,
CG8620,Dmel,FBgn0040837,,CG8620,
CG10463,Dmel,FBgn0032819,,CG10463,
CG42518,Dmel,FBgn0260392,FBgn0034311,CG42518,CG5134
fred,Dmel,FBgn0051774,"FBgn0031577,FBgn0031578,FBgn0040709",CG31774,"CG3393,CG3390,CG12675"
CG8813,Dmel,FBgn0031476,FBgn0044529,CG8813,
Or7a,Dmel,FBgn0030016,,CG10759,
Nos,Dmel,FBgn0011676,,CG6713,
