gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
snoRNA:gcl-a,Dmel,FBgn0263463,,CR43578,
snoRNA:kis-a,Dmel,FBgn0263465,,CR43580,
snoRNA:SC35-a,Dmel,FBgn0263468,,CR43583,
snoRNA:2R:9445205,Dmel,FBgn0263472,,CR43587,
snoRNA:CG16892-a,Dmel,FBgn0263475,,CR43590,
snoRNA:CG32479-b,Dmel,FBgn0263476,,CR43591,
Vha14-2,Dmel,FBgn0037402,,CG1076,
snoRNA:lola-c,Dmel,FBgn0263482,,CR43597,
CG14231,Dmel,FBgn0031060,,CG14231,
Dop1R1,Dmel,FBgn0011582,,CG9652,
Dop1R2,Dmel,FBgn0266137,"FBgn0015129,FBgn0042212,FBgn0015741",CG18741,CG7569
CG43448,Dmel,FBgn0263402,,CG43448,
CG43449,Dmel,FBgn0263403,,CG43449,
CG14230,Dmel,FBgn0031062,FBgn0019898,CG14230,
Src42A,Dmel,FBgn0264959,"FBgn0004603,FBgn0010284,FBgn0014884,FBgn0021964,FBgn0022795,FBgn0024932,FBgn0033049",CG44128,"CG7873,CG14471"
CG43450,Dmel,FBgn0263404,,CG43450,
Acp33A,Dmel,FBgn0267327,"FBgn0023414,FBgn0032367,FBgn0052952",CG6555,"CG32952,CG15841"
CR43482,Dmel,FBgn0263493,,CR43482,
CG15312,Dmel,FBgn0030174,,CG15312,
CG3809,Dmel,FBgn0037995,FBgn0044682,CG3809,
Mco1,Dmel,FBgn0032116,,CG3759,
Ttc19,Dmel,FBgn0032744,,CG15173,
Cad74A,Dmel,FBgn0036715,,CG6445,
Xpd,Dmel,FBgn0261850,"FBgn0015844,FBgn0065247",CG9433,
Alh,Dmel,FBgn0261238,"FBgn0037471,FBgn0011412,FBgn0011439,FBgn0062159,FBgn0003528",CG1070,
CG15083,Dmel,FBgn0034399,FBgn0047034,CG15083,
CG15084,Dmel,FBgn0034402,,CG15084,
CG4210,Dmel,FBgn0038302,"FBgn0062846,FBgn0064777",CG4210,
SIDL,Dmel,FBgn0038303,,CG6623,
tud,Dmel,FBgn0003891,,CG9450,
LSm1,Dmel,FBgn0261067,"FBgn0034600,FBgn0259792",CG4279,
apt,Dmel,FBgn0015903,"FBgn0010526,FBgn0010619,FBgn0010654,FBgn0016073,FBgn0021909,FBgn0023031",CG5393,
CG4266,Dmel,FBgn0034598,,CG4266,
CG14624,Dmel,FBgn0040357,FBgn0029569,CG14624,
CR43483,Dmel,FBgn0263494,,CR43483,
CG1635,Dmel,FBgn0039854,,CG1635,
Clect27,Dmel,FBgn0031629,,CG3244,
KaiR1D,Dmel,FBgn0038837,,CG3822,
Ucp4C,Dmel,FBgn0031757,"FBgn0063444,FBgn0063445,FBgn0064194,FBgn0064195,FBgn0066863,FBgn0067797,FBgn0067798",CG9064,
CG43630,Dmel,FBgn0263621,,CG43630,
srl,Dmel,FBgn0037248,,CG9809,
CG17931,Dmel,FBgn0038421,FBgn0063723,CG17931,
Taf12L,Dmel,FBgn0031623,,CG15632,
CG1827,Dmel,FBgn0033431,,CG1827,
CG5466,Dmel,FBgn0038815,,CG5466,
PH4alphaNE2,Dmel,FBgn0039783,,CG9720,
CG3597,Dmel,FBgn0031417,,CG3597,
CG10163,Dmel,FBgn0035697,,CG10163,
CG11262,Dmel,FBgn0036329,,CG11262,
CG10909,Dmel,FBgn0038090,,CG10909,
Root,Dmel,FBgn0039152,,CG6129,
Sems,Dmel,FBgn0037036,,CG10586,
Ppat-Dpck,Dmel,FBgn0035632,,CG10575,
CG17691,Dmel,FBgn0039993,,CG17691,
CG32483,Dmel,FBgn0052483,,CG32483,
CR12798,Dmel,FBgn0039987,,CR12798,CG12798
CG32945,Dmel,FBgn0052945,,CG32945,
Erk7,Dmel,FBgn0052703,"FBgn0030118,FBgn0030119",CG32703,"CG2309,CG17441"
rho-4,Dmel,FBgn0030318,,CG1697,
Tep4,Dmel,FBgn0041180,FBgn0032806,CG10363,
TwdlC,Dmel,FBgn0039469,,CG14254,
CG12404,Dmel,FBgn0032465,,CG12404,
CanB2,Dmel,FBgn0015614,FBgn0033220,CG11217,
Cenp-C,Dmel,FBgn0266916,"FBgn0086697,FBgn0051258,FBgn0037598,FBgn0037597,FBgn0002310,FBgn0065118",CG31258,"CG11745,CG11746"
Lcp9,Dmel,FBgn0025578,FBgn0035062,CG16914,
CR42499,Dmel,FBgn0260225,,CR42499,CG42499
Slh,Dmel,FBgn0264978,"FBgn0015816,FBgn0031429",CG3539,CG15393
CG4267,Dmel,FBgn0264979,"FBgn0031405,FBgn0051686",CG4267,CG31686
CG8006,Dmel,FBgn0035857,,CG8006,
Muc12Ea,Dmel,FBgn0052602,FBgn0030561,CG32602,CG5228
CG3121,Dmel,FBgn0034957,FBgn0044775,CG3121,
arm,Dmel,FBgn0000117,"FBgn0029069,FBgn0040191,FBgn0045040",CG11579,
Pis,Dmel,FBgn0030670,FBgn0066023,CG9245,
egr,Dmel,FBgn0033483,"FBgn0062838,FBgn0064801",CG12919,
NijB,Dmel,FBgn0036822,,CG11637,
NijC,Dmel,FBgn0038079,,CG14394,
Spn28B,Dmel,FBgn0083141,FBgn0031924,CG6717,
Spn28F,Dmel,FBgn0028987,FBgn0032007,CG8137,
Spn42Dd,Dmel,FBgn0028988,FBgn0033114,CG9456,
Spn88Ea,Dmel,FBgn0028984,FBgn0038298,CG18525,
sens,Dmel,FBgn0002573,"FBgn0011709,FBgn0027151,FBgn0036355,FBgn0052120",CG32120,CG10714
pck,Dmel,FBgn0013720,"FBgn0001369,FBgn0025384,FBgn0027323,FBgn0027333",CG14779,
CG17059,Dmel,FBgn0040754,FBgn0063276,CG17059,
Patsas,Dmel,FBgn0029137,FBgn0032410,CG6618,
xmas-2,Dmel,FBgn0028974,"FBgn0030822,FBgn0052562",CG32562,CG8919
Dp,Dmel,FBgn0011763,FBgn0002082,CG4654,
Pif1B,Dmel,FBgn0046874,"FBgn0027540,FBgn0052940,FBgn0053720",CG33720,"CG32940,CG9808"
Dl,Dmel,FBgn0000463,"FBgn0011411,FBgn0062130",CG3619,
CG32808,Dmel,FBgn0052808,FBgn0025385,CG32808,
KFase,Dmel,FBgn0031821,,CG9542,
esc,Dmel,FBgn0000588,,CG14941,
xmas-1,Dmel,FBgn0016080,"FBgn0030822,FBgn0052561",CG32561,CG8919
CG9400,Dmel,FBgn0030562,FBgn0044785,CG9400,
Sms,Dmel,FBgn0036272,FBgn0062047,CG4300,
dos,Dmel,FBgn0016794,,CG1044,
LysS,Dmel,FBgn0004430,"FBgn0002575,FBgn0063108",CG1165,
EMC3,Dmel,FBgn0032292,,CG6750,
CG30015,Dmel,FBgn0050015,"FBgn0027733,FBgn0033559,FBgn0033560",CG30015,"CG7701,CG7699"
REPTOR,Dmel,FBgn0039209,FBgn0045886,CG13624,
EMC1,Dmel,FBgn0037530,FBgn0045351,CG2943,
CG15611,Dmel,FBgn0034194,,CG15611,
EMC8-9,Dmel,FBgn0034791,"FBgn0061366,FBgn0064784",CG3501,
RpL38,Dmel,FBgn0040007,"FBgn0002066,FBgn0002601,FBgn0013538,FBgn0020393,FBgn0058278,FBgn0061397",CG18001,CG40278
REPTOR-BP,Dmel,FBgn0032202,FBgn0062903,CG18619,
Vps4,Dmel,FBgn0283469,"FBgn0264354,FBgn0027605",CG6842,
Toll-7,Dmel,FBgn0034476,,CG8595,
CG43273,Dmel,FBgn0262962,,CG43273,
Map60,Dmel,FBgn0010342,FBgn0015027,CG1825,
CG10340,Dmel,FBgn0022344,,CG10340,
nerfin-1,Dmel,FBgn0028999,FBgn0035177,CG13906,
CG11388,Dmel,FBgn0034959,FBgn0027694,CG11388,
CG4678,Dmel,FBgn0030778,,CG4678,
CR43275,Dmel,FBgn0262964,,CR43275,
CR43276,Dmel,FBgn0262965,,CR43276,
wupA,Dmel,FBgn0283471,"FBgn0025518,FBgn0004028,FBgn0026829",CG7178,
CG2310,Dmel,FBgn0039665,,CG2310,
S6k,Dmel,FBgn0283472,"FBgn0015806,FBgn0010455,FBgn0011551,FBgn0004460",CG10539,
CG13907,Dmel,FBgn0035173,,CG13907,
S6KL,Dmel,FBgn0283473,"FBgn0004462,FBgn0024489,FBgn0024143",CG7001,
milt,Dmel,FBgn0262872,"FBgn0022201,FBgn0031884,FBgn0045937,FBgn0051630",CG43227,"CG13777,CG31630"
CG3277,Dmel,FBgn0031518,,CG3277,
CG17472,Dmel,FBgn0032868,FBgn0063232,CG17472,
CG3257,Dmel,FBgn0034978,FBgn0027764,CG3257,
Spase12,Dmel,FBgn0040623,FBgn0051042,CG11500,CG31042
row,Dmel,FBgn0033998,FBgn0062179,CG8092,
CG40198,Dmel,FBgn0058198,FBgn0062452,CG40198,
CG5112,Dmel,FBgn0039341,,CG5112,
CG12825,Dmel,FBgn0033221,,CG12825,
CG9536,Dmel,FBgn0031818,,CG9536,
mad2,Dmel,FBgn0035640,,CG17498,
CG17237,Dmel,FBgn0031410,FBgn0063331,CG17237,
CG4338,Dmel,FBgn0038313,,CG4338,
CR43170,Dmel,FBgn0262789,,CR43170,
CG2691,Dmel,FBgn0030504,,CG2691,
O-fut2,Dmel,FBgn0027791,,CG14789,
Su(Ste):CR42414,Dmel,FBgn0259845,,CR42414,
Pdk,Dmel,FBgn0017558,FBgn0062465,CG8808,
msb1l,Dmel,FBgn0027949,,CG10364,
CG8578,Dmel,FBgn0030699,,CG8578,
CG17294,Dmel,FBgn0032032,,CG17294,
nudC,Dmel,FBgn0021768,FBgn0036664,CG9710,
CG34324,Dmel,FBgn0085353,,CG34324,CG12726
CG10062,Dmel,FBgn0034439,FBgn0044645,CG10062,
CG14500,Dmel,FBgn0034318,,CG14500,
CG33958,Dmel,FBgn0053958,"FBgn0034316,FBgn0034319",CG33958,"CG5719,CG14501"
CG14647,Dmel,FBgn0037244,,CG14647,
CG2186,Dmel,FBgn0030243,,CG2186,
Pkc53E,Dmel,FBgn0003091,FBgn0034167,CG6622,
l(1)G0007,Dmel,FBgn0026713,"FBgn0026709,FBgn0027309,FBgn0028281,FBgn0029047,FBgn0030546,FBgn0030550,FBgn0040139,FBgn0040178,FBgn0040194,FBgn0044447,FBgn0044450,FBgn0052604",CG32604,"CG1405,CG1375"
Sply,Dmel,FBgn0010591,"FBgn0034190,FBgn0044523",CG8946,
CG32846,Dmel,FBgn0052846,,CG32846,
Tm1,Dmel,FBgn0003721,"FBgn0010776,FBgn0011036,FBgn0015832,FBgn0015833,FBgn0046771,FBgn0046800,FBgn0060408,FBgn0064771",CG4898,
flw,Dmel,FBgn0000711,"FBgn0003131,FBgn0029072,FBgn0030197,FBgn0030198,FBgn0066854",CG2096,CG15305
MRP,Dmel,FBgn0032456,,CG6214,
dob,Dmel,FBgn0030607,,CG5560,
CG42811,Dmel,FBgn0261993,FBgn0040599,CG42811,CG18669
Vha100-1,Dmel,FBgn0028671,FBgn0027533,CG1709,
CG5721,Dmel,FBgn0034315,,CG5721,
Usp7,Dmel,FBgn0030366,,CG1490,
CG9240,Dmel,FBgn0030669,FBgn0027703,CG9240,
GluRIIC,Dmel,FBgn0046113,FBgn0031293,CG4226,
CG12866,Dmel,FBgn0033955,,CG12866,
CG13749,Dmel,FBgn0033353,,CG13749,
CG34382,Dmel,FBgn0085411,"FBgn0036055,FBgn0036054",CG34382,"CG14166,CG14165"
Efhc1.1,Dmel,FBgn0030691,,CG8959,
Acp62F,Dmel,FBgn0020509,,CG1262,
CG9129,Dmel,FBgn0035196,,CG9129,
CG42566,Dmel,FBgn0260768,FBgn0034760,CG42566,CG13512
Zfrp8,Dmel,FBgn0021875,FBgn0034981,CG3260,
sosie,Dmel,FBgn0039232,"FBgn0063686,FBgn0064906",CG13636,
Oseg6,Dmel,FBgn0034452,,CG11237,
CG13062,Dmel,FBgn0036603,,CG13062,
CG13829,Dmel,FBgn0039059,,CG13829,
Cyp12e1,Dmel,FBgn0037817,,CG14680,
Poc1,Dmel,FBgn0036354,,CG10191,
Cyp28d2,Dmel,FBgn0031688,,CG6081,
Npc1b,Dmel,FBgn0261675,"FBgn0031140,FBgn0001560,FBgn0013506,FBgn0031136",CG12092,CG11233
Gapdh1,Dmel,FBgn0001091,FBgn0043822,CG12055,
CG30158,Dmel,FBgn0050158,"FBgn0033116,FBgn0040675,FBgn0040676,FBgn0063683",CG30158,"CG9464,CG15244,CG15243"
CG1986,Dmel,FBgn0030162,,CG1986,
CG34138,Dmel,FBgn0083974,,CG34138,
ranshi,Dmel,FBgn0037620,,CG9793,
Tdrd3,Dmel,FBgn0036450,,CG13472,
CG12860,Dmel,FBgn0033954,FBgn0044552,CG12860,
CG10268,Dmel,FBgn0032811,FBgn0062883,CG10268,
CG4949,Dmel,FBgn0030813,,CG4949,
IntS8,Dmel,FBgn0025830,,CG5859,
IntS4,Dmel,FBgn0026679,FBgn0030047,CG12113,
CG31528,Dmel,FBgn0051528,"FBgn0045807,FBgn0047301",CG31528,
Dgp-1,Dmel,FBgn0027836,,CG5729,
CG14073,Dmel,FBgn0036814,,CG14073,
CG10555,Dmel,FBgn0030034,,CG10555,
CG42797,Dmel,FBgn0261931,"FBgn0030144,FBgn0030145",CG42797,"CG3099,CG3003"
mTerf5,Dmel,FBgn0038584,,CG7175,
CG4970,Dmel,FBgn0032364,"FBgn0044692,FBgn0052953",CG4970,CG32953
CG13955,Dmel,FBgn0033412,,CG13955,
CG13771,Dmel,FBgn0031844,,CG13771,
CG42544,Dmel,FBgn0260713,,CG42544,
Stlk,Dmel,FBgn0046692,"FBgn0047227,FBgn0058293",CG40293,
spi,Dmel,FBgn0005672,"FBgn0002048,FBgn0003474,FBgn0010472,FBgn0010690,FBgn0062206",CG10334,
CG12716,Dmel,FBgn0030439,,CG12716,
CG4341,Dmel,FBgn0028481,,CG4341,
Nplp3,Dmel,FBgn0042201,"FBgn0036604,FBgn0062957",CG13061,CG18502
CG15461,Dmel,FBgn0040649,,CG15461,
Cpr11A,Dmel,FBgn0030394,,CG2560,
fsd,Dmel,FBgn0033813,,CG12765,
Cpr11B,Dmel,FBgn0030398,,CG2555,
CG13760,Dmel,FBgn0040375,FBgn0029625,CG13760,
CG15005,Dmel,FBgn0035508,,CG15005,
CG3081,Dmel,FBgn0025613,,CG3081,
CG15249,Dmel,FBgn0030161,,CG15249,
CG42668,Dmel,FBgn0261550,"FBgn0038785,FBgn0038786",CG42668,"CG5077,CG15684"
CG45069,Dmel,FBgn0266439,,CG45069,CG3419
CG31542,Dmel,FBgn0051542,"FBgn0045137,FBgn0045367,FBgn0045439,FBgn0063330",CG31542,
CG14695,Dmel,FBgn0037850,,CG14695,
CG1638,Dmel,FBgn0039855,,CG1638,
Nup75,Dmel,FBgn0034310,,CG5733,
g,Dmel,FBgn0001087,"FBgn0001800,FBgn0030516,FBgn0030517",CG10986,CG11197
eve,Dmel,FBgn0000606,"FBgn0014159,FBgn0014984,FBgn0015483,FBgn0017400,FBgn0019712,FBgn0019718,FBgn0019720,FBgn0019721,FBgn0019816,FBgn0023205",CG2328,
CG13091,Dmel,FBgn0032055,,CG13091,
CG12129,Dmel,FBgn0033475,,CG12129,
kat80,Dmel,FBgn0040207,"FBgn0030730,FBgn0030732",CG13956,CG9910
CG13059,Dmel,FBgn0036607,,CG13059,
CR11386,Dmel,FBgn0260447,FBgn0029973,CR11386,CG11386
CalpC,Dmel,FBgn0260450,FBgn0030741,CG3692,
Cpr65Az,Dmel,FBgn0035686,,CG12330,
Cpr65Ea,Dmel,FBgn0035735,,CG8640,
PH4alphaMP,Dmel,FBgn0026190,FBgn0015713,CG9726,
CG30460,Dmel,FBgn0050460,"FBgn0034188,FBgn0034189,FBgn0044633",CG30460,"CG15607,CG15608"
CG44385,Dmel,FBgn0265535,,CG44385,
Cpr67B,Dmel,FBgn0035985,,CG3672,
gprs,Dmel,FBgn0024232,FBgn0042196,CG18471,CG5967
inc,Dmel,FBgn0025394,"FBgn0040897,FBgn0052810",CG32810,"CG14783,CG14784"
Tektin-C,Dmel,FBgn0035638,,CG10541,
Cpr97Ea,Dmel,FBgn0039480,,CG6131,
CG14929,Dmel,FBgn0032365,"FBgn0044692,FBgn0052953",CG14929,CG32953
Cse1,Dmel,FBgn0022213,"FBgn0027058,FBgn0027064",CG13281,
CG4630,Dmel,FBgn0033809,,CG4630,
Cpr100A,Dmel,FBgn0039805,,CG12045,
CG5726,Dmel,FBgn0034313,,CG5726,
CG13699,Dmel,FBgn0036781,,CG13699,
Or42a,Dmel,FBgn0033041,,CG17250,
Nufip,Dmel,FBgn0036812,,CG4076,
CG42847,Dmel,FBgn0262036,,CG42847,
CG42356,Dmel,FBgn0259702,FBgn0052308,CG42356,CG32308
Frl,Dmel,FBgn0267795,"FBgn0052138,FBgn0036407,FBgn0036408,FBgn0046339,FBgn0264718",CG32138,"CG43986,CG6807,CG13485"
Amyrel,Dmel,FBgn0020506,,CG8221,
CG7798,Dmel,FBgn0034092,,CG7798,
mrj,Dmel,FBgn0034091,,CG8448,
CG15130,Dmel,FBgn0032860,,CG15130,
CG30031,Dmel,FBgn0050031,,CG30031,
deltaTry,Dmel,FBgn0010358,,CG12351,
bves,Dmel,FBgn0031150,"FBgn0031153,FBgn0052513,FBgn0062860",CG32513,"CG1754,CG15448"
CG13056,Dmel,FBgn0040794,,CG13056,
Nek2,Dmel,FBgn0029970,,CG17256,
fw,Dmel,FBgn0001083,,CG1500,
iotaTry,Dmel,FBgn0015001,,CG7754,
CG43204,Dmel,FBgn0262840,,CG43204,
CR40068,Dmel,FBgn0058068,,CR40068,CG40068
Gld2,Dmel,FBgn0038934,,CG5732,
CG11802,Dmel,FBgn0030346,,CG11802,
AQP,Dmel,FBgn0033807,,CG12251,
CG43316,Dmel,FBgn0263021,FBgn0033704,CG43316,CG13169
CG43317,Dmel,FBgn0263022,FBgn0038368,CG43317,CG14876
CG7974,Dmel,FBgn0035254,,CG7974,
CG30025,Dmel,FBgn0050025,,CG30025,
Agpat1,Dmel,FBgn0030421,,CG3812,
CG44174,Dmel,FBgn0265063,,CG44174,
CG30338,Dmel,FBgn0050338,,CG30338,
CG13040,Dmel,FBgn0036608,,CG13040,
MFS16,Dmel,FBgn0034611,,CG10069,
mRpL49,Dmel,FBgn0030433,FBgn0061404,CG4647,
Oga,Dmel,FBgn0038870,,CG5871,
Nup43,Dmel,FBgn0038609,,CG7671,
CG44569,Dmel,FBgn0265762,,CG44569,
CR10102,Dmel,FBgn0033927,,CR10102,CG10102
Sgt1,Dmel,FBgn0265101,"FBgn0011026,FBgn0260939,FBgn0086216,FBgn0037568",CG9617,
gammaTry,Dmel,FBgn0010359,"FBgn0050028,FBgn0061399",CG30028,
FDY,Dmel,FBgn0265047,"FBgn0064184,FBgn0085787",CG41503,
ORY,Dmel,FBgn0046323,FBgn0058446,CG40446,
Bacc,Dmel,FBgn0031453,FBgn0025946,CG9894,
SP,Dmel,FBgn0003034,FBgn0010084,CG17673,
Pburs,Dmel,FBgn0264810,"FBgn0003161,FBgn0032546",CG15284,
Capa,Dmel,FBgn0039722,FBgn0016129,CG15520,
CG44329,Dmel,FBgn0265417,,CG44329,
CCY,Dmel,FBgn0267592,"FBgn0045229,FBgn0046337,FBgn0085546,FBgn0261335,FBgn0085541",CG45930,"CG40968,CG42620,CG40948"
Sfmbt,Dmel,FBgn0032475,,CG16975,
CCAP,Dmel,FBgn0039007,,CG4910,
Hug,Dmel,FBgn0028374,FBgn0038062,CG6371,
CG1902,Dmel,FBgn0033434,,CG1902,
CG18812,Dmel,FBgn0042135,"FBgn0033217,FBgn0042136",CG18812,"CG12040,CG18813"
epsilonTry,Dmel,FBgn0010425,FBgn0040762,CG18681,
alphaTry,Dmel,FBgn0003863,FBgn0033621,CG18444,
ITP,Dmel,FBgn0035023,FBgn0046758,CG13586,
RpL39,Dmel,FBgn0023170,FBgn0047027,CG3997,
Ucp4B,Dmel,FBgn0031758,,CG18340,
NPF,Dmel,FBgn0027109,,CG10342,
Spn42Da,Dmel,FBgn0265137,"FBgn0028985,FBgn0033111,FBgn0026360",CG9453,
Roc1b,Dmel,FBgn0040291,"FBgn0035135,FBgn0047337",CG16988,
SIFa,Dmel,FBgn0053527,"FBgn0035029,FBgn0064238",CG33527,
Gr22c,Dmel,FBgn0265138,"FBgn0045499,FBgn0045492,FBgn0051929,FBgn0041214",CG31929,
Or45a,Dmel,FBgn0033404,,CG1978,
mRpL21,Dmel,FBgn0036853,,CG9730,
CG18754,Dmel,FBgn0042106,,CG18754,
kdn,Dmel,FBgn0261955,"FBgn0001298,FBgn0026708,FBgn0028354,FBgn0029078,FBgn0029869,FBgn0045802,FBgn0086133,FBgn0023394",CG3861,
CG31126,Dmel,FBgn0051126,FBgn0039216,CG31126,CG13621
Gr2a,Dmel,FBgn0265139,"FBgn0027796,FBgn0029579,FBgn0041251",CG18531,
Proc,Dmel,FBgn0045038,FBgn0031958,CG7105,
RYa,Dmel,FBgn0085512,,CG40733,
Ack-like,Dmel,FBgn0263998,"FBgn0013955,FBgn0019939,FBgn0022801,FBgn0053007",CG43741,"CG3969,CG33007"
l(2)03659,Dmel,FBgn0010549,"FBgn0016971,FBgn0033406,FBgn0033407",CG8799,CG11803
CG15098,Dmel,FBgn0034398,,CG15098,
CG32486,Dmel,FBgn0266918,"FBgn0052486,FBgn0035394,FBgn0035395,FBgn0062132,FBgn0065142",CG32486,"CG16745,CG14954"
CG11437,Dmel,FBgn0037165,,CG11437,
Inx2,Dmel,FBgn0027108,"FBgn0026672,FBgn0026693,FBgn0026703,FBgn0026707,FBgn0027220,FBgn0027325,FBgn0028356,FBgn0029062",CG4590,
Taf10b,Dmel,FBgn0026324,,CG3069,
Inx5,Dmel,FBgn0030989,,CG7537,
mRpL11,Dmel,FBgn0038234,FBgn0062439,CG3351,
APP-BP1,Dmel,FBgn0261112,"FBgn0086218,FBgn0036127,FBgn0063280,FBgn0046307,FBgn0044646",CG7828,
Elo68alpha,Dmel,FBgn0052072,FBgn0036129,CG32072,CG6261
CG42718,Dmel,FBgn0261635,,CG42718,
CG32104,Dmel,FBgn0052104,"FBgn0036280,FBgn0036281,FBgn0040243",CG32104,"CG14124,CG14123"
CG43292,Dmel,FBgn0262984,,CG43292,
CG17032,Dmel,FBgn0036547,,CG17032,
CG14339,Dmel,FBgn0031301,,CG14339,
CG13228,Dmel,FBgn0033588,,CG13228,
CG3077,Dmel,FBgn0031457,,CG3077,
CG32395,Dmel,FBgn0041232,FBgn0052395,CG32395,
thetaTry,Dmel,FBgn0011555,,CG12385,
CG1840,Dmel,FBgn0030351,FBgn0062464,CG1840,
lute,Dmel,FBgn0262871,"FBgn0038501,FBgn0062117,FBgn0038500",CG43226,"CG5319,CG14333"
CG8543,Dmel,FBgn0035787,,CG8543,
Rip11,Dmel,FBgn0027335,"FBgn0027272,FBgn0027314,FBgn0027318,FBgn0028271,FBgn0030942,FBgn0040180",CG6606,
CG13227,Dmel,FBgn0033589,,CG13227,
CG2070,Dmel,FBgn0033203,,CG2070,
CG31750,Dmel,FBgn0046888,FBgn0051750,CG31750,
lov,Dmel,FBgn0266129,"FBgn0067632,FBgn0003715,FBgn0004900,FBgn0012045,FBgn0035093",CG16778,CG2672
CG42249,Dmel,FBgn0259101,"FBgn0030264,FBgn0030265",CG42249,"CG11126,CG1961"
bab2,Dmel,FBgn0025525,"FBgn0012044,FBgn0035185",CG9102,CG13911
CG42831,Dmel,FBgn0262020,,CG42831,
CG11426,Dmel,FBgn0037166,,CG11426,
CG43169,Dmel,FBgn0262788,,CG43169,
SelG,Dmel,FBgn0030350,FBgn0064979,CG1844,
CG10353,Dmel,FBgn0030349,,CG10353,
Rcd4,Dmel,FBgn0032034,FBgn0062872,CG17295,
CG12479,Dmel,FBgn0040871,,CG12479,
Cpr72Ec,Dmel,FBgn0036619,,CG4784,
CG14589,Dmel,FBgn0033063,,CG14589,
CG13039,Dmel,FBgn0036609,FBgn0063300,CG13039,
CG32512,Dmel,FBgn0052512,"FBgn0031151,FBgn0031152",CG32512,"CG15447,CG1739"
CG33966,Dmel,FBgn0053966,FBgn0035191,CG33966,CG1211
zetaTry,Dmel,FBgn0011556,,CG12387,
CG33998,Dmel,FBgn0053998,FBgn0082848,CG33998,
Ptth,Dmel,FBgn0013323,FBgn0031269,CG13687,
CG30479,Dmel,FBgn0050479,FBgn0033956,CG30479,CG18373
mRpL33,Dmel,FBgn0040907,FBgn0063244,CG3712,
RpL29,Dmel,FBgn0016726,"FBgn0025285,FBgn0025305,FBgn0061374",CG10071,
Wwox,Dmel,FBgn0031972,FBgn0025543,CG7221,
CG1077,Dmel,FBgn0037405,FBgn0000091,CG1077,
CG2930,Dmel,FBgn0028491,"FBgn0052780,FBgn0052787",CG2930,"CG32787,CG32780"
CG10336,Dmel,FBgn0032698,,CG10336,
Rab27,Dmel,FBgn0025382,,CG14791,
CG12914,Dmel,FBgn0033499,,CG12914,
CG6961,Dmel,FBgn0030959,,CG6961,
CG12194,Dmel,FBgn0031636,FBgn0027769,CG12194,
CG9330,Dmel,FBgn0036888,,CG9330,
CG42672,Dmel,FBgn0261554,"FBgn0050386,FBgn0050387,FBgn0034615,FBgn0034616",CG42672,"CG30387,CG30386,CG15665,CG10074"
CG15731,Dmel,FBgn0030390,,CG15731,
CG42823,Dmel,FBgn0262005,"FBgn0054053,FBgn0082653",CG42823,CG34053
egg,Dmel,FBgn0086908,"FBgn0065010,FBgn0050422,FBgn0035061,FBgn0050426",CG12196,"CG30426,CG30422"
CG1774,Dmel,FBgn0039856,,CG1774,
CG12691,Dmel,FBgn0029701,,CG12691,
CG14340,Dmel,FBgn0031302,,CG14340,
5-HT1A,Dmel,FBgn0004168,,CG16720,
cype,Dmel,FBgn0015031,"FBgn0010553,FBgn0031699,FBgn0040947,FBgn0063275",CG14028,CG18323
CG15247,Dmel,FBgn0030156,,CG15247,
mge,Dmel,FBgn0035473,"FBgn0016009,FBgn0063105",CG14981,
CG17098,Dmel,FBgn0032276,,CG17098,
Taf6,Dmel,FBgn0010417,"FBgn0011301,FBgn0016734,FBgn0052211",CG32211,CG9348
Sec23,Dmel,FBgn0262125,"FBgn0001178,FBgn0037357,FBgn0011441",CG1250,
CG2016,Dmel,FBgn0250839,"FBgn0037289,FBgn0066915",CG2016,
rn,Dmel,FBgn0267337,"FBgn0259172,FBgn0003263,FBgn0003269,FBgn0037494,FBgn0037495,FBgn0037496,FBgn0037497,FBgn0052466,FBgn0052467,FBgn0260876,FBgn0260875",CG42277,"CG32466,CG32467,CG10040,CG14603,CG14600,CG14601"
CG4610,Dmel,FBgn0034735,,CG4610,
pea,Dmel,FBgn0086895,"FBgn0011228,FBgn0033898",CG8241,
CG13992,Dmel,FBgn0031756,,CG13992,
DnaJ-60,Dmel,FBgn0260775,"FBgn0020129,FBgn0046451,FBgn0260769",CG42567,CG12240
CG17239,Dmel,FBgn0042186,,CG17239,
Cyp12b2,Dmel,FBgn0034387,,CG15077,
rl,Dmel,FBgn0003256,"FBgn0005693,FBgn0039983,FBgn0042217,FBgn0047177",CG12559,CG18732
CG17486,Dmel,FBgn0032997,FBgn0058291,CG17486,CG40291
Clamp,Dmel,FBgn0032979,,CG1832,
CG34277,Dmel,FBgn0085306,,CG34277,
CG18568,Dmel,FBgn0033888,FBgn0044770,CG18568,
CG34177,Dmel,FBgn0085206,,CG34177,CG12677
CG17140,Dmel,FBgn0260453,"FBgn0032307,FBgn0051722,FBgn0032306",CG17140,CG31722
godzilla,Dmel,FBgn0037442,,CG10277,
Tm2,Dmel,FBgn0004117,"FBgn0002442,FBgn0003722,FBgn0003724,FBgn0026830",CG4843,
CG4552,Dmel,FBgn0031304,,CG4552,
CG46306,Dmel,FBgn0284222,,CG46306,
