"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0036023",240.036634356136,4.1020574175759,0.417456024469567,9.82632224026016,8.67283243507366e-23,1.07005406583939e-18
"FBgn0034500",865.433645019376,-0.752265576011453,0.0878204134882283,-8.56595347404381,1.07185161791269e-17,6.61225263090336e-14
"FBgn0035282",203.459891936737,-2.26805535606382,0.267794743330076,-8.46937967437355,2.46703311980738e-17,1.01460848773945e-13
"FBgn0086359",1386.45781135647,-1.28498492544859,0.156622457437394,-8.20434659545701,2.31848348573794e-16,5.72108984940694e-13
"FBgn0039241",12346.7909096625,1.75090118077945,0.213036751212108,8.21877526209638,2.05591896996791e-16,5.72108984940694e-13
"FBgn0026593",1663.6463935915,-0.86254900050713,0.106617953952554,-8.09009147644096,5.96199384649229e-16,1.22598466796703e-12
"FBgn0033853",2956.28801380236,-0.644798251829121,0.082621603993185,-7.80423304154573,5.98644820374554e-15,1.05515425625446e-11
"FBgn0053494",1069.49096159606,-0.960342466830459,0.125426407440333,-7.65662101330062,1.9088888176977e-14,2.94398377909428e-11
"FBgn0025595",2234.97210717838,-1.12596048934375,0.149080775251583,-7.55268737664951,4.26367580413927e-14,5.84502578571892e-11
"FBgn0035022",71.7418670487766,2.01462148039511,0.270642106521251,7.44385826097214,9.77864173109975e-14,1.09680801525735e-10
"FBgn0263116",231.840600269233,1.39779352285421,0.187640655720062,7.44931058511948,9.3829246250307e-14,1.09680801525735e-10
"FBgn0034387",696.023427739098,-0.792091667945032,0.108880756351913,-7.27485457012178,3.4679384814233e-13,3.56561874865006e-10
"FBgn0026563",356.022731989555,2.14543710469792,0.319555436986723,6.71381818731833,1.89596524765698e-11,1.67088708754228e-08
"FBgn0033446",7492.75758246827,-1.71953598627339,0.255921041291553,-6.71900980706951,1.8296359658694e-11,1.67088708754228e-08
"FBgn0037801",2024.83480089935,1.02746210958164,0.155046523907179,6.6267987420134,3.43044829758072e-11,2.82165807303672e-08
"FBgn0259682",8386.20978894198,-0.822958377253423,0.125830289216586,-6.54022479306952,6.14264340182241e-11,4.73674589323031e-08
"FBgn0038463",1397.55955714,0.956027014882106,0.146980711307928,6.50443861901859,7.79840499261323e-11,5.34537337771456e-08
"FBgn0037613",1418.17062674297,0.794397221115354,0.122074520145182,6.50747772893626,7.64230771672651e-11,5.34537337771456e-08
"FBgn0024289",5330.67004886893,2.14914629295595,0.333303205657468,6.44802167058846,1.13319565227514e-10,7.35861471461615e-08
"FBgn0000053",7219.48148917856,1.22703528943763,0.192701891246543,6.3675311202201,1.92095083064216e-10,1.18503456742315e-07
"FBgn0000052",7317.78298376812,0.935886617338782,0.147593442452377,6.3409769552652,2.28312693758136e-10,1.34139143599423e-07
"FBgn0040104",70.574600958605,-3.11006081078302,0.493729324142248,-6.2991211149674,2.99338036394041e-10,1.67874213319531e-07
"FBgn0086254",11023.5554291643,0.897541594623235,0.144347077694985,6.21794087525486,5.03721280072133e-10,2.58954714730416e-07
"FBgn0053459",61.715645581714,1.60795666159154,0.258517197802593,6.21992144143305,4.97403859305347e-10,2.58954714730416e-07
"FBgn0001125",10351.6787258227,1.15165844208485,0.191598065268739,6.01080413035235,1.84605338076322e-09,9.08949133222776e-07
"FBgn0036997",1340.08270325225,1.39493148936025,0.232301950696733,6.00482038646894,1.91543827717557e-09,9.08949133222776e-07
"FBgn0031636",460.321249975503,-1.22257806676496,0.205671207215869,-5.9443326234856,2.77585435987198e-09,1.26846263304076e-06
"FBgn0039114",8819.4551662195,-0.929445964060397,0.156676025353971,-5.93227944071559,2.98757578353023e-09,1.31645392918557e-06
"FBgn0035186",1116.94300018647,-0.844033040222514,0.14430025402127,-5.84914452124322,4.94107644645346e-09,2.1021724550463e-06
"FBgn0039464",1338.13808064776,0.673379478020024,0.116248588837133,5.79258195523945,6.93124836902618e-09,2.85059141256817e-06
"FBgn0040349",2386.47481358293,1.40930419444198,0.244309992562831,5.76850819591234,7.99763242559352e-09,3.18305770538622e-06
"FBgn0036927",3862.50870627382,0.4210319984413,0.0731178700565413,5.75826399368199,8.49833768446909e-09,3.27664032346812e-06
"FBgn0020385",10230.8534932003,1.2080071632095,0.211755243126545,5.70473318805898,1.16525469627995e-08,4.35664013415213e-06
"FBgn0000639",251.507139147576,2.0673527894828,0.36365717525986,5.6848948133789,1.30893197572631e-08,4.74988315191508e-06
"FBgn0038467",2414.25054654351,0.89820659283484,0.15874373162921,5.65821770482786,1.52953040879984e-08,5.39181319536354e-06
"FBgn0004554",84.4354035080524,1.88046550781065,0.333845004820712,5.63275017045869,1.77358295479055e-08,5.91418013410966e-06
"FBgn0085345",21.2256243913469,2.41193574020336,0.428131384792502,5.63363450070901,1.76450782440028e-08,5.91418013410966e-06
"FBgn0033377",1786.57821511746,0.619304455197238,0.110371940648188,5.61106791780782,2.0108182009157e-08,6.52880920076262e-06
"FBgn0035283",1101.594640842,-0.514137606429696,0.0917796003228054,-5.60187236184709,2.12048681454634e-08,6.70835033791608e-06
"FBgn0004622",82.5639876650587,-1.07322217072377,0.194760944395071,-5.51045885537886,3.57899466097266e-08,1.10394090317702e-05
"FBgn0036208",681.909080125986,1.25589440605748,0.230022474483015,5.45987694845972,4.76464699066424e-08,1.4338101114833e-05
"FBgn0031304",1378.31532824552,-0.375067896172044,0.0689093460770331,-5.44291765231322,5.24148812482274e-08,1.53974953533483e-05
"FBgn0033226",1805.72321726024,-0.433055860446717,0.0797500115552827,-5.4301667423148,5.63014230138446e-08,1.61545803987166e-05
"FBgn0038914",25978.9340096753,1.45531870662166,0.270635671729627,5.37740903599569,7.55653688467453e-08,2.1189216382526e-05
"FBgn0051089",14.145017750143,3.51754371896685,0.659008002666478,5.33763429993895,9.41671482877431e-08,2.58185394572039e-05
"FBgn0036030",6631.38681888463,0.758133116685853,0.14253517435232,5.3189194886863,1.0438531120489e-07,2.79979558618681e-05
"FBgn0039115",1369.65452405865,-0.541452709037556,0.101985717986922,-5.30910327176389,1.10165902023097e-07,2.89197212587442e-05
"FBgn0033782",1680.78508779029,-1.22319996657923,0.231352878364701,-5.2871612198012,1.24229144914842e-07,3.19320664574858e-05
"FBgn0042641",1428.04456058416,-0.345270866258768,0.0654209481667395,-5.27768055850812,1.3082927135792e-07,3.29422765308982e-05
"FBgn0016123",3088.34974065973,-1.08724669768522,0.206534881099717,-5.26422796912588,1.40779677149391e-07,3.47387931333837e-05
"FBgn0010403",1843.73750047867,-1.54311902238232,0.294474185594434,-5.24025227972816,1.60357219113743e-07,3.87938699887327e-05
"FBgn0037612",252.908592726091,1.72942092919902,0.330760510660308,5.22861972170293,1.70780228613796e-07,4.05208934737887e-05
"FBgn0036029",70.459181051748,1.13359524792944,0.217031058342155,5.22319365987838,1.75863295102674e-07,4.09396478297507e-05
"FBgn0039677",54.5710093461248,1.04024212993577,0.199613550717199,5.21128012701665,1.8754202028234e-07,4.21738624976982e-05
"FBgn0036824",8540.78129768306,0.792901911174669,0.152164335994289,5.21082621623263,1.88001494356735e-07,4.21738624976982e-05
"FBgn0037536",2293.84709662237,-0.289537968011636,0.0556746573463986,-5.20053435102757,1.98716386665867e-07,4.37814781907763e-05
"FBgn0030966",720.921526276242,0.810388018681571,0.156866538416007,5.1660986904195,2.39030614212079e-07,5.17396441780463e-05
"FBgn0026878",297.992416869686,0.970581234421325,0.188300967435608,5.15441448676161,2.54424628750778e-07,5.41222598194327e-05
"FBgn0025628",2288.00821997944,-0.492062155477074,0.0960135564665386,-5.12492374603956,2.9765818875572e-07,6.12084455478011e-05
"FBgn0031637",2246.30308787003,-0.359050695126613,0.0700392453974107,-5.12642152395159,2.95301060105125e-07,6.12084455478011e-05
"FBgn0039543",1858.41823034854,-0.592461329836847,0.115676142024503,-5.12172449277698,3.02754017866974e-07,6.12357224990611e-05
"FBgn0030824",11.0741829692842,-1.89284691240579,0.370553259062246,-5.10816425470389,3.25303810051939e-07,6.37291723244644e-05
"FBgn0003116",891.783745677572,0.51372283144653,0.100570214268418,5.10810119261973,3.25412372867666e-07,6.37291723244644e-05
"FBgn0034420",2335.20047370231,-0.351641703579235,0.069297001820126,-5.07441439518538,3.8869116493065e-07,7.49323686392869e-05
"FBgn0087013",12245.2689143409,-0.398431744772713,0.0786156717172179,-5.06809566171335,4.01815463063165e-07,7.62707566657434e-05
"FBgn0020545",2001.84649916919,-0.616761161055265,0.121906026222107,-5.05931642732375,4.20762131149174e-07,7.86570177896745e-05
"FBgn0267115",4.20500220899964,2.36151783115019,0.467534517198848,5.05100210632321,4.39498224191073e-07,8.09332700010366e-05
"FBgn0266203",53.1312455784404,5.40082970374152,1.07116651191832,5.04200760913382,4.60672965145574e-07,8.35850447642073e-05
"FBgn0031814",3675.93765767908,-0.494346017096606,0.0987253885410062,-5.00728358127734,5.52035657789312e-07,9.71822032271841e-05
"FBgn0028544",20.8297507757279,-3.15415411199938,0.630178534316963,-5.00517542289519,5.58111809231708e-07,9.71822032271841e-05
"FBgn0035092",1253.57271254321,-0.58166058468663,0.116220881994372,-5.00478549728094,5.59242699718761e-07,9.71822032271841e-05
"FBgn0035309",192.399686215955,-0.678889505222954,0.13609011852754,-4.98852901715689,6.08407740913045e-07,0.00010425742649146
"FBgn0027525",3322.19148445042,-0.405531359014055,0.0814713213558432,-4.97759643841802,6.43787080172586e-07,0.000107338445880667
"FBgn0032387",386.691871477003,1.64901022373749,0.331224230170618,4.97853138005049,6.40685571218494e-07,0.000107338445880667
