"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0014931","FBgn0014931",260.696401415925,-0.495662214262764,0.132541602186369,-3.73967272227329,0.000184260002165707,0.000410765298945593
"FBgn0014930","FBgn0014930",694.775222340833,0.375626625284123,0.10629588851818,3.53378320197097,0.000409656952272236,0.000870659421197513
"FBgn0027562","FBgn0027562",1221.53854745406,0.554832521360031,0.132110828001642,4.1997505409105,2.6720921210592e-05,6.64038377783269e-05
"FBgn0027563","FBgn0027563",815.606161564324,0.666686033378027,0.187824296213601,3.54951966714598,0.000385934635817472,0.000824139441251771
"FBgn0027560","FBgn0027560",29763.1080047004,-0.558590565616758,0.23514837629339,-2.37548127876424,0.0175260814426532,0.02878010398218
"FBgn0027561","FBgn0027561",1800.20804546407,0.333059530481418,0.0608341383824709,5.47487873317833,4.37811321579342e-08,1.50014761658804e-07
"FBgn0027567","FBgn0027567",4136.43821595086,0.57639114078476,0.110837866946667,5.20030885349055,1.98957637229489e-07,6.36806154062944e-07
"FBgn0027564","FBgn0027564",650.417732782818,-0.454568719220256,0.123399495002938,-3.68371620329105,0.000229858147540118,0.000507025808616719
"FBgn0027565","FBgn0027565",1144.75289161085,-0.188010403301729,0.0875209050411885,-2.14817709224155,0.0316996897895889,0.0495706558454645
"FBgn0010438","FBgn0010438",766.226829346892,-0.75187464472062,0.162576900951099,-4.62473229789743,3.75082512745916e-06,1.03402457830173e-05
"FBgn0266048","FBgn0266048",5.51981658969054,1.78730166706165,0.472334753079698,3.78397239544233,0.000154344949868869,0.000347898272886081
"FBgn0262057","FBgn0262057",1496.9055706051,0.465010962246651,0.123265483848109,3.77243448636157,0.000161662422453314,0.00036315597202421
"FBgn0085218","FBgn0085218",15.5423773183718,1.0015691326246,0.283910712548853,3.52776097679746,0.000419090406211844,0.000889056734270347
"FBgn0085219","FBgn0085219",8.02395442421937,-1.67922677246606,0.440506024569002,-3.81204042353119,0.000137824329117779,0.000312733220732173
"FBgn0259482","FBgn0259482",586.701418464429,0.248768679137447,0.0954966995328987,2.60499766331449,0.00918748865288417,0.0158482289869192
"FBgn0033579","FBgn0033579",68.7302096012296,1.71575176042645,0.247955113380959,6.91960628289347,4.52900590997611e-12,2.11678872062851e-11
