"","Gene","symbol","pathway","mod","baseMean","lfcSE","stat","pvalue","padj","FC_DR_B","FC_HS_B","FC_DRHS_B","FC_DR_H","FC_HS_H","FC_DRHS_H","FC_DR_O","FC_HS_O","FC_DRHS_O"
"27","FBgn0003651","svp","TOR","turquoise",1400.162142,0.151118,12.727002,0.001723,0.014136,-0.096793,0.337232,-0.434025,-0.022065,-0.046295,0.02423,1.186171,2.002145,-0.815974
"28","FBgn0004395","unk","TOR","darkgrey",1179.309363,0.073205,11.924648,0.002574,0.018821,-0.151861,0.345309,-0.49717,0.123926,0.294676,-0.170751,0.255478,0.093834,0.161644
"29","FBgn0027518","Wdr24","TOR","black",475.903032,0.034248,11.662576,0.002934,0.020641,-0.136511,0.020721,-0.157232,-0.067666,0.078535,-0.146201,-0.054134,0.017998,-0.072132
"30","FBgn0023169","AMPKalpha","TOR","blue",3208.124566,0.039275,11.65898,0.00294,0.020666,0.091956,0.178172,-0.086216,0.043407,0.104912,-0.061505,0.158513,0.102852,0.055662
"31","FBgn0020299","stumps","TOR","turquoise",312.288197,0.11184,11.586083,0.003049,0.021228,0.027768,0.383344,-0.355575,0.218446,0.435478,-0.217033,-0.037294,0.221771,-0.259065
"32","FBgn0010389","htl","TOR","turquoise",283.103883,0.105228,11.171883,0.00375,0.024746,0.004549,0.35856,-0.354012,0.346768,0.340085,0.006684,0.397605,0.345122,0.052483
"33","FBgn0005695","gcl","TOR","black",2007.178897,0.078833,11.086307,0.003914,0.025561,-0.46844,-0.26832,-0.20012,-0.268042,-0.191479,-0.076563,-0.053841,-0.02133,-0.032511
"34","FBgn0041191","Rheb","TOR","turquoise",2442.565376,0.046597,11.052237,0.003981,0.025831,0.003349,0.284626,-0.281277,-0.194612,0.011278,-0.20589,-0.062165,-0.090311,0.028146
"35","FBgn0027932","Akap200","TOR","black",5012.031857,0.107713,10.916528,0.004261,0.026981,0.047073,0.496277,-0.449204,0.070415,0.409659,-0.339244,-0.107922,0.00785,-0.115772
"36","FBgn0000117","arm","TOR","tan",7076.541045,0.037116,10.805547,0.004504,0.027942,0.020012,0.04918,-0.029168,0.123701,0.176231,-0.05253,0.180441,0.082323,0.098118
"37","FBgn0283468","slmb","TOR","black",3102.52242,0.041791,10.245587,0.005959,0.033448,-0.293852,-0.179699,-0.114154,-0.077606,-0.149114,0.071507,0.013056,-0.018407,0.031462
"38","FBgn0262656","Myc","TOR","brown",2126.986248,0.112177,10.097482,0.006417,0.03525,-0.170684,0.422821,-0.593505,0.089093,0.262722,-0.173629,-0.274143,0.000148,-0.274291
"39","FBgn0000659","fkh","TOR","turquoise",510.514347,0.237348,9.545244,0.008458,0.042889,0.091696,0.33879,-0.247094,0.682815,0.611649,0.071165,-0.381322,1.30269,-1.684012
"40","FBgn0033247","Nup44A","TOR","black",868.488774,0.081167,9.324998,0.009443,0.046075,-0.012128,-0.110027,0.097899,-0.460417,-0.67126,0.210843,0.173431,0.046532,0.126899
"41","FBgn0260945","Atg1","TOR","darkgreen",2242.28616,0.059891,9.22184,0.009943,0.047708,-0.214094,0.115592,-0.329686,0.129438,0.203269,-0.073831,-0.053842,0.073453,-0.127296
"42","FBgn0044048","Ilp5","IIS","red",237.2617,0.234814,12.71028,0.001738,0.014195,-2.241361,-1.060532,-1.180829,-0.669156,-0.583838,-0.085319,0,0,0
"43","FBgn0264075","tgo","IIS","lightcyan",934.674861,0.077876,11.483565,0.003209,0.021975,-0.377138,0.050667,-0.427805,-9e-06,0.121838,-0.121848,-0.256433,-0.056712,-0.199721
"44","FBgn0041191","Rheb","IIS","turquoise",2442.565376,0.046597,11.052237,0.003981,0.025831,0.003349,0.284626,-0.281277,-0.194612,0.011278,-0.20589,-0.062165,-0.090311,0.028146
"45","FBgn0283468","slmb","IIS","black",3102.52242,0.041791,10.245587,0.005959,0.033448,-0.293852,-0.179699,-0.114154,-0.077606,-0.149114,0.071507,0.013056,-0.018407,0.031462
"46","FBgn0262656","Myc","IIS","brown",2126.986248,0.112177,10.097482,0.006417,0.03525,-0.170684,0.422821,-0.593505,0.089093,0.262722,-0.173629,-0.274143,0.000148,-0.274291
"47","FBgn0035626","lin-28","IIS","cyan",15.765894,0.471496,10.00006,0.006738,0.036596,0.357947,0.772288,-0.414341,1.257573,0.336374,0.921199,3.256931,2.095179,1.161752
