"","entrZ","go_path","FBgn","symbol"
"124","45680","dme04141","FBgn0021795","Tapdelta"
"125","33862","dme04141","FBgn0031779","CG9175"
"126","44226","dme04141","FBgn0021872","Xbp1"
"127","41166","dme04141","FBgn0005585","Calr"
"128","33905","dme04141","FBgn0086357","Sec61alpha"
"129","41682","dme04141","FBgn0267383","Ubc87F"
"130","34707","dme04141","FBgn0032474","DnaJ-H"
"131","32620","dme04141","FBgn0264077","Cnx14D"
"132","34699","dme04141","FBgn0032467","CG9934"
"133","32617","dme04141","FBgn0261609","eIF2alpha"
"134","47173","dme01200","FBgn0002719","Men"
"135","42808","dme01200","FBgn0039112","SdhD"
"136","44001","dme01200","FBgn0029118","Sucb"
"137","38447","dme01200","FBgn0004888","Scsalpha"
"138","39469","dme01200","FBgn0036327","CG10748"
"139","39470","dme01200","FBgn0036328","CG10749"
"140","31695","dme01200","FBgn0029969","CG10932"
"141","40409","dme01200","FBgn0037115","CG11249"
"142","37541","dme01200","FBgn0034713","CG11291"
"143","39899","dme01200","FBgn0010352","Nc73EF"
"144","43437","dme01200","FBgn0039635","CG11876"
"145","46391","dme01200","FBgn0014427","CG11899"
"146","41067","dme01200","FBgn0037643","skap"
"147","35728","dme01200","FBgn0001091","Gapdh1"
"148","39945","dme01200","FBgn0036723","CG12229"
"149","32940","dme01200","FBgn0027291","l(1)G0156"
"150","38864","dme01200","FBgn0035811","CG12262"
"151","32974","dme01200","FBgn0004057","Zw"
"152","41468","dme01200","FBgn0037988","CG14740"
"153","37166","dme01200","FBgn0034390","CG15093"
"154","36020","dme01200","FBgn0027580","PCB"
"155","32292","dme01200","FBgn0030478","CG1640"
"156","43447","dme01200","FBgn0014869","Pglym78"
"157","37228","dme01200","FBgn0261439","SdhA"
"158","32013","dme01200","FBgn0030239","CG17333"
"159","46246","dme01200","FBgn0011270","Pglym87"
"160","33351","dme01200","FBgn0000579","Eno"
"161","30995","dme01200","FBgn0023537","CG17896"
"162","3771779","dme01200","FBgn0061356","CG18003"
"163","43582","dme01200","FBgn0086355","Tpi"
"164","37804","dme01200","FBgn0023477","Taldo"
"165","33475","dme01200","FBgn0031462","CG2964"
"166","45875","dme01200","FBgn0001186","Hex-A"
"167","31524","dme01200","FBgn0029823","Shmt"
"168","246599","dme01200","FBgn0050410","Rpi"
"169","35692","dme01200","FBgn0050499","CG30499"
"170","33461","dme01200","FBgn0250906","Pgk"
"171","35265","dme01200","FBgn0032820","fbp"
"172","318995","dme01200","FBgn0051874","CG31874"
"173","317829","dme01200","FBgn0052026","CG32026"
"174","38358","dme01200","FBgn0052487","CG32487"
"175","326220","dme01200","FBgn0052488","CG32488"
"176","35590","dme01200","FBgn0014028","SdhB"
"177","43191","dme01200","FBgn0042710","Hex-t2"
"178","117364","dme01200","FBgn0042711","Hex-t1"
"179","317974","dme01200","FBgn0035240","CG33791"
"180","37900","dme01200","FBgn0035005","CG3483"
"181","39085","dme01200","FBgn0023129","aay"
"182","31185","dme01200","FBgn0004654","Pgd"
"183","31579","dme01200","FBgn0261955","kdn"
"184","31587","dme01200","FBgn0014031","Spat"
"185","41253","dme01200","FBgn0037801","CG3999"
"186","36060","dme01200","FBgn0003071","Pfk"
"187","31605","dme01200","FBgn0028336","l(1)G0255"
"188","31606","dme01200","FBgn0029890","CG4095"
"189","33373","dme01200","FBgn0001125","Got2"
"190","34276","dme01200","FBgn0028479","Mtpalpha"
"191","42396","dme01200","FBgn0038771","CG4390"
"192","42756","dme01200","FBgn0039071","bb8"
"193","42364","dme01200","FBgn0038742","Arc42"
"194","41326","dme01200","FBgn0037862","CG4706"
"195","41480","dme01200","FBgn0037999","CG4860"
"196","42689","dme01200","FBgn0024958","Irp-1A"
"197","43102","dme01200","FBgn0039358","CG5028"
"198","41869","dme01200","FBgn0038326","CG5044"
"199","40012","dme01200","FBgn0036784","CG5103"
"200","41360","dme01200","FBgn0037891","CG5214"
"201","34021","dme01200","FBgn0283658","muc"
"202","42832","dme01200","FBgn0001098","Gdh"
"203","34414","dme01200","FBgn0262782","Mdh1"
"204","43189","dme01200","FBgn0039425","CG5432"
"205","39986","dme01200","FBgn0036760","CG5567"
"206","39985","dme01200","FBgn0036759","CG5577"
"207","39348","dme01200","FBgn0036222","SdhAL"
"208","43936","dme01200","FBgn0029155","Men-b"
"209","43183","dme01200","FBgn0000064","Ald"
"210","39281","dme01200","FBgn0036162","CG6140"
"211","42326","dme01200","FBgn0038708","CG6255"
"212","34554","dme01200","FBgn0032350","CG6287"
"213","41269","dme01200","FBgn0024957","Irp-1B"
"214","34474","dme01200","FBgn0032287","CG6415"
"215","42586","dme01200","FBgn0038922","Idh3b"
"216","36536","dme01200","FBgn0033879","CG6543"
"217","41311","dme01200","FBgn0011768","Fdh"
"218","41324","dme01200","FBgn0037860","CG6629"
"219","39555","dme01200","FBgn0036402","CG6650"
"220","41340","dme01200","FBgn0037873","SdhC"
"221","39132","dme01200","FBgn0036030","CG6767"
"222","40048","dme01200","FBgn0000261","Cat"
"223","31406","dme01200","FBgn0028325","l(1)G0334"
"224","31407","dme01200","FBgn0029722","CG7024"
"225","42626","dme01200","FBgn0038957","CG7059"
"226","42621","dme01200","FBgn0038952","CG7069"
"227","42620","dme01200","FBgn0267385","PyK"
"228","40445","dme01200","FBgn0037147","CG7140"
"229","44291","dme01200","FBgn0001248","Idh"
"230","32887","dme01200","FBgn0030975","SdhBL"
"231","41787","dme01200","FBgn0038258","CG7362"
"232","39988","dme01200","FBgn0036762","CG7430"
"233","39276","dme01200","FBgn0036157","CG7560"
"234","40349","dme01200","FBgn0027945","ppl"
"235","36839","dme01200","FBgn0034127","CG7848"
"236","3772542","dme01200","FBgn0029154","Menl-1"
"237","3772692","dme01200","FBgn0029153","Menl-2"
"238","42185","dme01200","FBgn0262559","Mdh2"
"239","41027","dme01200","FBgn0037607","CG8036"
"240","44008","dme01200","FBgn0001187","Hex-C"
"241","41117","dme01200","FBgn0037684","CG8129"
"242","35886","dme01200","FBgn0003074","Pgi"
"243","36782","dme01200","FBgn0001124","Got1"
"244","32545","dme01200","FBgn0001092","Gapdh2"
"245","36904","dme01200","FBgn0034173","CG9010"
"246","38147","dme01200","FBgn0035203","CG9149"
"247","44149","dme01200","FBgn0010100","Acon"
"248","34198","dme01200","FBgn0032061","CG9314"
"249","40348","dme01200","FBgn0012034","AcCoAS"
"250","33431","dme01200","FBgn0031428","CG9886"
"251","33459","dme01200","FBgn0031451","CG9961"
"252","43394","dme01100","FBgn0039596","CG10000"
"253","41503","dme01100","FBgn0001149","GstD1"
"254","38760","dme01100","FBgn0261445","sgl"
"255","38753","dme01100","FBgn0041194","Prat2"
"256","41502","dme01100","FBgn0038020","GstD9"
"257","36614","dme01100","FBgn0265974","ttv"
"258","38746","dme01100","FBgn0005626","ple"
"259","47173","dme01100","FBgn0002719","Men"
"260","36624","dme01100","FBgn0033949","CG10131"
"261","36627","dme01100","FBgn0033952","Adgf-E"
"262","45880","dme01100","FBgn0001258","ImpL3"
"263","35240","dme01100","FBgn0032799","CG10166"
"264","35105","dme01100","FBgn0032684","CG10178"
"265","42783","dme01100","FBgn0039094","CG10184"
"266","36649","dme01100","FBgn0033969","CG10202"
"267","42808","dme01100","FBgn0039112","SdhD"
"268","43017","dme01100","FBgn0039280","Mocs2"
"269","36669","dme01100","FBgn0033983","ADPS"
"270","36670","dme01100","FBgn0033984","Lap1"
"271","31247","dme01100","FBgn0267350","PI4KIIIalpha"
"272","35255","dme01100","FBgn0032811","CG10268"
"273","37466","dme01100","FBgn0034645","ND-B12"
"274","39402","dme01100","FBgn0036271","Pbgs"
"275","39333","dme01100","FBgn0036208","CG10361"
"276","42801","dme01100","FBgn0039109","CG10365"
"277","42803","dme01100","FBgn0263782","Hmgcr"
"278","35491","dme01100","FBgn0033020","COX4L"
"279","33978","dme01100","FBgn0031877","CG10399"
"280","43043","dme01100","FBgn0039304","CG10425"
"281","39404","dme01100","FBgn0036273","INPP5E"
"282","38697","dme01100","FBgn0035679","CG10467"
"283","117353","dme01100","FBgn0041342","Pcyt1"
"284","35188","dme01100","FBgn0000075","amd"
"285","45786","dme01100","FBgn0027090","GlnRS"
"286","37392","dme01100","FBgn0034582","Cht9"
"287","40333","dme01100","FBgn0024150","Ac78C"
"288","38647","dme01100","FBgn0035632","Ppat-Dpck"
"289","40326","dme01100","FBgn0037046","CG10581"
"290","38632","dme01100","FBgn0035619","CG10592"
"291","35146","dme01100","FBgn0032721","CG10602"
"292","35152","dme01100","FBgn0032726","CG10621"
"293","44001","dme01100","FBgn0029118","Sucb"
"294","35153","dme01100","FBgn0032727","CG10623"
"295","39434","dme01100","FBgn0036298","nst"
"296","39424","dme01100","FBgn0036290","CG10638"
"297","35156","dme01100","FBgn0032729","L2HGDH"
"298","38447","dme01100","FBgn0004888","Scsalpha"
"299","35279","dme01100","FBgn0032833","COX4"
"300","38598","dme01100","FBgn0035588","CG10672"
"301","39436","dme01100","FBgn0036300","Pmm2"
"302","35190","dme01100","FBgn0000422","Ddc"
"303","39469","dme01100","FBgn0036327","CG10748"
"304","39470","dme01100","FBgn0036328","CG10749"
"305","40748","dme01100","FBgn0037402","Vha14-2"
"306","42482","dme01100","FBgn0038845","CG10827"
"307","38457","dme01100","FBgn0035471","Sc2"
"308","38463","dme01100","FBgn0027552","CG10863"
"309","40679","dme01100","FBgn0283535","Vha26"
"310","42965","dme01100","FBgn0039235","CG10899"
"311","37130","dme01100","FBgn0034356","CG10924"
"312","31695","dme01100","FBgn0029969","CG10932"
"313","31830","dme01100","FBgn0030078","CG10970"
"314","32345","dme01100","FBgn0030525","CG10996"
"315","35307","dme01100","FBgn0026756","Ugt37a1"
"316","33918","dme01100","FBgn0031830","COX5B"
"317","33919","dme01100","FBgn0031831","COX5BL"
"318","49997","dme01100","FBgn0040524","CG11052"
"319","42973","dme01100","FBgn0039241","CG11089"
"320","35665","dme01100","FBgn0033170","sPLA2"
"321","32334","dme01100","FBgn0030518","CG11134"
"322","45398","dme01100","FBgn0010548","Aldh-III"
"323","35671","dme01100","FBgn0025885","Inos"
"324","43829","dme01100","FBgn0010217","ATPsynbeta"
"325","32325","dme01100","FBgn0030509","CG11162"
"326","31772","dme01100","FBgn0030035","PIG-T"
"327","35761","dme01100","FBgn0033246","ACC"
"328","33955","dme01100","FBgn0031860","CG11236"
"329","40492","dme01100","FBgn0037186","CG11241"
"330","40409","dme01100","FBgn0037115","CG11249"
"331","39479","dme01100","FBgn0036337","AdenoK"
"332","31804","dme01100","FBgn0030056","CG11284"
"333","33993","dme01100","FBgn0031887","CG11289"
"334","40599","dme01100","FBgn0037279","CG1129"
"335","37541","dme01100","FBgn0034713","CG11291"
"336","40402","dme01100","FBgn0037108","CG11306"
"337","43713","dme01100","FBgn0039849","CG11334"
"338","38261","dme01100","FBgn0035298","SCOT"
"339","36998","dme01100","FBgn0034251","ND-51L1"
"340","40472","dme01100","FBgn0037167","CG11425"
"341","40471","dme01100","FBgn0037166","CG11426"
"342","40470","dme01100","FBgn0037165","CG11437"
"343","40469","dme01100","FBgn0037164","CG11438"
"344","40468","dme01100","FBgn0037163","laza"
"345","33179","dme01100","FBgn0031228","ND-15"
"346","48337","dme01100","FBgn0010040","GstD4"
"347","40875","dme01100","FBgn0001112","Gld"
"348","38503","dme01100","FBgn0028664","VhaM9.7-c"
"349","31158","dme01100","FBgn0023522","CG11596"
"350","39329","dme01100","FBgn0015278","Pi3K68D"
"351","32471","dme01100","FBgn0014455","Ahcy"
"352","39899","dme01100","FBgn0010352","Nc73EF"
"353","35829","dme01100","FBgn0033296","Mal-A7"
"354","36098","dme01100","FBgn0033518","Prx2540-2"
"355","42991","dme01100","FBgn0039258","beta4GalT7"
"356","35928","dme01100","FBgn0033381","GstE13"
"357","40263","dme01100","FBgn0036992","CG11796"
"358","39245","dme01100","FBgn0036128","Elo68beta"
"359","39213","dme01100","FBgn0036099","CG11811"
"360","43416","dme01100","FBgn0039616","CG11828"
"361","43424","dme01100","FBgn0041780","Ssl2"
"362","43031","dme01100","FBgn0039293","CG11851"
"363","43436","dme01100","FBgn0039634","alpha-Man-Ib"
"364","43437","dme01100","FBgn0039635","CG11876"
"365","36121","dme01100","FBgn0033538","CG11883"
"366","46391","dme01100","FBgn0014427","CG11899"
"367","43456","dme01100","FBgn0039650","Mesh1"
"368","43072","dme01100","FBgn0261575","tobi"
"369","43073","dme01100","FBgn0039331","ND-49L"
"370","43463","dme01100","FBgn0039656","CG11951"
"371","53473","dme01100","FBgn0263236","SP1029"
"372","41067","dme01100","FBgn0037643","skap"
"373","41070","dme01100","FBgn0037646","CAHbeta"
"374","41092","dme01100","FBgn0037661","Ada"
"375","38446","dme01100","FBgn0035464","PIG-B"
"376","38413","dme01100","FBgn0035438","PHGPx"
"377","38423","dme01100","FBgn0035445","Ids"
"378","38076","dme01100","FBgn0035147","Gale"
"379","38396","dme01100","FBgn0035421","CG12034"
"380","35728","dme01100","FBgn0001091","Gapdh1"
"381","43512","dme01100","FBgn0262112","sro"
"382","38410","dme01100","FBgn0035435","PIG-C"
"383","38378","dme01100","FBgn0266582","ND-30"
"384","31805","dme01100","FBgn0030057","Ppt1"
"385","35554","dme01100","FBgn0033075","Pld"
"386","31782","dme01100","FBgn0030041","CG12116"
"387","31781","dme01100","FBgn0014032","Sptr"
"388","38028","dme01100","FBgn0035107","mri"
"389","40692","dme01100","FBgn0037356","CG12170"
"390","40630","dme01100","FBgn0037305","CG12173"
"391","32936","dme01100","FBgn0031021","ND-18"
"392","39945","dme01100","FBgn0036723","CG12229"
"393","32940","dme01100","FBgn0027291","l(1)G0156"
"394","32967","dme01100","FBgn0031048","CG12237"
"395","48338","dme01100","FBgn0010041","GstD5"
"396","38864","dme01100","FBgn0035811","CG12262"
"397","37118","dme01100","FBgn0034346","PIG-O"
"398","34613","dme01100","FBgn0032393","CG12264"
"399","41570","dme01100","FBgn0038080","CG12279"
"400","39279","dme01100","FBgn0036160","CG12289"
"401","36126","dme01100","FBgn0033542","CG12309"
"402","31024","dme01100","FBgn0086368","tw"
"403","36128","dme01100","FBgn0033543","CG12338"
"404","40708","dme01100","FBgn0037370","CG1236"
"405","36209","dme01100","FBgn0025373","Fpps"
"406","32422","dme01100","FBgn0030596","CG12398"
"407","33528","dme01100","FBgn0031505","ND-B14.5B"
"408","45668","dme01100","FBgn0265262","Vha68-1"
"409","246663","dme01100","FBgn0033520","Prx2540-1"
"410","3354921","dme01100","FBgn0027341","Gfat1"
"411","32974","dme01100","FBgn0004057","Zw"
"412","34587","dme01100","FBgn0032373","Vha100-5"
"413","38521","dme01100","FBgn0035521","VhaM9.7-a"
"414","38462","dme01100","FBgn0035476","CG12766"
"415","36640","dme01100","FBgn0033961","ND-B15"
"416","38374","dme01100","FBgn0035401","CG1291"
"417","36079","dme01100","FBgn0033500","CG12913"
"418","34185","dme01100","FBgn0032052","PIG-U"
"419","40812","dme01100","FBgn0026565","CG1315"
"420","36328","dme01100","FBgn0033706","Vha36-2"
"421","38528","dme01100","FBgn0041630","Hexo1"
"422","53513","dme01100","FBgn0040262","Ugt36Ba"
"423","53512","dme01100","FBgn0040261","Ugt36Bb"
"424","35015","dme01100","FBgn0032609","CG13280"
"425","36510","dme01100","FBgn0033856","CG13334"
"426","36524","dme01100","FBgn0033868","S-Lap7"
"427","31007","dme01100","FBgn0025640","CG13369"
"428","30972","dme01100","FBgn0261446","CG13377"
"429","34159","dme01100","FBgn0263852","Dad1"
"430","46386","dme01100","FBgn0014417","CG13397"
"431","37323","dme01100","FBgn0034521","Mgat1"
"432","43373","dme01100","FBgn0039580","Gfat2"
"433","42892","dme01100","FBgn0039177","CG13611"
"434","42987","dme01100","FBgn0039254","Nmnat"
"435","33236","dme01100","FBgn0031267","Ipk2"
"436","38194","dme01100","FBgn0035245","GC"
"437","250736","dme01100","FBgn0045064","bwa"
"438","33763","dme01100","FBgn0031700","CG14022"
"439","46040","dme01100","FBgn0015031","cype"
"440","40066","dme01100","FBgn0036830","CG14077"
"441","40675","dme01100","FBgn0023023","CRMP"
"442","33117","dme01100","FBgn0003423","slgA"
"443","32964","dme01100","FBgn0031045","CG14212"
"444","32989","dme01100","FBgn0031066","COX6B"
"445","40681","dme01100","FBgn0037347","CG1427"
"446","42266","dme01100","FBgn0038660","CG14291"
"447","44007","dme01100","FBgn0029502","COQ7"
"448","31703","dme01100","FBgn0029975","spidey"
"449","40944","dme01100","FBgn0037535","PIG-H"
"450","49953","dme01100","FBgn0027588","GCS2alpha"
"451","36991","dme01100","FBgn0034245","UQCR-6.4"
"452","43461","dme01100","FBgn0039655","CG14507"
"453","43457","dme01100","FBgn0039651","Cyt-c1L"
"454","43443","dme01100","FBgn0039639","CG14512"
"455","43444","dme01100","FBgn0039640","CG14516"
"456","43168","dme01100","FBgn0039405","PIG-P"
"457","32381","dme01100","FBgn0030558","CG1461"
"458","43671","dme01100","FBgn0016123","Alp4"
"459","40659","dme01100","FBgn0037332","Hcs"
"460","43682","dme01100","FBgn0013973","Gycbeta100B"
"461","43618","dme01100","FBgn0039774","CDase"
"462","41407","dme01100","FBgn0037933","Ho"
"463","41417","dme01100","FBgn0037942","CG14721"
"464","41432","dme01100","FBgn0019624","COX5A"
"465","41468","dme01100","FBgn0037988","CG14740"
"466","42001","dme01100","FBgn0038435","Gyc89Da"
"467","42002","dme01100","FBgn0038436","Gyc89Db"
"468","42003","dme01100","FBgn0004087","Dhfr"
"469","42041","dme01100","FBgn0038458","VhaM9.7-d"
"470","32164","dme01100","FBgn0030361","CG1492"
"471","34597","dme01100","FBgn0032381","Mal-B1"
"472","34598","dme01100","FBgn0032382","Mal-B2"
"473","45577","dme01100","FBgn0016013","Faa"
"474","38484","dme01100","FBgn0004516","Gad1"
"475","38514","dme01100","FBgn0035515","CG14997"
"476","35419","dme01100","FBgn0023416","Ac3"
"477","37166","dme01100","FBgn0034390","CG15093"
"478","37177","dme01100","FBgn0034401","MetRS"
"479","37198","dme01100","FBgn0027535","botv"
"480","37194","dme01100","FBgn0034415","CG15116"
"481","37197","dme01100","FBgn0034417","CG15117"
"482","36020","dme01100","FBgn0027580","PCB"
"483","33082","dme01100","FBgn0031149","Stt3A"
"484","33476","dme01100","FBgn0031463","G6P"
"485","31718","dme01100","FBgn0010329","Tbh"
"486","50178","dme01100","FBgn0040705","ND-B8"
"487","43689","dme01100","FBgn0039827","CG1544"
"488","33064","dme01100","FBgn0031132","CG15450"
"489","43623","dme01100","FBgn0039779","PH4alphaSG2"
"490","43592","dme01100","FBgn0039755","CG15531"
"491","43627","dme01100","FBgn0039782","CG15539"
"492","43661","dme01100","FBgn0039809","CG15547"
"493","35724","dme01100","FBgn0000337","cn"
"494","37375","dme01100","FBgn0034567","CG15651"
"495","37421","dme01100","FBgn0034605","CG15661"
"496","32249","dme01100","FBgn0030440","CG15719"
"497","32279","dme01100","FBgn0030465","CG15743"
"498","31500","dme01100","FBgn0029801","CG15771"
"499","31747","dme01100","FBgn0030013","GIIIspla2"
"500","50001","dme01100","FBgn0040528","CG15864"
"501","53501","dme01100","FBgn0040250","Ugt86Dj"
"502","32073","dme01100","FBgn0030289","GCS1"
"503","32292","dme01100","FBgn0030478","CG1640"
"504","32297","dme01100","FBgn0030482","CG1673"
"505","38315","dme01100","FBgn0035348","CG16758"
"506","35218","dme01100","FBgn0032779","CG16771"
"507","35292","dme01100","FBgn0003141","pr"
"508","32299","dme01100","FBgn0030484","GstT4"
"509","41173","dme01100","FBgn0037728","CG16817"
"510","34759","dme01100","FBgn0032522","CG16848"
"511","34807","dme01100","FBgn0025115","Acyp"
"512","36540","dme01100","FBgn0033883","CG16935"
"513","37960","dme01100","FBgn0027590","GstE12"
"514","34650","dme01100","FBgn0032424","CG17010"
"515","33047","dme01100","FBgn0031117","GstT3"
"516","39739","dme01100","FBgn0036550","CG17026"
"517","39742","dme01100","FBgn0036553","CG17027"
"518","39741","dme01100","FBgn0036552","CG17028"
"519","39740","dme01100","FBgn0036551","CG17029"
"520","39734","dme01100","FBgn0036545","GXIVsPLA2"
