moduleColors	Freq
black	2956
blue	1747
brown	1084
cyan	507
darkgreen	199
darkgrey	309
NA	NA
darkred	84
darkturquoise	79
NA	NA
greenyellow	165
grey	45
NA	NA
lightcyan	117
lightgreen	107
lightyellow	107
NA	NA
NA	NA
NA	NA
pink	382
NA	NA
red	787
royalblue	132
NA	NA
salmon	157
skyblue	52
steelblue	44
tan	163
turquoise	3337
white	54
NA	NA
