"symbol","primary_FBgn","annotation_ID","pathway"
"wrd","FBgn0042693","CG7913","IIS"
"lin-28","FBgn0035626","CG17334","IIS"
"dock","FBgn0010583","CG3727","IIS"
"Lst8","FBgn0264691","CG3004","IIS"
"Tsc1","FBgn0026317","CG6147","IIS"
"tgo","FBgn0264075","CG11987","IIS"
"mts","FBgn0004177","CG7109","IIS"
"Rheb","FBgn0041191","CG1081","IIS"
"ImpL2","FBgn0001257","CG15009","IIS"
"gig","FBgn0005198","CG6975","IIS"
"Roc1a","FBgn0025638","CG16982","IIS"
"sima","FBgn0266411","CG45051","IIS"
"Akt1","FBgn0010379","CG4006","IIS"
"CycG","FBgn0039858","CG11525","IIS"
"GlyP","FBgn0004507","CG7254","IIS"
"Sin1","FBgn0033935","CG10105","IIS"
"Ilp2","FBgn0036046","CG8167","IIS"
"Thor","FBgn0261560","CG8846","IIS"
"melt","FBgn0023001","CG8624","IIS"
"Dsor1","FBgn0010269","CG15793","IIS"
"trbl","FBgn0028978","CG5408","IIS"
"Pten","FBgn0026379","CG5671","IIS"
"chico","FBgn0024248","CG5686","IIS"
"wdb","FBgn0027492","CG5643","IIS"
"Lnk","FBgn0028717","CG17367","IIS"
"Pi3K92E","FBgn0015279","CG4141","IIS"
"poly","FBgn0086371","CG9829","IIS"
"foxo","FBgn0038197","CG3143","IIS"
"Lpin","FBgn0263593","CG8709","IIS"
"sgg","FBgn0003371","CG2621","IIS"
"raptor","FBgn0029840","CG4320","IIS"
"HDAC4","FBgn0041210","CG1770","IIS"
"Sdr","FBgn0038279","CG3837","IIS"
"InR","FBgn0283499","CG18402","IIS"
"DENR","FBgn0030802","CG9099","IIS"
"Myc","FBgn0262656","CG10798","IIS"
"STUB1","FBgn0027052","CG5203","IIS"
"gd","FBgn0000808","CG1505","TOR"
"phyl","FBgn0013725","CG10108","TOR"
"sty","FBgn0014388","CG1921","TOR"
"Acn","FBgn0263198","CG10473","TOR"
"vap","FBgn0003969","CG9209","TOR"
"cic","FBgn0262582","CG43122","TOR"
"CG14977","FBgn0035469","CG14977","TOR"
"RagC-D","FBgn0033272","CG8707","TOR"
"chb","FBgn0021760","CG32435","TOR"
"eIF4E1","FBgn0015218","CG4035","TOR"
"Sos","FBgn0001965","CG7793","TOR"
"Nprl2","FBgn0030800","CG9104","TOR"
"Nprl3","FBgn0036397","CG8783","TOR"
"PRAS40","FBgn0267824","CG46146","TOR"
"Tor","FBgn0021796","CG5092","TOR"
"Ilp3","FBgn0044050","CG14167","TOR"
"sev","FBgn0003366","CG18085","TOR"
"dpp","FBgn0000490","CG9885","TOR"
"bnl","FBgn0014135","CG4608","TOR"
"ATPsynD","FBgn0016120","CG6030","TOR"
"Src42A","FBgn0264959","CG44128","TOR"
"srl","FBgn0037248","CG9809","TOR"
"arm","FBgn0000117","CG11579","TOR"
"dos","FBgn0016794","CG1044","TOR"
"S6k","FBgn0283472","CG10539","TOR"
"Ptth","FBgn0013323","CG13687","TOR"
"rl","FBgn0003256","CG12559","TOR"
"Pdk1","FBgn0020386","CG1210","TOR"
"Mipp2","FBgn0026060","CG4317","TOR"
"Cul1","FBgn0015509","CG1877","TOR"
"kis","FBgn0266557","CG3696","TOR"
"Myd88","FBgn0033402","CG2078","TOR"
"clos","FBgn0261016","CG42600","TOR"
"Sik3","FBgn0262103","CG42856","TOR"
"CG16908","FBgn0037741","CG16908","TOR"
"Hsc70-4","FBgn0266599","CG4264","TOR"
"Cat","FBgn0000261","CG6871","TOR"
"Raf","FBgn0003079","CG2845","TOR"
"slmb","FBgn0283468","CG3412","TOR"
"tor","FBgn0003733","CG1389","TOR"
"PCNA","FBgn0005655","CG9193","TOR"
"SelD","FBgn0261270","CG8553","TOR"
"AMPKalpha","FBgn0023169","CG3051","TOR"
"Atg9","FBgn0034110","CG3615","TOR"
"Wdr24","FBgn0027518","CG7609","TOR"
"Wdr59","FBgn0032339","CG4705","TOR"
"CG5110","FBgn0032642","CG5110","TOR"
"rictor","FBgn0031006","CG8002","TOR"
"Pdfr","FBgn0260753","CG13758","TOR"
"dome","FBgn0043903","CG14226","TOR"
"Dcr-2","FBgn0034246","CG6493","TOR"
"MESR4","FBgn0034240","CG4903","TOR"
"Akap200","FBgn0027932","CG13388","TOR"
"hppy","FBgn0263395","CG7097","TOR"
"CG5189","FBgn0034350","CG5189","TOR"
"shi","FBgn0003392","CG18102","TOR"
"Egfr","FBgn0003731","CG10079","TOR"
"ebi","FBgn0263933","CG4063","TOR"
"Pi3K21B","FBgn0020622","CG2699","TOR"
"Cdc37","FBgn0011573","CG12019","TOR"
"14-3-3zeta","FBgn0004907","CG17870","TOR"
"cathD","FBgn0029093","CG1548","TOR"
"wrd","FBgn0042693","CG7913","TOR"
"Mad","FBgn0011648","CG12399","TOR"
"Shc","FBgn0015296","CG3715","TOR"
"Tap42","FBgn0051852","CG31852","TOR"
"Dcp-1","FBgn0010501","CG5370","TOR"
"htl","FBgn0010389","CG7223","TOR"
"dl","FBgn0260632","CG6667","TOR"
"tup","FBgn0003896","CG10619","TOR"
"csw","FBgn0000382","CG3954","TOR"
"NFAT","FBgn0030505","CG11172","TOR"
"Lst8","FBgn0264691","CG3004","TOR"
"ed","FBgn0000547","CG12676","TOR"
"Atg5","FBgn0029943","CG1643","TOR"
"btl","FBgn0285896","CG32134","TOR"
"Nup44A","FBgn0033247","CG8722","TOR"
"Tsc1","FBgn0026317","CG6147","TOR"
"tll","FBgn0003720","CG1378","TOR"
"put","FBgn0003169","CG7904","TOR"
"alph","FBgn0086361","CG1906","TOR"
"fs(1)M3","FBgn0005390","CG4790","TOR"
"mts","FBgn0004177","CG7109","TOR"
"Rheb","FBgn0041191","CG1081","TOR"
"ImpL2","FBgn0001257","CG15009","TOR"
"tkv","FBgn0003716","CG14026","TOR"
"Vha68-1","FBgn0265262","CG12403","TOR"
"gig","FBgn0005198","CG6975","TOR"
"Fbw5","FBgn0031773","CG9144","TOR"
"fs(1)N","FBgn0004650","CG11411","TOR"
"Tl","FBgn0262473","CG5490","TOR"
"tub","FBgn0003882","CG10520","TOR"
"hkb","FBgn0261434","CG9768","TOR"
"TfIIA-S","FBgn0013347","CG5163","TOR"
"ksr","FBgn0015402","CG2899","TOR"
"N","FBgn0004647","CG3936","TOR"
"CycE","FBgn0010382","CG3938","TOR"
"Akt1","FBgn0010379","CG4006","TOR"
"fog","FBgn0000719","CG9559","TOR"
"Socs36E","FBgn0041184","CG15154","TOR"
"mio","FBgn0031399","CG7074","TOR"
"cnk","FBgn0286070","CG6556","TOR"
"Sin1","FBgn0033935","CG10105","TOR"
"scyl","FBgn0041094","CG7590","TOR"
"ato","FBgn0010433","CG7508","TOR"
"drk","FBgn0004638","CG6033","TOR"
"RagA-B","FBgn0037647","CG11968","TOR"
"Gug","FBgn0010825","CG6964","TOR"
"Hsp83","FBgn0001233","CG1242","TOR"
"msn","FBgn0010909","CG16973","TOR"
"stumps","FBgn0020299","CG31317","TOR"
"rept","FBgn0040075","CG9750","TOR"
"Atg1","FBgn0260945","CG10967","TOR"
"hid","FBgn0003997","CG5123","TOR"
"Thor","FBgn0261560","CG8846","TOR"
"Dsor1","FBgn0010269","CG15793","TOR"
"byn","FBgn0011723","CG7260","TOR"
"dlg1","FBgn0001624","CG1725","TOR"
"Btk29A","FBgn0003502","CG8049","TOR"
"Ras85D","FBgn0003205","CG9375","TOR"
"trk","FBgn0003751","CG5619","TOR"
"Pten","FBgn0026379","CG5671","TOR"
"chico","FBgn0024248","CG5686","TOR"
"chrb","FBgn0036165","CG7533","TOR"
"14-3-3epsilon","FBgn0020238","CG31196","TOR"
"svp","FBgn0003651","CG11502","TOR"
"Ilp8","FBgn0036690","CG14059","TOR"
"tsl","FBgn0003867","CG6705","TOR"
"Stat92E","FBgn0016917","CG4257","TOR"
"pnt","FBgn0003118","CG17077","TOR"
"spen","FBgn0016977","CG18497","TOR"
