"FBgn","ModID"
"FBgn0026570","darkturquoise"
"FBgn0037186","turquoise"
"FBgn0260855","turquoise"
"FBgn0260857","cyan"
"FBgn0260856","lightyellow"
"FBgn0000346","red"
"FBgn0260859","tan"
"FBgn0260858","black"
"FBgn0033729","blue"
"FBgn0039431","darkgrey"
"FBgn0039430","turquoise"
"FBgn0039437","white"
"FBgn0039436","white"
"FBgn0039435","white"
"FBgn0039434","white"
"FBgn0032117","darkgrey"
"FBgn0032116","turquoise"
"FBgn0032119","blue"
"FBgn0026879","lightyellow"
"FBgn0036258","black"
"FBgn0037765","brown"
"FBgn0037764","brown"
"FBgn0037766","blue"
"FBgn0037760","pink"
"FBgn0037763","brown"
"FBgn0038246","blue"
"FBgn0036259","blue"
"FBgn0024913","blue"
"FBgn0036587","turquoise"
"FBgn0036584","blue"
"FBgn0036585","red"
"FBgn0036583","blue"
"FBgn0036580","greenyellow"
"FBgn0036581","turquoise"
"FBgn0036595","black"
"FBgn0036588","cyan"
"FBgn0036589","turquoise"
"FBgn0032805","brown"
"FBgn0032803","turquoise"
"FBgn0032801","cyan"
"FBgn0032800","blue"
"FBgn0032809","brown"
"FBgn0050178","blue"
"FBgn0050172","blue"
"FBgn0263316","turquoise"
"FBgn0263314","brown"
"FBgn0020508","brown"
"FBgn0020506","turquoise"
"FBgn0020503","turquoise"
"FBgn0033437","turquoise"
"FBgn0030466","pink"
"FBgn0051267","brown"
"FBgn0031715","grey"
"FBgn0030465","black"
"FBgn0053858","black"
"FBgn0032873","black"
"FBgn0053855","black"
"FBgn0024555","darkgreen"
"FBgn0032453","lightgreen"
"FBgn0035461","darkturquoise"
"FBgn0035462","black"
"FBgn0030276","black"
"FBgn0035464","grey"
"FBgn0037891","turquoise"
"FBgn0035468","grey"
"FBgn0032692","turquoise"
"FBgn0020647","turquoise"
"FBgn0032693","brown"
"FBgn0033602","blue"
"FBgn0033603","turquoise"
"FBgn0266848","black"
"FBgn0044051","red"
"FBgn0033605","turquoise"
"FBgn0033608","grey"
"FBgn0028411","black"
"FBgn0261811","black"
"FBgn0031975","turquoise"
"FBgn0032879","red"
"FBgn0044050","blue"
"FBgn0024889","grey"
"FBgn0039860","pink"
"FBgn0024887","black"
"FBgn0024330","black"
"FBgn0263766","blue"
"FBgn0035607","brown"
"FBgn0263762","cyan"
"FBgn0035601","black"
"FBgn0263761","brown"
"FBgn0035608","brown"
"FBgn0263768","pink"
"FBgn0039861","black"
"FBgn0033663","black"
"FBgn0267242","turquoise"
"FBgn0034471","blue"
"FBgn0266365","turquoise"
"FBgn0003720","brown"
"FBgn0003721","brown"
"FBgn0085360","turquoise"
"FBgn0041706","blue"
"FBgn0039862","red"
"FBgn0052100","pink"
"FBgn0052103","turquoise"
"FBgn0052104","tan"
"FBgn0052105","blue"
"FBgn0052107","turquoise"
"FBgn0025681","darkgrey"
"FBgn0025680","turquoise"
"FBgn0025683","turquoise"
"FBgn0025682","red"
"FBgn0025684","black"
"FBgn0025687","turquoise"
"FBgn0025686","turquoise"
"FBgn0034346","black"
"FBgn0039863","grey"
"FBgn0040658","turquoise"
"FBgn0014022","black"
"FBgn0262541","turquoise"
"FBgn0262540","blue"
"FBgn0039864","blue"
"FBgn0036937","blue"
"FBgn0026015","black"
"FBgn0043470","brown"
"FBgn0043471","brown"
"FBgn0010173","black"
"FBgn0260468","black"
"FBgn0265001","cyan"
"FBgn0265003","pink"
"FBgn0265002","red"
"FBgn0041709","black"
"FBgn0035205","pink"
"FBgn0003187","black"
"FBgn0003189","black"
"FBgn0037978","blue"
"FBgn0037979","steelblue"
"FBgn0037972","grey"
"FBgn0037973","turquoise"
"FBgn0037974","turquoise"
"FBgn0037975","turquoise"
"FBgn0037976","turquoise"
"FBgn0000578","royalblue"
"FBgn0000579","blue"
"FBgn0039296","black"
"FBgn0051901","brown"
"FBgn0000576","turquoise"
"FBgn0000577","turquoise"
"FBgn0000575","blue"
"FBgn0259738","blue"
"FBgn0038903","black"
"FBgn0259730","turquoise"
"FBgn0259731","turquoise"
"FBgn0259732","turquoise"
"FBgn0259734","black"
"FBgn0259735","grey"
"FBgn0259736","turquoise"
"FBgn0259737","blue"
"FBgn0039600","red"
"FBgn0039601","black"
"FBgn0039602","royalblue"
"FBgn0039609","turquoise"
"FBgn0259728","black"
"FBgn0031452","black"
"FBgn0030724","turquoise"
"FBgn0265508","darkgrey"
"FBgn0030720","black"
"FBgn0030721","darkgrey"
"FBgn0030722","brown"
"FBgn0030723","blue"
"FBgn0011327","black"
"FBgn0050042","brown"
"FBgn0034152","turquoise"
"FBgn0011638","black"
"FBgn0029903","grey"
"FBgn0029906","grey"
"FBgn0029907","brown"
"FBgn0029909","cyan"
"FBgn0031773","black"
"FBgn0260431","pink"
"FBgn0051030","blue"
"FBgn0051036","blue"
"FBgn0051038","blue"
"FBgn0262964","blue"
"FBgn0262962","black"
"FBgn0050340","grey"
"FBgn0052845","blue"
"FBgn0050342","black"
"FBgn0050343","black"
"FBgn0050344","cyan"
"FBgn0050345","cyan"
"FBgn0085369","blue"
"FBgn0005616","blue"
"FBgn0027504","grey"
"FBgn0027505","grey"
"FBgn0027506","pink"
"FBgn0027507","grey"
"FBgn0027500","black"
"FBgn0027503","royalblue"
"FBgn0266064","black"
"FBgn0029822","pink"
"FBgn0027508","darkgrey"
"FBgn0260439","black"
"FBgn0058469","blue"
"FBgn0052225","blue"
"FBgn0260386","turquoise"
"FBgn0052843","turquoise"
"FBgn0005613","turquoise"
"FBgn0037518","turquoise"
"FBgn0030239","turquoise"
"FBgn0030319","pink"
"FBgn0053861","black"
"FBgn0037513","turquoise"
"FBgn0030230","blue"
"FBgn0037517","brown"
"FBgn0065035","black"
"FBgn0085232","brown"
"FBgn0035028","black"
"FBgn0085236","turquoise"
"FBgn0085237","brown"
"FBgn0036179","blue"
"FBgn0033457","black"
"FBgn0036173","darkred"
"FBgn0033451","lightyellow"
"FBgn0030318","darkturquoise"
"FBgn0015919","turquoise"
"FBgn0053867","lightyellow"
"FBgn0038269","black"
"FBgn0040735","turquoise"
"FBgn0040736","turquoise"
"FBgn0040730","brown"
"FBgn0040732","turquoise"
"FBgn0040733","turquoise"
"FBgn0038261","turquoise"
"FBgn0051694","darkturquoise"
"FBgn0051697","turquoise"
"FBgn0051690","blue"
"FBgn0035020","turquoise"
"FBgn0020767","darkgrey"
"FBgn0035021","pink"
"FBgn0038542","turquoise"
"FBgn0036393","turquoise"
"FBgn0005585","brown"
"FBgn0036391","blue"
"FBgn0036390","turquoise"
"FBgn0036397","black"
"FBgn0036396","black"
"FBgn0036395","black"
"FBgn0036398","grey"
"FBgn0019938","black"
"FBgn0035025","black"
"FBgn0264832","turquoise"
"FBgn0035026","grey"
"FBgn0264835","grey"
"FBgn0264834","blue"
"FBgn0039946","grey"
"FBgn0035027","black"
"FBgn0267339","cyan"
"FBgn0051961","pink"
"FBgn0004187","greenyellow"
"FBgn0004186","darkturquoise"
"FBgn0267337","blue"
"FBgn0267336","blue"
"FBgn0004183","black"
"FBgn0267330","grey"
"FBgn0265784","pink"
"FBgn0021967","darkred"
"FBgn0032843","blue"
"FBgn0260746","red"
"FBgn0264785","grey"
"FBgn0022774","turquoise"
"FBgn0030217","darkgrey"
"FBgn0267252","blue"
"FBgn0267253","blue"
"FBgn0266859","turquoise"
"FBgn0023506","black"
"FBgn0023507","turquoise"
"FBgn0023508","grey"
"FBgn0053995","blue"
"FBgn0262357","brown"
"FBgn0053993","turquoise"
"FBgn0035851","grey"
"FBgn0035850","turquoise"
"FBgn0035854","black"
"FBgn0035857","blue"
"FBgn0035856","blue"
"FBgn0035859","turquoise"
"FBgn0035858","turquoise"
"FBgn0028622","turquoise"
"FBgn0266853","brown"
"FBgn0033610","turquoise"
"FBgn0032491","cyan"
"FBgn0032493","turquoise"
"FBgn0032494","turquoise"
"FBgn0032499","tan"
"FBgn0001247","blue"
"FBgn0053196","turquoise"
"FBgn0053191","turquoise"
"FBgn0053192","cyan"
"FBgn0053193","black"
"FBgn0015039","turquoise"
"FBgn0053198","black"
"FBgn0053199","blue"
"FBgn0034509","turquoise"
"FBgn0261706","brown"
"FBgn0034739","red"
"FBgn0005638","brown"
"FBgn0005636","turquoise"
"FBgn0005633","turquoise"
"FBgn0052821","turquoise"
"FBgn0005631","blue"
"FBgn0003060","blue"
"FBgn0259927","red"
"FBgn0266577","turquoise"
"FBgn0003065","brown"
"FBgn0035879","red"
"FBgn0003067","turquoise"
"FBgn0015038","turquoise"
"FBgn0003068","blue"
"FBgn0035878","black"
"FBgn0265447","turquoise"
"FBgn0083988","turquoise"
"FBgn0037008","grey"
"FBgn0035877","turquoise"
"FBgn0266572","grey"
"FBgn0083968","black"
"FBgn0267061","blue"
"FBgn0046776","black"
"FBgn0260960","turquoise"
"FBgn0085249","cyan"
"FBgn0040777","blue"
"FBgn0260962","black"
