GO_cat,aging
gluc_homeo,FBgn0020236
gluc_homeo,FBgn0020949
gluc_homeo,FBgn0020950
gluc_homeo,FBgn0021123
gluc_homeo,FBgn0021124
gluc_homeo,FBgn0023143
gluc_homeo,FBgn0023479
gluc_homeo,FBgn0024248
gluc_homeo,FBgn0028561
gluc_homeo,FBgn0028978
gluc_homeo,FBgn0029155
gluc_homeo,FBgn0032940
gluc_homeo,FBgn0034140
gluc_homeo,FBgn0036046
gluc_homeo,FBgn0036111
gluc_homeo,FBgn0038167
gluc_homeo,FBgn0038197
gluc_homeo,FBgn0038984
gluc_homeo,FBgn0042710
gluc_homeo,FBgn0042711
gluc_homeo,FBgn0042720
gluc_homeo,FBgn0042721
gluc_homeo,FBgn0042855
gluc_homeo,FBgn0042856
gluc_homeo,FBgn0075591
gluc_homeo,FBgn0077295
gluc_homeo,FBgn0080810
gluc_homeo,FBgn0081724
gluc_homeo,FBgn0086355
gluc_homeo,FBgn0086687
gluc_homeo,FBgn0089658
gluc_homeo,FBgn0094627
gluc_homeo,FBgn0097733
gluc_homeo,FBgn0097741
gluc_homeo,FBgn0099318
gluc_homeo,FBgn0103774
gluc_homeo,FBgn0103776
gluc_homeo,FBgn0110533
gluc_homeo,FBgn0111979
gluc_homeo,FBgn0114539
gluc_homeo,FBgn0126883
gluc_homeo,FBgn0126884
gluc_homeo,FBgn0128927
gluc_homeo,FBgn0137505
gluc_homeo,FBgn0142679
gluc_homeo,FBgn0144795
gluc_homeo,FBgn0145349
gluc_homeo,FBgn0145350
gluc_homeo,FBgn0145351
gluc_homeo,FBgn0145352
gluc_homeo,FBgn0148628
gluc_homeo,FBgn0153481
gluc_homeo,FBgn0159053
gluc_homeo,FBgn0159440
gluc_homeo,FBgn0159589
gluc_homeo,FBgn0161134
gluc_homeo,FBgn0165271
gluc_homeo,FBgn0165272
gluc_homeo,FBgn0166319
gluc_homeo,FBgn0166320
gluc_homeo,FBgn0175034
gluc_homeo,FBgn0178984
gluc_homeo,FBgn0190430
gluc_homeo,FBgn0196098
gluc_homeo,FBgn0196916
gluc_homeo,FBgn0202308
gluc_homeo,FBgn0206302
gluc_homeo,FBgn0210961
gluc_homeo,FBgn0210964
gluc_homeo,FBgn0210965
gluc_homeo,FBgn0211198
gluc_homeo,FBgn0215955
gluc_homeo,FBgn0215975
gluc_homeo,FBgn0218162
gluc_homeo,FBgn0220965
gluc_homeo,FBgn0221142
gluc_homeo,FBgn0223534
gluc_homeo,FBgn0243318
gluc_homeo,FBgn0247798
gluc_homeo,FBgn0264574
gluc_homeo,FBgn0267385
gluc_homeo,FBgn0280267
gluc_homeo,FBgn0283499
det_adul_life,FBgn0000097
det_adul_life,FBgn0000257
det_adul_life,FBgn0000261
det_adul_life,FBgn0000330
det_adul_life,FBgn0000482
det_adul_life,FBgn0000546
det_adul_life,FBgn0000565
det_adul_life,FBgn0001087
det_adul_life,FBgn0001202
det_adul_life,FBgn0001223
det_adul_life,FBgn0001225
det_adul_life,FBgn0001226
det_adul_life,FBgn0001230
det_adul_life,FBgn0001247
det_adul_life,FBgn0001257
det_adul_life,FBgn0002566
det_adul_life,FBgn0002719
det_adul_life,FBgn0002774
det_adul_life,FBgn0002921
det_adul_life,FBgn0003068
det_adul_life,FBgn0003118
det_adul_life,FBgn0003205
det_adul_life,FBgn0003210
det_adul_life,FBgn0003256
det_adul_life,FBgn0003301
det_adul_life,FBgn0003308
det_adul_life,FBgn0003360
det_adul_life,FBgn0003435
det_adul_life,FBgn0003462
det_adul_life,FBgn0003502
det_adul_life,FBgn0003731
det_adul_life,FBgn0004373
det_adul_life,FBgn0004406
det_adul_life,FBgn0004507
det_adul_life,FBgn0004647
det_adul_life,FBgn0004657
det_adul_life,FBgn0004901
det_adul_life,FBgn0005198
det_adul_life,FBgn0005278
det_adul_life,FBgn0010213
det_adul_life,FBgn0010303
det_adul_life,FBgn0010531
det_adul_life,FBgn0011300
det_adul_life,FBgn0011455
det_adul_life,FBgn0012051
det_adul_life,FBgn0013672
det_adul_life,FBgn0013762
det_adul_life,FBgn0014141
det_adul_life,FBgn0014391
det_adul_life,FBgn0015269
det_adul_life,FBgn0015575
det_adul_life,FBgn0015765
det_adul_life,FBgn0015805
det_adul_life,FBgn0015946
det_adul_life,FBgn0016120
det_adul_life,FBgn0020238
det_adul_life,FBgn0020653
det_adul_life,FBgn0021796
det_adul_life,FBgn0022764
det_adul_life,FBgn0023000
det_adul_life,FBgn0023511
det_adul_life,FBgn0024248
det_adul_life,FBgn0024291
det_adul_life,FBgn0024432
det_adul_life,FBgn0024846
