GO_cat,aging
lip_met_proc,FBgn0042207
lip_met_proc,FBgn0042627
lip_met_proc,FBgn0043043
lip_met_proc,FBgn0043825
lip_met_proc,FBgn0044028
lip_met_proc,FBgn0045064
lip_met_proc,FBgn0050008
lip_met_proc,FBgn0050381
lip_met_proc,FBgn0050502
lip_met_proc,FBgn0050503
lip_met_proc,FBgn0051005
lip_met_proc,FBgn0051089
lip_met_proc,FBgn0051091
lip_met_proc,FBgn0051139
lip_met_proc,FBgn0051141
lip_met_proc,FBgn0051148
lip_met_proc,FBgn0051272
lip_met_proc,FBgn0051414
lip_met_proc,FBgn0051522
lip_met_proc,FBgn0051523
lip_met_proc,FBgn0051683
lip_met_proc,FBgn0051872
lip_met_proc,FBgn0052072
lip_met_proc,FBgn0052076
lip_met_proc,FBgn0052333
lip_met_proc,FBgn0052380
lip_met_proc,FBgn0052442
lip_met_proc,FBgn0052484
lip_met_proc,FBgn0052699
lip_met_proc,FBgn0053100
lip_met_proc,FBgn0053110
lip_met_proc,FBgn0053116
lip_met_proc,FBgn0053120
lip_met_proc,FBgn0053977
lip_met_proc,FBgn0061359
lip_met_proc,FBgn0067102
lip_met_proc,FBgn0067628
lip_met_proc,FBgn0085476
lip_met_proc,FBgn0085477
lip_met_proc,FBgn0086253
lip_met_proc,FBgn0086368
lip_met_proc,FBgn0086448
lip_met_proc,FBgn0086532
lip_met_proc,FBgn0086687
lip_met_proc,FBgn0086712
lip_met_proc,FBgn0086917
lip_met_proc,FBgn0250847
lip_met_proc,FBgn0250862
lip_met_proc,FBgn0259178
lip_met_proc,FBgn0259697
lip_met_proc,FBgn0259933
lip_met_proc,FBgn0259985
lip_met_proc,FBgn0260750
lip_met_proc,FBgn0260942
lip_met_proc,FBgn0260960
lip_met_proc,FBgn0261244
lip_met_proc,FBgn0261283
lip_met_proc,FBgn0261549
lip_met_proc,FBgn0261560
lip_met_proc,FBgn0261987
lip_met_proc,FBgn0262103
lip_met_proc,FBgn0262112
lip_met_proc,FBgn0262447
lip_met_proc,FBgn0262738
lip_met_proc,FBgn0263006
lip_met_proc,FBgn0263112
lip_met_proc,FBgn0263120
lip_met_proc,FBgn0263490
lip_met_proc,FBgn0263593
lip_met_proc,FBgn0263782
lip_met_proc,FBgn0264357
lip_met_proc,FBgn0264494
lip_met_proc,FBgn0264740
lip_met_proc,FBgn0264741
lip_met_proc,FBgn0264979
lip_met_proc,FBgn0265174
lip_met_proc,FBgn0265187
lip_met_proc,FBgn0265190
lip_met_proc,FBgn0265193
lip_met_proc,FBgn0265264
lip_met_proc,FBgn0265267
lip_met_proc,FBgn0266124
lip_met_proc,FBgn0266435
lip_met_proc,FBgn0266438
lip_met_proc,FBgn0267350
lip_met_proc,FBgn0267828
lip_met_proc,FBgn0283427
lip_met_proc,FBgn0283472
lip_met_proc,FBgn0283499
lip_met_proc,FBgn0283500
lip_met_proc,FBgn0286508
lip_met_proc,FBgn0286511
resp_to_starv,FBgn0000257
resp_to_starv,FBgn0000370
resp_to_starv,FBgn0000482
resp_to_starv,FBgn0001122
resp_to_starv,FBgn0001226
resp_to_starv,FBgn0001230
resp_to_starv,FBgn0001257
resp_to_starv,FBgn0002566
resp_to_starv,FBgn0003079
resp_to_starv,FBgn0003205
resp_to_starv,FBgn0003256
resp_to_starv,FBgn0003964
resp_to_starv,FBgn0003997
resp_to_starv,FBgn0004237
resp_to_starv,FBgn0004510
resp_to_starv,FBgn0004552
resp_to_starv,FBgn0004852
resp_to_starv,FBgn0010051
resp_to_starv,FBgn0010501
resp_to_starv,FBgn0011582
resp_to_starv,FBgn0014018
resp_to_starv,FBgn0015240
resp_to_starv,FBgn0015277
resp_to_starv,FBgn0015279
resp_to_starv,FBgn0015765
resp_to_starv,FBgn0015799
resp_to_starv,FBgn0016983
resp_to_starv,FBgn0020278
resp_to_starv,FBgn0020618
resp_to_starv,FBgn0023000
resp_to_starv,FBgn0023001
resp_to_starv,FBgn0023094
resp_to_starv,FBgn0023169
resp_to_starv,FBgn0024248
resp_to_starv,FBgn0024846
resp_to_starv,FBgn0024944
resp_to_starv,FBgn0025595
resp_to_starv,FBgn0025625
resp_to_starv,FBgn0026379
resp_to_starv,FBgn0026597
resp_to_starv,FBgn0027518
resp_to_starv,FBgn0028479
resp_to_starv,FBgn0028956
resp_to_starv,FBgn0029131
resp_to_starv,FBgn0029840
resp_to_starv,FBgn0029943
resp_to_starv,FBgn0030449
resp_to_starv,FBgn0030766
resp_to_starv,FBgn0030800
resp_to_starv,FBgn0031006
resp_to_starv,FBgn0031399
resp_to_starv,FBgn0032202
resp_to_starv,FBgn0032339
resp_to_starv,FBgn0033247
resp_to_starv,FBgn0033272
resp_to_starv,FBgn0033528
resp_to_starv,FBgn0033624
resp_to_starv,FBgn0033782
resp_to_starv,FBgn0033799
resp_to_starv,FBgn0033926
resp_to_starv,FBgn0034110
resp_to_starv,FBgn0034140
resp_to_starv,FBgn0034219
resp_to_starv,FBgn0034366
resp_to_starv,FBgn0034422
resp_to_starv,FBgn0035131
resp_to_starv,FBgn0035132
resp_to_starv,FBgn0035227
resp_to_starv,FBgn0035383
resp_to_starv,FBgn0035538
resp_to_starv,FBgn0035540
resp_to_starv,FBgn0035623
resp_to_starv,FBgn0035789
resp_to_starv,FBgn0035847
resp_to_starv,FBgn0035850
resp_to_starv,FBgn0035871
resp_to_starv,FBgn0036046
resp_to_starv,FBgn0036111
resp_to_starv,FBgn0036255
resp_to_starv,FBgn0036397
resp_to_starv,FBgn0036746
resp_to_starv,FBgn0036752
resp_to_starv,FBgn0036813
resp_to_starv,FBgn0037363
resp_to_starv,FBgn0037647
resp_to_starv,FBgn0037960
resp_to_starv,FBgn0038074
resp_to_starv,FBgn0038197
resp_to_starv,FBgn0038279
resp_to_starv,FBgn0038539
resp_to_starv,FBgn0038593
resp_to_starv,FBgn0038659
resp_to_starv,FBgn0038816
resp_to_starv,FBgn0039016
resp_to_starv,FBgn0039044
resp_to_starv,FBgn0039209
resp_to_starv,FBgn0039225
resp_to_starv,FBgn0039298
resp_to_starv,FBgn0039650
resp_to_starv,FBgn0039689
resp_to_starv,FBgn0039705
resp_to_starv,FBgn0040309
resp_to_starv,FBgn0040336
resp_to_starv,FBgn0040491
resp_to_starv,FBgn0041191
resp_to_starv,FBgn0041210
resp_to_starv,FBgn0044047
resp_to_starv,FBgn0044452
resp_to_starv,FBgn0045442
resp_to_starv,FBgn0045443
resp_to_starv,FBgn0050349
resp_to_starv,FBgn0052350
resp_to_starv,FBgn0052475
resp_to_starv,FBgn0052654
resp_to_starv,FBgn0052672
resp_to_starv,FBgn0052703
resp_to_starv,FBgn0086676
resp_to_starv,FBgn0086687
resp_to_starv,FBgn0260935
resp_to_starv,FBgn0260945
resp_to_starv,FBgn0261560
resp_to_starv,FBgn0261862
resp_to_starv,FBgn0262103
resp_to_starv,FBgn0262447
resp_to_starv,FBgn0262458
resp_to_starv,FBgn0262656
resp_to_starv,FBgn0263112
resp_to_starv,FBgn0263593
resp_to_starv,FBgn0263864
resp_to_starv,FBgn0264087
resp_to_starv,FBgn0264325
resp_to_starv,FBgn0264357
resp_to_starv,FBgn0264607
resp_to_starv,FBgn0265605
resp_to_starv,FBgn0266019
resp_to_starv,FBgn0266064
resp_to_starv,FBgn0266717
resp_to_starv,FBgn0283499
resp_to_starv,FBgn0285911
resp_to_starv,FBgn0285926
negRegl_trigly_catProc,FBgn0010379
negRegl_trigly_catProc,FBgn0024248
negRegl_trigly_catProc,FBgn0038167
negRegl_trigly_catProc,FBgn0262103
