"feature","id","pval","qval","tname"
"gene","MSTRG.10997",9.87508431602446e-05,0.0100853964393822,"FBtr0337011"
"gene","MSTRG.10274",0.000102893570616103,0.0100853964393822,"FBtr0083697"
"gene","MSTRG.12344",0.000104423034852474,0.0100853964393822,"FBtr0343297"
"gene","MSTRG.9546",0.00010470810517349,0.0100853964393822,"FBtr0082583"
"gene","MSTRG.4045",0.000106063412315338,0.0100853964393822,"FBtr0087532"
"gene","MSTRG.12392",0.000106961324310428,0.0100853964393822,"FBtr0070690"
"gene","MSTRG.1539",0.000107222249292049,0.0100853964393822,"FBtr0080202"
"gene","MSTRG.10713",0.000107263545528591,0.0100853964393822,"FBtr0339164"
"gene","MSTRG.440",0.000107829187094399,0.0100853964393822,"FBtr0077631"
"gene","MSTRG.7164",0.00010925099770942,0.0100853964393822,"FBtr0332048"
"gene","MSTRG.1344",0.000109355014961676,0.0100853964393822,"FBtr0079957"
"gene","MSTRG.444",0.000111625653896663,0.0101736934204406,"FBtr0343784"
"gene","MSTRG.13892",0.00011631871745954,0.0104781523739425,"FBtr0074691"
"gene","MSTRG.1473",0.000117785901363243,0.0104883606650695,"FBtr0080189"
"gene","MSTRG.8343",0.000120997636717024,0.0106519169505316,"FBtr0299882"
"gene","MSTRG.1458",0.000125210761553918,0.0108773013298511,"FBtr0080108"
"gene","MSTRG.1502",0.000126746333336536,0.0108773013298511,"FBtr0080165"
"gene","MSTRG.10812",0.000127770029820118,0.0108773013298511,"FBtr0084461"
"gene","MSTRG.591",0.000133543076887399,0.0112123328762595,"FBtr0077425"
"gene","MSTRG.3756",0.00013460009777877,0.0112123328762595,"FBtr0088010"
"gene","MSTRG.5920",0.000136459611426831,0.0112463043587624,"FBtr0072912"
"gene","MSTRG.10658",0.000139694515439936,0.0113064826997118,"FBtr0084289"
"gene","MSTRG.10976",0.000140108731014887,0.0113064826997118,"FBtr0306105"
"gene","MSTRG.9193",0.000144432645377335,0.0114813617787234,"FBtr0082086"
"gene","MSTRG.4996",0.000147151502331022,0.0114813617787234,"FBtr0071578"
"gene","MSTRG.11103",0.000148159000986192,0.0114813617787234,"MSTRG.11103.1"
"gene","MSTRG.8229",0.00014868590884809,0.0114813617787234,"FBtr0078477"
"gene","MSTRG.7829",0.000153325175942576,0.0114813617787234,"FBtr0112890"
"gene","MSTRG.734",0.000158236608243656,0.0114813617787234,"MSTRG.734.1"
"gene","MSTRG.13640",0.000160997554259579,0.0114813617787234,"FBtr0074356"
"gene","MSTRG.2462",0.000161681914736089,0.0114813617787234,"FBtr0333011"
"gene","MSTRG.10879",0.00016176981846705,0.0114813617787234,"FBtr0084598"
"gene","MSTRG.1806",0.00016182976339818,0.0114813617787234,"FBtr0342712"
"gene","MSTRG.7249",0.000165512197886519,0.0114813617787234,"MSTRG.7249.1"
"gene","MSTRG.14186",0.000165526483205669,0.0114813617787234,"FBtr0309316"
"gene","MSTRG.11230",0.00016792966212853,0.0114813617787234,"FBtr0085062"
