"","Var1","Freq"
"246","FBgn0028882",1
"247","FBgn0028884",1
"248","FBgn0028889",1
"249","FBgn0028892",2
"250","FBgn0028893",1
"251","FBgn0028900",1
"252","FBgn0028901",1
"253","FBgn0028902",2
"254","FBgn0028903",2
"255","FBgn0028909",1
"256","FBgn0028912",1
"257","FBgn0028913",2
"258","FBgn0028935",1
"259","FBgn0028944",1
"260","FBgn0028946",1
"261","FBgn0028947",1
"262","FBgn0028986",2
"263","FBgn0028987",1
"264","FBgn0029501",1
"265","FBgn0029552",1
"266","FBgn0029573",1
"267","FBgn0029606",1
"268","FBgn0029700",1
"269","FBgn0029701",1
"270","FBgn0029702",1
"271","FBgn0029703",2
"272","FBgn0029707",1
"273","FBgn0029724",1
"274","FBgn0029725",1
"275","FBgn0029726",2
"276","FBgn0029727",1
"277","FBgn0029728",4
"278","FBgn0029729",1
"279","FBgn0029770",2
"280","FBgn0029811",1
"281","FBgn0029812",1
"282","FBgn0029816",1
"283","FBgn0029817",2
"284","FBgn0029951",1
"285","FBgn0029952",1
"286","FBgn0029961",1
"287","FBgn0029963",1
"288","FBgn0029964",1
"289","FBgn0029968",1
"290","FBgn0030014",1
"291","FBgn0030015",1
"292","FBgn0030033",1
"293","FBgn0030107",1
"294","FBgn0030161",2
"295","FBgn0030162",2
"296","FBgn0030167",2
"297","FBgn0030191",2
"298","FBgn0030204",1
"299","FBgn0030221",1
"300","FBgn0030222",1
"301","FBgn0030247",3
"302","FBgn0030277",2
"303","FBgn0030278",1
"304","FBgn0030280",2
"305","FBgn0030340",1
"306","FBgn0030356",1
"307","FBgn0030384",1
"308","FBgn0030385",1
"309","FBgn0030386",1
"310","FBgn0030394",1
"311","FBgn0030395",1
"312","FBgn0030459",1
"313","FBgn0030492",1
"314","FBgn0030493",1
"315","FBgn0030494",1
"316","FBgn0030495",4
"317","FBgn0030540",2
"318","FBgn0030541",1
"319","FBgn0030542",1
"320","FBgn0030543",1
"321","FBgn0030563",1
"322","FBgn0030570",1
"323","FBgn0030577",1
"324","FBgn0030578",1
"325","FBgn0030599",1
"326","FBgn0030620",2
"327","FBgn0030622",1
"328","FBgn0030623",1
"329","FBgn0030624",2
"330","FBgn0030647",2
"331","FBgn0030663",1
"332","FBgn0030664",1
"333","FBgn0030667",1
"334","FBgn0030691",1
"335","FBgn0030697",1
"336","FBgn0030721",1
"337","FBgn0030729",1
"338","FBgn0030795",1
"339","FBgn0030826",1
"340","FBgn0030832",1
"341","FBgn0030840",1
"342","FBgn0030841",1
"343","FBgn0030868",1
"344","FBgn0030904",1
"345","FBgn0030905",2
"346","FBgn0030911",1
"347","FBgn0030918",1
"348","FBgn0030933",2
"349","FBgn0030940",1
"350","FBgn0030951",1
"351","FBgn0030952",1
"352","FBgn0030975",2
"353","FBgn0030979",1
"354","FBgn0030983",1
"355","FBgn0030992",3
"356","FBgn0031032",2
"357","FBgn0031058",1
"358","FBgn0031074",1
"359","FBgn0031082",1
"360","FBgn0031086",1
"361","FBgn0031088",2
"362","FBgn0031100",4
"363","FBgn0031101",1
"364","FBgn0031103",1
"365","FBgn0031104",1
"366","FBgn0031128",8
"367","FBgn0031129",2
"368","FBgn0031130",1
"369","FBgn0031139",3
"370","FBgn0031163",1
"371","FBgn0031164",1
"372","FBgn0031197",1
"373","FBgn0031201",1
"374","FBgn0031208",3
"375","FBgn0031273",1
"376","FBgn0031276",1
"377","FBgn0031301",1
"378","FBgn0031324",1
"379","FBgn0031331",2
"380","FBgn0031332",2
"381","FBgn0031333",1
"382","FBgn0031335",1
"383","FBgn0031337",3
"384","FBgn0031367",1
"385","FBgn0031407",2
"386","FBgn0031410",1
"387","FBgn0031430",1
"388","FBgn0031440",1
"389","FBgn0031441",1
"390","FBgn0031442",1
"391","FBgn0031443",2
"392","FBgn0031444",1
"393","FBgn0031467",1
"394","FBgn0031468",1
"395","FBgn0031469",1
"396","FBgn0031470",1
"397","FBgn0031471",1
"398","FBgn0031512",2
"399","FBgn0031513",2
"400","FBgn0031550",1
"401","FBgn0031585",1
"402","FBgn0031592",2
"403","FBgn0031596",2
"404","FBgn0031617",1
"405","FBgn0031619",2
"406","FBgn0031622",1
"407","FBgn0031626",2
"408","FBgn0031644",1
"409","FBgn0031720",1
"410","FBgn0031722",3
"411","FBgn0031723",2
"412","FBgn0031724",1
"413","FBgn0031728",3
"414","FBgn0031729",3
"415","FBgn0031731",1
"416","FBgn0031746",2
"417","FBgn0031747",2
"418","FBgn0031757",1
"419","FBgn0031758",3
"420","FBgn0031763",1
"421","FBgn0031784",1
"422","FBgn0031785",1
"423","FBgn0031786",1
"424","FBgn0031802",1
"425","FBgn0031803",1
"426","FBgn0031804",1
"427","FBgn0031853",1
"428","FBgn0031854",1
"429","FBgn0031859",4
"430","FBgn0031905",1
"431","FBgn0031941",1
"432","FBgn0031954",1
"433","FBgn0032039",1
"434","FBgn0032040",1
"435","FBgn0032058",1
"436","FBgn0032065",1
"437","FBgn0032072",1
"438","FBgn0032080",2
"439","FBgn0032090",2
"440","FBgn0032094",2
"441","FBgn0032095",1
"442","FBgn0032096",1
"443","FBgn0032109",4
"444","FBgn0032110",2
"445","FBgn0032111",1
"446","FBgn0032132",1
"447","FBgn0032175",1
"448","FBgn0032176",1
"449","FBgn0032265",1
"450","FBgn0032271",2
"451","FBgn0032276",1
"452","FBgn0032289",2
"453","FBgn0032312",3
"454","FBgn0032313",2
"455","FBgn0032314",1
"456","FBgn0032315",2
"457","FBgn0032345",1
"458","FBgn0032360",3
"459","FBgn0032364",1
"460","FBgn0032365",2
"461","FBgn0032366",1
"462","FBgn0032369",3
"463","FBgn0032370",1
"464","FBgn0032371",2
"465","FBgn0032372",1
"466","FBgn0032375",2
"467","FBgn0032376",1
"468","FBgn0032385",2
"469","FBgn0032406",1
"470","FBgn0032416",1
"471","FBgn0032434",2
"472","FBgn0032462",1
"473","FBgn0032471",1
"474","FBgn0032473",1
"475","FBgn0032490",2
"476","FBgn0032491",1
"477","FBgn0032492",1
"478","FBgn0032549",2
"479","FBgn0032551",1
"480","FBgn0032553",2
"481","FBgn0032554",3
"482","FBgn0032563",1
"483","FBgn0032593",3
"484","FBgn0032624",2
"485","FBgn0032625",2
"486","FBgn0032626",2
"487","FBgn0032631",1
"488","FBgn0032632",2
"489","FBgn0032636",1
"490","FBgn0032648",1
"491","FBgn0032649",1
"492","FBgn0032650",1
"493","FBgn0032654",1
"494","FBgn0032658",1
"495","FBgn0032660",2
"496","FBgn0032663",1
"497","FBgn0032664",1
"498","FBgn0032677",2
"499","FBgn0032709",1
"500","FBgn0032749",2
"501","FBgn0032768",1
"502","FBgn0032769",2
"503","FBgn0032771",1
"504","FBgn0032804",2
"505","FBgn0032853",2
"506","FBgn0032860",2
"507","FBgn0032867",1
"508","FBgn0032868",1
"509","FBgn0032878",1
"510","FBgn0032898",2
"511","FBgn0032965",1
"512","FBgn0032966",1
"513","FBgn0032967",1
"514","FBgn0032968",2
"515","FBgn0032969",2
"516","FBgn0032971",1
"517","FBgn0032972",1
"518","FBgn0033020",2
"519","FBgn0033041",1
"520","FBgn0033042",2
"521","FBgn0033043",1
"522","FBgn0033069",1
"523","FBgn0033072",1
"524","FBgn0033141",2
"525","FBgn0033154",1
"526","FBgn0033158",2
"527","FBgn0033167",2
"528","FBgn0033248",2
"529","FBgn0033277",1
"530","FBgn0033278",2
"531","FBgn0033279",2
"532","FBgn0033280",1
"533","FBgn0033322",1
"534","FBgn0033323",2
"535","FBgn0033324",3
"536","FBgn0033330",1
"537","FBgn0033355",1
"538","FBgn0033359",3
"539","FBgn0033362",4
"540","FBgn0033363",1
"541","FBgn0033412",1
"542","FBgn0033469",1
"543","FBgn0033490",1
"544","FBgn0033501",6
"545","FBgn0033508",1
"546","FBgn0033572",2
"547","FBgn0033573",2
"548","FBgn0033591",1
"549","FBgn0033594",1
"550","FBgn0033598",1
"551","FBgn0033599",1
"552","FBgn0033600",1
"553","FBgn0033601",1
"554","FBgn0033648",1
"555","FBgn0033667",1
"556","FBgn0033680",1
"557","FBgn0033701",1
"558","FBgn0033703",1
"559","FBgn0033705",3
"560","FBgn0033706",1
"561","FBgn0033720",2
"562","FBgn0033725",6
"563","FBgn0033726",1
"564","FBgn0033727",1
"565","FBgn0033729",2
"566","FBgn0033732",1
"567","FBgn0033770",2
"568","FBgn0033794",1
"569","FBgn0033818",2
"570","FBgn0033819",1
"571","FBgn0033828",2
"572","FBgn0033856",2
"573","FBgn0033861",1
"574","FBgn0033866",1
"575","FBgn0033867",1
"576","FBgn0033868",2
"577","FBgn0033874",1
"578","FBgn0033931",1
"579","FBgn0033933",1
"580","FBgn0033950",1
"581","FBgn0033952",1
"582","FBgn0033953",1
"583","FBgn0033954",1
"584","FBgn0033963",2
"585","FBgn0033969",1
"586","FBgn0034011",1
"587","FBgn0034022",2
"588","FBgn0034023",1
"589","FBgn0034096",1
"590","FBgn0034097",1
"591","FBgn0034099",1
"592","FBgn0034104",1
"593","FBgn0034105",1
"594","FBgn0034127",1
"595","FBgn0034129",1
"596","FBgn0034131",1
"597","FBgn0034132",1
"598","FBgn0034157",2
"599","FBgn0034183",1
"600","FBgn0034205",1
"601","FBgn0034221",1
"602","FBgn0034301",2
"603","FBgn0034391",1
"604","FBgn0034411",1
"605","FBgn0034413",1
"606","FBgn0034415",1
"607","FBgn0034416",3
"608","FBgn0034423",1
"609","FBgn0034426",1
"610","FBgn0034427",1
"611","FBgn0034441",2
"612","FBgn0034456",1
"613","FBgn0034457",1
"614","FBgn0034458",1
"615","FBgn0034461",1
"616","FBgn0034462",2
"617","FBgn0034463",2
"618","FBgn0034464",1
"619","FBgn0034467",1
"620","FBgn0034472",1
"621","FBgn0034477",1
"622","FBgn0034478",1
"623","FBgn0034483",1
"624","FBgn0034489",1
"625","FBgn0034506",2
"626","FBgn0034510",1
"627","FBgn0034513",1
"628","FBgn0034545",1
"629","FBgn0034548",1
"630","FBgn0034551",1
"631","FBgn0034554",1
"632","FBgn0034560",1
"633","FBgn0034568",2
"634","FBgn0034592",1
"635","FBgn0034623",1
"636","FBgn0034624",1
"637","FBgn0034658",1
"638","FBgn0034659",1
"639","FBgn0034661",1
"640","FBgn0034665",1
"641","FBgn0034666",1
"642","FBgn0034667",1
"643","FBgn0034671",1
"644","FBgn0034683",1
"645","FBgn0034713",1
"646","FBgn0034730",1
"647","FBgn0034739",1
"648","FBgn0034768",1
"649","FBgn0034769",1
"650","FBgn0034770",1
"651","FBgn0034819",1
"652","FBgn0034820",1
"653","FBgn0034821",1
"654","FBgn0034822",1
"655","FBgn0034824",1
"656","FBgn0034825",1
"657","FBgn0034826",1
"658","FBgn0034827",1
"659","FBgn0034834",1
"660","FBgn0034835",1
"661","FBgn0034837",1
"662","FBgn0034838",1
"663","FBgn0034840",2
"664","FBgn0034841",2
"665","FBgn0034842",1
"666","FBgn0034844",1
"667","FBgn0034846",1
"668","FBgn0034869",1
"669","FBgn0034880",1
"670","FBgn0034882",1
"671","FBgn0034899",2
"672","FBgn0034900",1
"673","FBgn0034901",1
"674","FBgn0034956",2
"675","FBgn0034957",1
"676","FBgn0034973",1
"677","FBgn0034998",2
"678","FBgn0035003",1
"679","FBgn0035004",1
"680","FBgn0035005",1
"681","FBgn0035011",1
"682","FBgn0035012",1
"683","FBgn0035014",1
"684","FBgn0035034",1
"685","FBgn0035056",1
"686","FBgn0035068",1
"687","FBgn0035069",3
"688","FBgn0035070",1
"689","FBgn0035097",2
"690","FBgn0035161",1
"691","FBgn0035168",2
"692","FBgn0035197",2
"693","FBgn0035198",3
"694","FBgn0035256",1
"695","FBgn0035316",1
"696","FBgn0035332",1
"697","FBgn0035384",2
"698","FBgn0035426",2
"699","FBgn0035428",1
"700","FBgn0035429",4
"701","FBgn0035468",1
"702","FBgn0035478",1
"703","FBgn0035479",1
"704","FBgn0035522",1
"705","FBgn0035581",2
"706","FBgn0035594",1
"707","FBgn0035608",1
"708","FBgn0035645",1
"709","FBgn0035647",2
"710","FBgn0035685",1
"711","FBgn0035686",1
"712","FBgn0035693",1
"713","FBgn0035709",1
"714","FBgn0035724",1
"715","FBgn0035736",1
"716","FBgn0035750",2
"717","FBgn0035751",1
"718","FBgn0035776",2
"719","FBgn0035777",2
"720","FBgn0035786",4
"721","FBgn0035787",1
"722","FBgn0035788",1
"723","FBgn0035789",1
"724","FBgn0035790",1
"725","FBgn0035792",1
"726","FBgn0035799",1
"727","FBgn0035800",1
"728","FBgn0035855",1
"729","FBgn0035857",1
"730","FBgn0035875",1
"731","FBgn0035928",1
"732","FBgn0035931",1
"733","FBgn0035956",1
"734","FBgn0035970",1
"735","FBgn0035971",1
"736","FBgn0036009",1
"737","FBgn0036010",1
"738","FBgn0036075",2
"739","FBgn0036078",1
"740","FBgn0036082",2
"741","FBgn0036083",1
"742","FBgn0036089",1
"743","FBgn0036102",2
"744","FBgn0036128",1
"745","FBgn0036138",1
"746","FBgn0036150",2
"747","FBgn0036153",1
"748","FBgn0036154",2
"749","FBgn0036156",1
"750","FBgn0036158",1
"751","FBgn0036159",2
"752","FBgn0036160",1
"753","FBgn0036161",1
"754","FBgn0036162",2
"755","FBgn0036176",1
